date_obj,Battlefront%20teleport%20(tablet) price
2019-01-10,1400
2019-01-10,1400
2019-01-11,1470
2019-01-12,1544
2019-01-13,1622
2019-01-14,1704
2019-01-15,1790
2019-01-16,1790
2019-01-17,1878
2019-01-18,1878
2019-01-19,1952
2019-01-20,1952
2019-01-21,2035
2019-01-22,2035
2019-01-23,1953
2019-01-24,1953
2019-01-25,1932
2019-01-26,1932
2019-01-27,1970
2019-01-28,1970
2019-01-29,1963
2019-01-30,1963
2019-01-31,1935
2019-02-01,1873
2019-02-02,1873
2019-02-03,1814
2019-02-04,1814
2019-02-05,1768
2019-02-06,1768
2019-02-07,1776
2019-02-08,1776
2019-02-09,1817
2019-02-10,1817
2019-02-11,1757
2019-02-12,1757
2019-02-13,1672
2019-02-14,1672
2019-02-15,1707
2019-02-16,1707
2019-02-17,1708
2019-02-18,1708
2019-02-19,1636
2019-02-20,1636
2019-02-21,1706
2019-02-22,1706
2019-02-23,1663
2019-02-24,1663
2019-02-25,1618
2019-02-26,1618
2019-02-27,1618
2019-02-28,1618
2019-03-01,1666
2019-03-02,1666
2019-03-03,1694
2019-03-04,1694
2019-03-05,1620
2019-03-06,1620
2019-03-07,1687
2019-03-08,1687
2019-03-09,1687
2019-03-10,1771
2019-03-11,1771
2019-03-12,1860
2019-03-13,1860
2019-03-14,1949
2019-03-15,1949
2019-03-16,2045
2019-03-17,2084
2019-03-18,2084
2019-03-19,2084
2019-03-20,2161
2019-03-21,2161
2019-03-22,2161
2019-03-23,2245
2019-03-24,2245
2019-03-25,2245
2019-03-26,2307
2019-03-27,2307
2019-03-28,2307
2019-03-29,2367
2019-03-30,2367
2019-03-31,2367
2019-04-01,2328
2019-04-02,2328
2019-04-03,2328
2019-04-04,2368
2019-04-05,2368
2019-04-06,2368
2019-04-07,2426
2019-04-08,2426
2019-04-09,2426
2019-04-10,2514
2019-04-11,2514
2019-04-12,2465
2019-04-13,2465
2019-04-14,2466
2019-04-15,2466
2019-04-16,2466
2019-04-17,2422
2019-04-18,2422
2019-04-19,2422
2019-04-20,2382
2019-04-21,2382
2019-04-22,2382
2019-04-23,2269
2019-04-24,2269
2019-04-25,2269
2019-04-26,2176
2019-04-27,2176
2019-04-28,2176
2019-04-29,2107
2019-04-30,2107
2019-05-01,2107
2019-05-02,2001
2019-05-03,2001
2019-05-04,1948
2019-05-05,1948
2019-05-06,1948
2019-05-07,1944
2019-05-08,1944
2019-05-09,1944
2019-05-10,1927
2019-05-11,1927
2019-05-12,1864
2019-05-13,1864
2019-05-14,1827
2019-05-15,1827
2019-05-16,1827
2019-05-17,1735
2019-05-18,1735
2019-05-19,1702
2019-05-20,1702
2019-05-21,1702
2019-05-22,1722
2019-05-23,1722
2019-05-24,1722
2019-05-25,1724
2019-05-26,1724
2019-05-27,1717
2019-05-28,1717
2019-05-29,1786
2019-05-30,1786
2019-05-31,1786
2019-06-01,1860
2019-06-02,1860
2019-06-03,1860
2019-06-04,1931
2019-06-05,1931
2019-06-06,1931
2019-06-07,2022
2019-06-08,2022
2019-06-09,2005
2019-06-10,2005
2019-06-11,2005
2019-06-12,2097
2019-06-13,2097
2019-06-14,2201
2019-06-15,2201
2019-06-16,2201
2019-06-17,2221
2019-06-18,2221
2019-06-19,2221
2019-06-20,2118
2019-06-21,2118
2019-06-22,2118
2019-06-23,2012
2019-06-24,2012
2019-06-25,2012
2019-06-26,1911
2019-06-27,1911
2019-06-28,1911
2019-06-29,1822
2019-06-30,1822
2019-07-01,1822
2019-07-02,1749
2019-07-03,1749
2019-07-04,1749
2019-07-05,1669
2019-07-06,1669
2019-07-07,1669
2019-07-08,1617
2019-07-09,1617
2019-07-10,1617
2019-07-11,1583
2019-07-12,1583
2019-07-13,1583
2019-07-14,1573
2019-07-15,1573
2019-07-16,1573
2019-07-17,1622
2019-07-18,1622
2019-07-19,1622
2019-07-20,1622
2019-07-21,1618
2019-07-22,1618
2019-07-23,1618
2019-07-24,1667
2019-07-25,1667
2019-07-26,1667
2019-07-27,1745
2019-07-28,1745
2019-07-29,1745
2019-07-30,1833
2019-07-31,1833
2019-08-01,1833
2019-08-02,1919
2019-08-03,1919
2019-08-04,1919
2019-08-05,2015
2019-08-06,2015
2019-08-07,2015
2019-08-08,2062
2019-08-09,2062
2019-08-10,2062
2019-08-11,1977
2019-08-12,1977
2019-08-13,1977
2019-08-14,2028
2019-08-15,2028
2019-08-16,2028
2019-08-17,2009
2019-08-18,2009
2019-08-19,2009
2019-08-20,1953
2019-08-21,1953
2019-08-22,1953
2019-08-23,1949
2019-08-24,1949
