date_obj,Pie%20shell price
2015-03-26,872
2015-03-27,872
2015-03-28,834
2015-03-29,834
2015-03-30,834
2015-03-31,834
2015-04-01,834
2015-04-02,834
2015-04-03,834
2015-04-04,834
2015-04-05,834
2015-04-06,834
2015-04-07,834
2015-04-08,834
2015-04-09,834
2015-04-10,834
2015-04-11,834
2015-04-12,834
2015-04-13,834
2015-04-14,834
2015-04-15,834
2015-04-16,834
2015-04-17,834
2015-04-18,834
2015-04-19,806
2015-04-20,806
2015-04-21,806
2015-04-22,806
2015-04-23,806
2015-04-24,806
2015-04-25,806
2015-04-26,806
2015-04-27,806
2015-04-28,806
2015-04-29,806
2015-04-30,806
2015-05-01,806
2015-05-02,806
2015-05-03,806
2015-05-04,806
2015-05-05,806
2015-05-06,806
2015-05-07,806
2015-05-08,806
2015-05-09,806
2015-05-10,806
2015-05-11,793
2015-05-12,793
2015-05-13,793
2015-05-14,793
2015-05-15,793
2015-05-16,793
2015-05-17,793
2015-05-18,793
2015-05-19,793
2015-05-20,793
2015-05-21,793
2015-05-22,793
2015-05-23,793
2015-05-24,793
2015-05-25,793
2015-05-26,793
2015-05-27,793
2015-05-28,762
2015-05-29,762
2015-05-30,762
2015-05-31,762
2015-06-01,762
2015-06-02,762
2015-06-03,762
2015-06-04,762
2015-06-05,762
2015-06-06,762
2015-06-07,762
2015-06-08,762
2015-06-09,762
2015-06-10,762
2015-06-11,762
2015-06-12,762
2015-06-13,733
2015-06-14,733
2015-06-15,733
2015-06-16,733
2015-06-17,733
2015-06-18,733
2015-06-19,733
2015-06-20,733
2015-06-21,733
2015-06-22,733
2015-06-23,733
2015-06-24,733
2015-06-25,733
2015-06-26,733
2015-06-27,733
2015-06-28,733
2015-06-29,733
2015-06-30,733
2015-07-01,733
2015-07-02,733
2015-07-03,719
2015-07-04,719
2015-07-05,719
2015-07-06,719
2015-07-07,719
2015-07-08,719
2015-07-09,719
2015-07-10,719
2015-07-11,719
2015-07-12,719
2015-07-13,719
2015-07-14,719
2015-07-15,719
2015-07-16,719
2015-07-17,719
2015-07-18,719
2015-07-19,719
2015-07-20,719
2015-07-21,707
2015-07-22,707
2015-07-23,707
2015-07-24,707
2015-07-25,707
2015-07-26,707
2015-07-27,707
2015-07-28,707
2015-07-29,707
2015-07-30,707
2015-07-31,707
2015-08-01,693
2015-08-02,693
2015-08-03,693
2015-08-04,693
2015-08-05,693
2015-08-06,693
2015-08-07,693
2015-08-08,693
2015-08-09,693
