date_obj,Steel%20platebody%20(t) price
2016-07-06,1000000
2016-07-07,1000000
2016-07-08,953901
2016-07-09,953901
2016-07-10,953901
2016-07-11,907901
2016-07-12,907901
2016-07-13,907901
2016-07-14,907901
2016-07-15,865233
2016-07-16,865233
2016-07-17,865233
2016-07-18,823430
2016-07-24,783744
2016-07-25,783744
2016-07-26,783744
2016-07-27,783744
2016-07-28,745460
2016-07-29,745460
2016-07-30,745460
2016-07-31,745460
2016-08-01,708594
2016-08-02,708594
2016-08-03,708594
2016-08-04,674824
2016-08-05,674824
2016-08-06,674824
2016-08-07,674824
2016-08-08,674824
2016-08-09,643315
2016-08-10,643315
2016-08-11,643315
2016-08-12,643315
2016-08-13,643315
2016-08-14,643315
2016-08-15,611532
2016-08-16,611532
2016-08-17,611532
2016-08-18,611532
2016-08-19,611532
2016-08-20,611532
2016-08-21,581803
2016-08-22,581803
2016-08-23,581803
2016-08-24,581803
2016-08-25,581803
2016-08-26,581803
2016-08-28,554183
2016-08-31,554183
2016-09-01,554183
2016-09-02,554183
2016-09-03,554183
2016-09-04,527565
2016-09-05,527565
2016-09-06,527565
2016-09-07,527565
2016-09-08,527565
2016-09-09,527565
2016-09-10,527565
2016-09-11,527565
2016-09-12,502749
2016-09-13,502749
2016-09-14,502749
2016-09-15,502749
2016-09-16,502749
2016-09-17,502749
2016-09-18,502749
2016-09-19,478886
2016-09-20,478886
2016-09-21,478886
2016-09-22,478886
2016-09-23,478886
2016-09-24,478886
2016-09-25,478886
2016-09-26,478886
2016-09-27,478886
2016-09-28,455755
2016-09-29,455755
2016-09-30,455755
2016-10-01,455755
2016-10-02,455755
2016-10-03,455755
2016-10-04,455755
2016-10-05,455755
2016-10-06,455755
2016-10-07,434079
2016-10-08,434079
2016-10-09,434079
2016-10-10,434079
2016-10-11,434079
2016-10-12,434079
2016-10-13,434079
2016-10-14,413054
2016-10-15,413054
2016-10-16,413054
2016-10-17,413054
2016-10-18,413054
2016-10-19,413054
2016-10-20,393787
2016-10-21,393787
2016-10-22,393787
2016-10-23,393787
2016-10-24,393787
2016-10-25,393787
2016-10-26,375376
2016-10-27,375376
2016-10-28,375376
2016-10-29,375376
2016-10-30,375376
2016-10-31,62000
2016-11-01,62000
2016-11-02,62000
2016-11-03,62000
2016-11-04,62000
2016-11-05,62000
2016-11-06,62000
2016-11-07,62000
2016-11-08,62000
2016-11-09,62000
2016-11-10,62000
2016-11-11,62000
2016-11-12,59219
2016-11-13,59219
2016-11-14,59219
2016-12-08,53897
2016-12-09,53897
2016-12-10,53897
2016-12-11,53897
2016-12-12,53897
2016-12-13,53897
2016-12-14,51670
2016-12-15,51670
2016-12-16,51670
2016-12-17,51670
2016-12-18,51670
2016-12-19,51670
2016-12-20,51670
2016-12-21,51670
2016-12-22,51670
2016-12-23,51670
2016-12-24,51670
2016-12-25,49821
2016-12-26,49821
2016-12-27,49821
2016-12-28,49821
2016-12-29,49821
2016-12-30,49821
2016-12-31,49821
2017-01-01,49821
2017-01-02,49821
2017-01-03,49821
2017-01-04,47647
2017-01-05,47647
2017-01-06,47647
2017-01-07,47647
2017-01-08,47647
2017-01-09,47647
2017-01-10,47647
2017-01-11,47647
2017-01-12,45401
2017-01-13,45401
2017-01-14,45401
2017-01-15,45401
2017-01-16,45401
2017-01-17,45401
2017-01-18,45401
2017-01-19,45401
2017-01-20,45401
2017-01-21,43599
2017-01-22,43599
2017-01-27,43599
2017-01-28,41516
2017-01-29,41516
2017-01-30,41516
2017-01-31,41516
2017-02-01,41516
2017-02-02,41516
2017-02-03,41516
2017-02-04,39571
2017-02-05,39571
2017-02-06,39571
2017-02-07,39571
2017-02-08,39571
2017-02-09,39571
2017-02-10,39571
2017-02-11,37698
2017-02-12,37698
2017-02-13,37698
2017-02-14,37698
2017-02-15,37698
2017-02-16,37698
2017-02-18,37698
2017-02-19,36005
2017-02-20,36005
2017-02-21,36005
2017-02-22,36005
2017-02-23,36005
2017-02-24,36005
2017-02-25,36005
2017-02-26,36005
2017-02-27,34295
2017-02-28,34295
2017-03-01,34295
2017-03-02,34295
2017-03-03,34295
2017-03-04,34295
2017-03-05,32680
2017-03-06,32680
2017-03-07,32680
2017-03-08,32680
2017-03-09,32680
2017-03-10,32680
2017-03-11,32680
2017-03-12,31208
2017-03-13,31208
2017-03-14,31208
2017-03-15,31208
2017-03-16,31208
2017-03-17,31208
2017-03-18,31208
2017-03-19,29741
2017-03-20,29741
2017-03-21,29741
2017-03-22,29741
2017-03-23,29741
2017-03-24,29741
2017-03-25,28303
2017-03-26,28303
2017-03-27,28303
2017-03-28,28303
2017-03-29,28303
2017-03-30,28303
2017-03-31,27105
2017-04-01,27105
2017-04-02,27105
2017-04-03,27105
2017-04-04,27105
2017-04-12,26158
2017-04-13,26158
2017-04-14,26158
2017-04-15,26158
2017-04-16,26158
2017-04-17,25024
2017-04-18,25024
2017-04-19,25024
2017-04-20,25024
2017-04-21,25024
