date_obj,Elemental%20helmet price
2015-03-26,4800
2015-03-27,4800
2015-03-28,4800
2015-03-29,4800
2015-03-30,4800
2015-03-31,4800
2015-04-01,4800
2015-04-02,4800
2015-04-03,4800
2015-04-04,4800
2015-04-05,4800
2015-04-06,4800
2015-04-07,4800
2015-04-08,4800
2015-04-09,4800
2015-04-10,4800
2015-04-11,4800
2015-04-12,4800
2015-04-13,4800
2015-04-14,4800
2015-04-15,4800
2015-04-16,4800
2015-04-17,4800
2015-04-18,4800
2015-04-19,4800
2015-04-20,4800
2015-04-21,4800
2015-04-22,4800
2015-04-23,4800
2015-04-24,4800
2015-04-25,4800
2015-04-26,4800
2015-04-27,4800
2015-04-28,4800
2015-04-29,4800
2015-04-30,4800
2015-05-01,4800
2015-05-02,4800
2015-05-03,4800
2015-05-04,4800
2015-05-05,4800
2015-05-06,4800
2015-05-07,4655
2015-05-08,4655
2015-05-09,4655
2015-05-10,4655
2015-05-11,4655
2015-05-12,4655
2015-05-13,4655
2015-05-14,4655
2015-05-15,4655
2015-05-16,4655
2015-05-17,4655
2015-05-18,4655
2015-05-19,4655
2015-05-20,4655
2015-05-21,4655
2015-05-22,4655
2015-05-23,4655
2015-05-24,4655
2015-05-25,4655
2015-05-26,4655
2015-05-27,4655
2015-05-28,4655
2015-05-29,4655
2015-05-30,4655
2015-05-31,4655
2015-06-01,4655
2015-06-02,4655
2015-06-03,4655
2015-06-04,4655
2015-06-05,4655
2015-06-06,4655
2015-06-07,4655
2015-06-08,4655
2015-06-09,4655
2015-06-10,4655
2015-06-11,4655
2015-06-12,4655
2015-06-13,4655
2015-06-14,4655
2015-06-15,4655
2015-06-16,4655
2015-06-17,4655
2015-06-18,4655
2015-06-19,4655
2015-06-20,4655
2015-06-21,4655
2015-06-22,4655
2015-06-23,4655
2015-06-24,4655
2015-06-25,4655
2015-06-26,4655
2015-06-27,4655
2015-06-28,4445
2015-06-29,4445
2015-06-30,4445
2015-07-01,4445
2015-07-02,4445
2015-07-03,4445
2015-07-04,4445
2015-07-05,4445
2015-07-06,4445
2015-07-07,4445
2015-07-08,4445
2015-07-09,4445
2015-07-10,4445
2015-07-11,4445
2015-07-12,4445
2015-07-13,4445
2015-07-14,4445
2015-07-15,4445
2015-07-16,4445
