date_obj,Broodoo%20shield%20(green) price
2015-03-26,11390
2015-03-27,11390
2015-03-28,11390
2015-03-29,11390
2015-03-30,11390
2015-03-31,11390
2015-04-01,11390
2015-04-02,11390
2015-04-03,11390
2015-04-04,11390
2015-04-05,11390
2015-04-06,11390
2015-04-07,11390
2015-04-08,11390
2015-04-09,11390
2015-04-10,11390
2015-04-11,11390
2015-04-12,11390
2015-04-13,11390
2015-04-14,11390
2015-04-15,11390
2015-04-16,11390
2015-04-17,11390
2015-04-18,11390
2015-04-19,11390
2015-04-20,11390
2015-04-21,11390
2015-04-22,11390
2015-04-23,11390
2015-04-24,11390
2015-04-25,11390
2015-04-26,11845
2015-04-27,11845
2015-04-28,11845
2015-04-29,11845
2015-04-30,11845
2015-05-01,11845
2015-05-02,11845
2015-05-03,11845
2015-05-04,11845
2015-05-05,11845
2015-05-06,11845
2015-05-07,11845
2015-05-08,11845
2015-05-09,11845
2015-05-10,11845
2015-05-11,11845
2015-05-12,11845
2015-05-13,11845
2015-05-14,11845
2015-05-15,11845
2015-05-16,11845
2015-05-17,11845
2015-05-18,11845
2015-05-19,11845
2015-05-20,11845
2015-05-21,11845
2015-05-22,11845
2015-05-23,11845
2015-05-24,11845
2015-05-25,11845
2015-05-26,11845
2015-05-27,11845
2015-05-28,12369
2015-05-29,12369
2015-05-30,12369
2015-05-31,12369
2015-06-01,12369
2015-06-02,12369
2015-06-03,12369
2015-06-04,12369
2015-06-05,12369
2015-06-06,12369
2015-06-07,12369
2015-06-08,12369
2015-06-09,12369
2015-06-10,12369
2015-06-11,12369
2015-06-12,12369
2015-06-13,12369
2015-06-14,12369
2015-06-15,12369
2015-06-16,12369
2015-06-17,12369
2015-06-18,12369
2015-06-19,12369
2015-06-20,12369
2015-06-21,12369
2015-06-22,12956
2015-06-23,12956
2015-06-24,12956
2015-06-25,12956
2015-06-26,12956
2015-06-27,12956
2015-06-28,12956
2015-06-29,12956
2015-06-30,12956
2015-07-01,12956
2015-07-02,12956
2015-07-03,12956
2015-07-04,12956
2015-07-05,12956
2015-07-06,12956
2015-07-07,12956
2015-07-08,12956
2015-07-09,12956
2015-07-10,12956
2015-07-11,12956
2015-07-12,12956
2015-07-13,12956
2015-07-14,12956
2015-07-15,12956
2015-07-16,12956
2015-07-17,12956
