date_obj,Samurai%20gloves price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,4797536
2016-07-10,4797536
2016-07-11,4797536
2016-07-12,4797536
2016-07-13,4797536
2016-07-14,4557659
2016-07-15,4557659
2016-07-16,4557659
2016-07-17,4557659
2016-07-18,4557659
2016-07-23,4329776
2016-07-24,4329776
2016-07-25,4329776
2016-07-26,4329776
2016-07-27,4113287
2016-07-28,4113287
2016-07-29,4113287
2016-07-30,4113287
2016-07-31,4113287
2016-08-01,4113287
2016-08-02,3907622
2016-08-03,3907622
2016-08-04,3907622
2016-08-05,3907622
2016-08-06,3907622
2016-08-07,3907622
2016-08-08,3907622
2016-08-09,3907622
2016-08-10,3712240
2016-08-11,3712240
2016-08-12,3712240
2016-08-13,3712240
2016-08-14,3712240
2016-08-15,3712240
2016-08-16,3526628
2016-08-17,3526628
2016-08-18,3526628
2016-08-19,3526628
2016-08-20,3526628
2016-08-21,3526628
2016-08-22,3352049
2016-08-23,3352049
2016-08-24,3352049
2016-08-25,3352049
2016-08-26,3352049
2016-08-28,3186725
2016-08-31,3186725
2016-09-01,3186725
2016-09-02,3186725
2016-09-03,3029701
2016-09-04,3029701
2016-09-05,3029701
2016-09-06,3029701
2016-09-07,3029701
2016-09-08,3029701
2016-09-09,3029701
2016-09-10,3029701
2016-09-11,2879565
2016-09-12,2879565
2016-09-13,2879565
2016-09-14,2879565
2016-09-15,2879565
2016-09-16,2879565
2016-09-17,2879565
2016-09-18,2879565
2016-09-19,2737677
2016-09-20,2737677
2016-09-21,2737677
2016-09-22,2737677
2016-09-23,2737677
2016-09-24,2737677
2016-09-25,2737677
2016-09-26,2737677
2016-09-27,2737677
2016-09-28,2602246
2016-09-29,2602246
2016-09-30,2602246
2016-10-01,2602246
2016-10-02,2602246
2016-10-03,2602246
2016-10-04,2602246
2016-10-05,2602246
2016-10-06,2472868
2016-10-07,2472868
2016-10-08,2472868
2016-10-09,2472868
2016-10-10,2472868
2016-10-11,2472868
2016-10-12,2472868
2016-10-13,2472868
2016-10-14,2350937
2016-10-15,2350937
2016-10-16,2350937
2016-10-17,2350937
2016-10-18,2350937
2016-10-19,2350937
2016-10-20,2350937
2016-10-21,2235102
2016-10-22,2235102
2016-10-23,2235102
2016-10-24,2235102
2016-10-25,2235102
2016-10-26,2235102
2016-10-27,2235102
2016-10-28,2235102
2016-10-29,2123346
2016-10-30,2123346
2016-10-31,2123346
2016-11-01,2123346
2016-11-02,2123346
2016-11-03,2123346
2016-11-04,2123346
2016-11-05,2123346
2016-11-06,2017178
2016-11-07,2017178
2016-11-08,2017178
2016-11-09,2017178
2016-11-10,2017178
2016-11-11,2017178
2016-11-12,2017178
2016-11-13,2017178
2016-11-14,1916319
2016-12-08,1645678
2016-12-09,1645678
2016-12-10,1565120
2016-12-11,1565120
2016-12-12,1565120
2016-12-13,1565120
2016-12-14,1565120
2016-12-15,1565120
2016-12-16,1565120
2016-12-17,1487945
2016-12-18,1487945
2016-12-19,1487945
2016-12-20,1487945
2016-12-21,1487945
2016-12-22,1487945
2016-12-23,1415169
2016-12-24,1415169
2016-12-25,1415169
2016-12-26,1415169
2016-12-27,1415169
2016-12-28,1415169
2016-12-29,1345447
2016-12-30,1345447
2016-12-31,1345447
2017-01-01,1345447
2017-01-02,1345447
2017-01-03,1345447
2017-01-04,1278174
2017-01-05,1278174
2017-01-06,1278174
2017-01-07,1278174
2017-01-08,1278174
2017-01-09,1278174
2017-01-10,1215076
2017-01-11,1215076
2017-01-12,1215076
2017-01-13,1215076
2017-01-14,1215076
2017-01-15,1154485
2017-01-16,1154485
2017-01-17,1154485
2017-01-18,1154485
2017-01-19,1154485
2017-01-20,1154485
2017-01-21,1096760
2017-01-22,1096760
2017-01-27,1041922
2017-01-28,1041922
2017-01-29,1041922
2017-01-30,1041922
2017-01-31,1041922
2017-02-01,990414
2017-02-02,990414
2017-02-03,990414
2017-02-04,990414
2017-02-05,990414
2017-02-06,990414
2017-02-07,941495
2017-02-08,941495
2017-02-09,941495
2017-02-10,941495
2017-02-11,941495
2017-02-12,894420
2017-02-13,894420
2017-02-14,894420
2017-02-15,894420
2017-02-16,894420
2017-02-18,850194
2017-02-19,850194
2017-02-20,850194
2017-02-21,850194
2017-02-22,850194
2017-02-23,808365
2017-02-24,808365
2017-02-25,808365
2017-02-26,808365
2017-02-27,808365
2017-02-28,768985
2017-03-01,768985
2017-03-02,768985
2017-03-03,768985
2017-03-05,731316
2017-03-06,731316
2017-03-07,731316
2017-03-08,731316
2017-03-09,731316
2017-03-10,694765
2017-03-11,694765
2017-03-12,694765
2017-03-13,694765
2017-03-14,694765
2017-03-15,660026
2017-03-16,660026
2017-03-17,660026
2017-03-18,660026
2017-03-19,660026
2017-03-20,660026
2017-03-21,630022
2017-03-22,630022
2017-03-23,630022
2017-03-24,630022
2017-03-25,630022
2017-03-26,630022
2017-03-27,613198
2017-03-28,613198
2017-03-29,613198
2017-03-30,613198
2017-03-31,613198
2017-04-01,603369
2017-04-02,603369
2017-04-03,603369
2017-04-04,603369
2017-04-12,540100
2017-04-13,540100
2017-04-14,540100
2017-04-15,540100
2017-04-16,524915
2017-04-17,524915
2017-04-18,524915
2017-04-19,524915
2017-04-20,524915
2017-04-21,533746
2017-04-22,533746
2017-04-23,533746
2017-04-24,533746
2017-04-25,544218
2017-04-26,544218
2017-04-27,544218
2017-04-28,544218
2017-04-29,544218
2017-04-30,551627
2017-05-01,551627
2017-05-02,551627
2017-05-03,551627
2017-05-04,565371
2017-05-05,565371
2017-05-06,565371
2017-05-07,565371
2017-05-08,565371
2017-05-09,557400
2017-05-10,557400
2017-05-11,557400
2017-05-12,557400
2017-05-13,557400
2017-05-14,557112
2017-05-15,557112
2017-05-16,557112
2017-05-17,557112
2017-05-18,557112
2017-05-19,550481
2017-05-20,550481
2017-05-21,550481
2017-05-22,550481
2017-05-23,550231
2017-05-24,550231
2017-05-25,550231
2017-05-26,550231
2017-05-27,530247
2017-05-28,530247
2017-05-29,530247
2017-05-30,530247
2017-05-31,530247
2017-06-01,509215
2017-06-02,509215
2017-06-03,509215
2017-06-06,499540
2017-06-07,499540
2017-06-08,499540
2017-06-09,513243
2017-06-10,513243
2017-06-11,513243
2017-06-12,513243
2017-06-13,523501
2017-06-14,523501
2017-06-15,523501
2017-06-16,523501
2017-06-17,523501
2017-06-18,537240
2017-06-19,537240
2017-06-20,537240
2017-06-21,537240
2017-06-22,537240
2017-06-23,537240
2017-06-24,534814
2017-06-25,534814
2017-06-26,534814
2017-06-27,534814
2017-06-28,534814
2017-06-29,543407
2017-06-30,543407
2017-07-01,543407
2017-07-02,543407
