date_obj,Dexterous%20prayer%20scroll price
2017-01-04,33625000
2017-01-05,35005831
2017-01-06,36666405
2017-01-07,38463170
2017-01-08,40341791
2017-01-09,42256048
2017-01-10,44335869
2017-01-11,46455702
2017-01-12,48731617
2017-01-13,50966846
2017-01-14,53388674
2017-01-15,55844037
2017-01-16,58436404
2017-01-17,61273563
2017-01-18,64248019
2017-01-19,67212992
2017-01-20,70321278
2017-01-21,73671490
2017-01-22,77197456
2017-01-27,97871148
2017-01-28,102764706
2017-01-29,107902942
2017-01-30,113187059
2017-01-31,118737275
2017-02-01,124674139
2017-02-02,130561529
2017-02-03,136965658
2017-02-04,143813941
2017-02-05,150995161
2017-02-06,158509471
2017-02-07,165935431
2017-02-08,174232203
2017-02-09,182943814
2017-02-10,182416825
2017-02-11,173423309
2017-02-12,173423309
2017-02-13,173132293
2017-02-14,180203209
2017-02-15,172967869
2017-02-16,174515528
2017-02-18,172357896
2017-02-19,165174883
2017-02-20,157191711
2017-02-21,155904075
2017-02-22,162316106
2017-02-23,163892217
2017-02-24,157595032
2017-02-25,156744712
2017-02-26,158286264
2017-02-27,156183808
2017-02-28,152110730
2017-03-01,144706002
2017-03-02,137470894
2017-03-03,130597349
2017-03-04,124067481
2017-03-05,117874209
2017-03-06,117188410
2017-03-07,121800577
2017-03-08,123512571
2017-03-09,128123593
2017-03-10,123482539
2017-03-11,119715707
2017-03-12,116876798
2017-03-13,111745210
2017-03-14,112833485
2017-03-15,109878413
2017-03-16,107097716
2017-03-17,108656345
2017-03-18,110775109
2017-03-19,114758796
2017-03-20,113542570
2017-03-21,113403019
2017-03-22,116509522
2017-03-23,114055221
2017-03-24,114688953
2017-03-25,114792260
2017-03-26,113504159
2017-03-27,113657091
2017-03-28,115318185
2017-03-29,115103594
2017-03-30,116563520
2017-03-31,116693265
2017-04-01,116275207
2017-04-02,117179272
2017-04-03,119925859
2017-04-04,121596165
2017-04-12,115272291
2017-04-13,114830667
2017-04-14,116135772
2017-04-15,115883111
2017-04-16,117210944
2017-04-17,117287104
2017-04-18,116998905
2017-04-19,117754034
2017-04-20,116991914
2017-04-21,115768423
2017-04-22,112287547
2017-04-23,110670857
2017-04-24,110806127
2017-04-25,106727247
2017-04-26,103622712
2017-04-27,102472922
2017-04-28,101734152
2017-04-29,100980550
2017-04-30,98128093
2017-05-01,98799154
2017-05-02,101385594
2017-05-03,103556246
2017-05-04,106086839
2017-05-05,107583732
2017-05-06,107492042
2017-05-07,108460392
2017-05-08,108333187
2017-05-09,106388273
2017-05-10,102210786
2017-05-11,101282303
2017-05-12,104027932
2017-05-13,102307678
2017-05-14,101385000
2017-05-15,101406885
2017-05-16,100472707
2017-05-17,100684018
2017-05-18,101076693
2017-05-19,100783950
2017-05-20,100156384
2017-05-21,101140247
2017-05-22,101766646
2017-05-23,101849061
2017-05-24,101106564
2017-05-25,101565334
2017-05-26,98575400
2017-05-27,95724641
2017-05-28,94160600
2017-05-29,92141436
2017-05-30,89173111
2017-05-31,86412462
2017-06-01,85179752
2017-06-02,83451991
2017-06-03,80296729
2017-06-04,83955515
2017-06-05,87955552
2017-06-06,85856254
2017-06-07,81746474
2017-06-08,79249111
2017-06-09,76482375
2017-06-10,74890999
2017-06-11,77040411
2017-06-12,75525591
2017-06-13,72733548
2017-06-14,73631000
2017-06-15,72921682
2017-06-16,73128234
2017-06-17,74145398
2017-06-18,73082517
2017-06-19,71410328
2017-06-20,69577074
2017-06-21,68859218
2017-06-22,66510913
2017-06-23,65642330
2017-06-24,65836293
2017-06-25,65777901
2017-06-26,64772579
2017-06-27,61825177
2017-06-28,59289235
2017-06-29,58417779
2017-06-30,59657491
2017-07-01,62255801
2017-07-02,65160300
2017-07-03,67675028
2017-07-04,68076358
2017-07-05,68076358
2017-07-06,68361480
2017-07-07,67371766
2017-07-08,69229446
2017-07-13,65078569
2017-07-14,62437362
2017-07-15,61304367
2017-07-16,63882177
2017-07-17,64780473
2017-07-18,64827125
2017-07-19,63087954
2017-07-20,64478759
2017-07-21,65404565
2017-07-22,65337373
2017-07-23,67201893
2017-07-24,67211749
2017-07-25,67116049
2017-07-26,66276519
2017-07-27,65987768
2017-07-28,65081786
2017-07-29,65219906
2017-07-30,64650121
2017-07-31,64724325
2017-08-01,64748161
2017-08-02,66116203
2017-08-03,65975790
2017-08-04,66146371
2017-08-05,67301085
2017-08-06,66827508
2017-08-09,68638228
2017-08-10,69325268
2017-08-11,70028711
2017-08-12,70176444
2017-08-13,70305602
2017-08-14,70054828
2017-08-15,70041631
2017-08-16,69749568
2017-08-17,67086534
2017-08-18,63732846
2017-08-19,64153547
2017-08-20,63408069
2017-08-21,64667544
2017-08-22,64464973
2017-08-23,64632030
2017-08-24,66300807
2017-08-25,66546894
2017-08-26,65260513
2017-08-27,64006888
2017-08-28,63628476
2017-08-29,63641805
2017-08-30,64768017
2017-08-31,65568000
2017-09-01,66277353
2017-09-03,66158614
2017-09-04,66343542
2017-09-05,66805888
2017-09-06,66538270
2017-09-07,68459952
2017-09-08,69533310
2017-09-09,69217504
2017-09-10,68555954
2017-09-11,68176063
2017-09-12,67669739
2017-09-13,67722230
2017-09-14,68582946
2017-09-15,68582946
2017-09-16,68606672
2017-09-17,68183284
2017-09-18,67692147
2017-09-19,67459934
2017-09-20,67855372
2017-09-21,69029505
2017-09-22,68724849
2017-09-23,67521754
2017-09-24,65963724
2017-09-25,66349293
2017-09-26,66276962
2017-09-27,65619390
2017-09-28,65321894
2017-09-29,65355309
2017-09-30,64947411
2017-10-01,64111592
2017-10-02,63378439
2017-10-03,62034275
2017-10-04,61700451
2017-10-05,62238475
2017-10-06,61540923
2017-10-07,60598019
2017-10-08,60818236
2017-10-09,62496458
2017-10-10,62679350
2017-10-11,62679350
2017-10-12,62419090
2017-10-13,61890243
2017-10-14,61146514
2017-10-15,60515548
2017-10-16,59587938
2017-10-17,59481384
2017-10-18,58230905
2017-10-19,57018342
2017-10-20,56683125
2017-10-21,55745129
2017-10-22,54379980
2017-10-23,54332284
2017-10-24,55836453
2017-10-25,57795684
2017-10-26,59563161
2017-10-27,61719610
2017-10-28,61719610
2017-10-29,62059919
2017-10-30,61806383
2017-10-31,61559356
2017-11-01,62303604
2017-11-02,62229134
2017-11-03,62762244
2017-11-04,61466506
2017-11-05,60459342
2017-11-06,60410663
2017-11-07,60098873
2017-11-08,59367948
2017-11-09,58909874
2017-11-10,58703260
2017-11-11,58811562
2017-11-12,58215135
2017-11-13,56885506
2017-11-14,56291336
2017-11-15,56661653
2017-11-16,56344381
2017-11-17,57201743
2017-11-18,58038677
2017-11-19,57572600
2017-11-20,57721316
2017-11-21,57900442
2017-11-22,58488256
2017-11-23,60889697
2017-11-24,63701149
2017-11-25,62492192
2017-11-26,61474290
2017-11-27,61676291
2017-11-28,62072820
2017-11-29,61407140
2017-11-30,62375831
2017-12-01,64247599
2017-12-02,66810170
2017-12-03,65434734
2017-12-04,63212984
2017-12-05,61013296
