date_obj,Black%20wizard%20robe%20(g) price
2015-03-26,307582
2015-03-27,307582
2015-03-28,309841
2015-03-29,308974
2015-03-30,298543
2015-03-31,283964
2015-04-01,270458
2015-04-02,262321
2015-04-03,260026
2015-04-04,255909
2015-04-05,250974
2015-04-06,246068
2015-04-07,239796
2015-04-08,232856
2015-04-09,226884
2015-04-10,226406
2015-04-11,225899
2015-04-12,224461
2015-04-13,228671
2015-04-14,233460
2015-04-15,240469
2015-04-16,246623
2015-04-17,254239
2015-04-18,260039
2015-04-19,265570
2015-04-20,273095
2015-04-21,278117
2015-04-22,278752
2015-04-23,284051
2015-04-24,292988
2015-04-25,298993
2015-04-26,305151
2015-04-27,314160
2015-04-28,321024
2015-04-29,321024
2015-04-30,321065
2015-05-01,316646
2015-05-02,304422
2015-05-03,291650
2015-05-04,277419
2015-05-05,265039
2015-05-06,254683
2015-05-07,244381
2015-05-08,236253
2015-05-09,229015
2015-05-10,223902
2015-05-11,223902
2015-05-12,223676
2015-05-13,225540
2015-05-14,223605
2015-05-15,220182
2015-05-16,221802
2015-05-17,222019
2015-05-18,223819
2015-05-19,225204
2015-05-20,230442
2015-05-21,230442
2015-05-22,233135
2015-05-23,236148
2015-05-24,235367
2015-05-25,234861
2015-05-26,233940
2015-05-27,235282
2015-05-28,233167
2015-05-29,235161
2015-05-30,232464
2015-05-31,231520
2015-06-01,232742
2015-06-02,232742
2015-06-03,233769
2015-06-04,232060
2015-06-05,232928
2015-06-06,231052
2015-06-07,230647
2015-06-08,234314
2015-06-09,233496
2015-06-10,233909
2015-06-11,233909
2015-06-12,234473
2015-06-13,238440
2015-06-14,239416
2015-06-15,239630
2015-06-16,244643
2015-06-17,252399
2015-06-18,253749
2015-06-19,254610
2015-06-20,255856
2015-06-21,255856
2015-06-22,265190
2015-06-23,275034
2015-06-24,281368
2015-06-25,281368
2015-06-26,286988
2015-06-27,285052
2015-06-28,285159
2015-06-29,282780
2015-06-30,283043
2015-07-01,282978
2015-07-02,282978
2015-07-03,277772
2015-07-04,271640
2015-07-05,273206
2015-07-06,271064
2015-07-07,274456
2015-07-08,276107
2015-07-09,276107
2015-07-10,276954
2015-07-11,281949
2015-07-12,281461
