date_obj,Ancient%20dragonhide%20set price
2015-03-26,140549
2015-03-27,140549
2015-03-28,140549
2015-03-29,144423
2015-03-30,144423
2015-03-31,144423
2015-04-01,144423
2015-04-02,144423
2015-04-03,144423
2015-04-04,144423
2015-04-05,144423
2015-04-06,144423
2015-04-07,144423
2015-04-08,148299
2015-04-09,148299
2015-04-10,148299
2015-04-11,148299
2015-04-12,148299
2015-04-13,148299
2015-04-14,148299
2015-04-15,148299
2015-04-16,148299
2015-04-17,148299
2015-04-18,148299
2015-04-19,152047
2015-04-20,152047
2015-04-21,152047
2015-04-22,152047
2015-04-23,152047
2015-04-24,152047
2015-04-25,152047
2015-04-26,152047
2015-04-27,152047
2015-04-28,152047
2015-04-29,152047
2015-04-30,156058
2015-05-01,156058
2015-05-02,156058
2015-05-03,156058
2015-05-04,156058
2015-05-05,156058
2015-05-06,156058
2015-05-07,156058
2015-05-08,156058
2015-05-09,156058
2015-05-10,156058
2015-05-11,156058
2015-05-12,155995
2015-05-13,155995
2015-05-14,155995
2015-05-15,155995
2015-05-16,155995
2015-05-17,155995
2015-05-18,155995
2015-05-19,155995
2015-05-20,155995
2015-05-21,155995
2015-05-22,155995
2015-05-23,155995
2015-05-24,152950
2015-05-25,152950
2015-05-26,152950
2015-05-27,152950
2015-05-28,152950
2015-05-29,152950
2015-05-30,148702
2015-05-31,148702
2015-06-01,148702
2015-06-02,148702
2015-06-03,148702
2015-06-04,148702
2015-06-05,148702
2015-06-06,148702
2015-06-07,149486
2015-06-08,149486
2015-06-09,149486
2015-06-10,149486
2015-06-11,149486
2015-06-12,149486
2015-06-13,149486
2015-06-14,153225
2015-06-15,153225
2015-06-16,153225
2015-06-17,153225
2015-06-18,153225
2015-06-19,153225
2015-06-20,153758
2015-06-21,153758
2015-06-22,153758
2015-06-23,153758
2015-06-24,153758
2015-06-25,153758
2015-06-26,153758
2015-06-27,153758
2015-06-28,151454
2015-06-29,151454
2015-06-30,151454
2015-07-01,151454
2015-07-02,151454
2015-07-03,151454
2015-07-04,151454
2015-07-05,151096
2015-07-06,151096
2015-07-07,151096
2015-07-08,151096
2015-07-09,151096
2015-07-10,151096
2015-07-11,151096
2015-07-12,151096
2015-07-13,147749
2015-07-14,147749
2015-07-15,147749
2015-07-16,147749
2015-07-17,147749
2015-07-18,147749
2015-07-19,147749
2015-07-20,148680
2015-07-21,148680
2015-07-22,148680
2015-07-23,148680
2015-07-24,148680
2015-07-25,148680
2015-07-26,148680
2015-07-27,150669
2015-07-28,150669
2015-07-29,150669
2015-07-30,150669
2015-07-31,150669
2015-08-01,150669
2015-08-02,150669
2015-08-03,154127
2015-08-04,154127
2015-08-05,154127
2015-08-06,154127
2015-08-07,154127
2015-08-08,154127
2015-08-09,154127
2015-08-10,157207
2015-08-11,157207
2015-08-12,157207
2015-08-13,157207
2015-08-14,157207
2015-08-15,157207
2015-08-16,157207
2015-08-17,160199
2015-08-18,160199
2015-08-19,160199
2015-08-20,160199
2015-08-21,160199
2015-08-22,160199
2015-08-23,160199
2015-08-24,156912
2015-08-25,156912
2015-08-26,156912
2015-08-27,156912
2015-08-28,156912
2015-08-29,156912
2015-08-30,156912
2015-08-31,154657
2015-09-01,154657
2015-09-02,154657
2015-09-03,154657
2015-09-04,154657
2015-09-05,154657
2015-09-06,154657
2015-09-07,154657
2015-09-08,149578
2015-09-09,149578
2015-09-10,149578
2015-09-11,149578
2015-09-12,149578
2015-09-13,149578
2015-09-14,147134
2015-09-15,147134
2015-09-16,147134
2015-09-17,147134
2015-09-18,147134
2015-09-19,147134
2015-09-20,147134
2015-09-21,148392
2015-09-22,148392
2015-09-23,148392
2015-09-24,148392
2015-09-25,148392
2015-09-27,148392
2015-09-28,144279
2015-09-29,144279
2015-09-30,144279
2015-10-05,144279
2015-10-06,143754
2015-10-07,143754
2015-10-08,143754
2015-10-09,143754
2015-10-10,143754
2015-10-11,143754
2015-10-12,143754
2015-10-13,143754
2015-10-14,139348
2015-10-15,139348
2015-10-16,139348
2015-10-17,139348
2015-10-18,139348
2015-10-19,139348
2015-10-20,139348
2015-10-22,132788
2015-10-23,132788
2015-10-24,132788
2015-10-25,132788
2015-10-26,132788
2015-10-27,132788
2015-10-28,132788
2015-10-29,126879
2015-10-30,126879
2015-10-31,126879
2015-11-01,126879
2015-11-02,126879
2015-11-03,126879
2015-11-04,126879
2015-11-05,126879
2015-11-06,120833
2015-11-07,120833
2015-11-08,120833
2015-11-09,120833
2015-11-10,120833
2015-11-11,120833
2015-11-12,115162
2015-11-13,115162
2015-11-14,115162
2015-11-15,115162
2015-11-16,115162
2015-11-17,115162
2015-11-18,115162
2015-11-19,110357
2015-11-20,110357
2015-11-21,110357
2015-11-22,110357
2015-11-23,110357
2015-11-24,110357
2015-11-25,110357
2015-11-26,109740
2015-11-27,109740
2015-11-28,109740
2015-11-29,109740
2015-11-30,109740
2015-12-01,110322
2015-12-02,110322
2015-12-03,110322
2015-12-04,110322
2015-12-05,110322
2015-12-06,112762
2015-12-07,112762
2015-12-08,112762
2015-12-09,112762
2015-12-10,112762
2015-12-11,112762
2015-12-12,112762
2015-12-13,114824
2015-12-14,114824
2015-12-15,114824
2015-12-16,114824
2015-12-17,114824
2015-12-18,113951
2015-12-19,113951
2015-12-20,113951
2015-12-21,113951
2015-12-22,113951
2015-12-23,115611
2015-12-24,115611
2015-12-25,115611
2015-12-26,115611
2015-12-27,115611
2015-12-28,115611
2015-12-29,117520
2015-12-30,117520
2015-12-31,117520
2016-01-01,117520
2016-01-02,117520
2016-01-03,119303
2016-01-04,119303
