date_obj,Shorts%20(blue) price
2015-02-25,3000
2015-02-26,3000
2015-02-27,3000
2015-02-28,3000
2015-03-01,3000
2015-03-02,3000
2015-03-03,3000
2015-03-04,2946
2015-03-05,2946
2015-03-06,2946
2015-03-07,2946
2015-03-08,2946
2015-03-09,2946
2015-03-10,2946
2015-03-11,2946
2015-03-12,2879
2015-03-13,2879
2015-03-14,2879
2015-03-15,2879
2015-03-16,2879
2015-03-17,2879
2015-03-18,2879
2015-03-19,2879
2015-03-20,2802
2015-03-21,2802
2015-03-22,2802
2015-03-23,2802
2015-03-24,2802
2015-03-25,2802
2015-03-26,2802
2015-03-27,2802
2015-03-28,2746
2015-03-29,2746
2015-03-30,2746
2015-03-31,2746
2015-04-01,2746
2015-04-02,2746
2015-04-03,2746
2015-04-04,2688
2015-04-05,2688
2015-04-06,2688
2015-04-07,2688
2015-04-08,2688
2015-04-09,2688
2015-04-10,2688
2015-04-11,2632
2015-04-12,2632
2015-04-13,2632
2015-04-14,2632
2015-04-15,2632
2015-04-16,2632
2015-04-17,2632
2015-04-18,2632
2015-04-19,2518
2015-04-20,2518
2015-04-21,2518
2015-04-22,2518
2015-04-23,2518
2015-04-24,2518
2015-04-25,2518
2015-04-26,2518
2015-04-27,2409
2015-04-28,2409
2015-04-29,2409
2015-04-30,2409
2015-05-01,2409
2015-05-02,2409
2015-05-03,2409
2015-05-04,2409
2015-05-05,2409
2015-05-06,2328
2015-05-07,2328
2015-05-08,2328
2015-05-09,2328
2015-05-10,2328
2015-05-11,2328
2015-05-12,2328
2015-05-13,2328
2015-05-14,2350
2015-05-15,2350
2015-05-16,2350
2015-05-17,2350
2015-05-18,2350
2015-05-19,2350
2015-05-20,2350
2015-05-21,2350
2015-05-22,2350
2015-05-23,2318
2015-05-24,2318
2015-05-25,2318
2015-05-26,2318
2015-05-27,2318
2015-05-28,2318
2015-05-29,2298
2015-05-30,2298
2015-05-31,2298
2015-06-01,2298
2015-06-02,2298
2015-06-03,2298
2015-06-04,2305
2015-06-05,2305
2015-06-06,2305
2015-06-07,2305
2015-06-08,2305
2015-06-09,2288
2015-06-10,2288
2015-06-11,2288
2015-06-12,2288
2015-06-13,2288
2015-06-14,2288
2015-06-15,2268
2015-06-16,2268
2015-06-17,2268
2015-06-18,2268
2015-06-19,2268
2015-06-20,2268
2015-06-21,2262
2015-06-22,2262
2015-06-23,2262
2015-06-24,2262
2015-06-25,2262
2015-06-26,2262
2015-06-27,2226
2015-06-28,2226
2015-06-29,2226
2015-06-30,2226
2015-07-01,2226
2015-07-02,2226
2015-07-03,2273
2015-07-04,2273
2015-07-05,2273
2015-07-06,2273
2015-07-07,2273
2015-07-08,2273
2015-07-09,2256
2015-07-10,2256
2015-07-11,2256
2015-07-12,2256
2015-07-13,2256
2015-07-14,2256
2015-07-15,2171
2015-07-16,2171
2015-07-17,2171
2015-07-18,2171
2015-07-19,2171
2015-07-20,2136
2015-07-21,2136
2015-07-22,2136
2015-07-23,2136
2015-07-24,2136
2015-07-25,2136
2015-07-26,2158
2015-07-27,2158
2015-07-28,2158
2015-07-29,2158
2015-07-30,2158
2015-07-31,2158
2015-08-01,2210
2015-08-02,2210
2015-08-03,2210
2015-08-04,2210
2015-08-05,2210
2015-08-06,2210
2015-08-07,2242
2015-08-08,2242
2015-08-09,2242
2015-08-10,2242
2015-08-11,2242
2015-08-12,2225
2015-08-13,2225
2015-08-14,2225
2015-08-15,2225
2015-08-16,2225
2015-08-17,2153
2015-08-18,2153
2015-08-19,2153
2015-08-20,2153
2015-08-21,2153
2015-08-22,2153
2015-08-23,2075
2015-08-24,2075
2015-08-25,2075
2015-08-26,2075
2015-08-27,2075
2015-08-28,2075
2015-08-29,2090
2015-08-30,2090
2015-08-31,2090
2015-09-01,2090
2015-09-02,2090
2015-09-03,2090
2015-09-04,2090
2015-09-05,2096
2015-09-06,2096
2015-09-07,2096
2015-09-08,2096
2015-09-09,2096
2015-09-10,2096
2015-09-11,2150
2015-09-12,2150
2015-09-13,2150
2015-09-14,2150
2015-09-15,2150
2015-09-16,2150
2015-09-17,2146
2015-09-18,2146
2015-09-19,2146
2015-09-20,2146
2015-09-21,2146
2015-09-22,2146
2015-09-23,2146
2015-09-24,2146
2015-09-25,2146
2015-09-26,2146
2015-09-27,2146
2015-09-28,2146
2015-09-29,2146
2015-09-30,2146
2015-10-01,2179
2015-10-02,2179
2015-10-03,2179
2015-10-04,2179
2015-10-05,2179
2015-10-06,2179
2015-10-07,2179
2015-10-08,2133
2015-10-09,2133
2015-10-10,2133
2015-10-11,2133
2015-10-12,2133
2015-10-13,2133
2015-10-14,2133
2015-10-15,2066
2015-10-16,2066
2015-10-17,2066
2015-10-18,2066
2015-10-19,2066
2015-10-20,2066
2015-10-21,2050
2015-10-22,2050
2015-10-23,2050
2015-10-24,2050
2015-10-25,2050
2015-10-26,2050
2015-10-27,2055
2015-10-28,2055
2015-10-29,2055
2015-10-30,2055
2015-10-31,2055
2015-11-01,2055
2015-11-02,2076
2015-11-03,2076
2015-11-04,2076
2015-11-05,2076
2015-11-06,2076
2015-11-07,2076
2015-11-08,2076
2015-11-09,2076
2015-11-10,2076
2015-11-11,2076
2015-11-12,2056
2015-11-13,2056
2015-11-14,2056
2015-11-15,2056
2015-11-16,2056
2015-11-17,2056
2015-11-18,2056
2015-11-19,2088
2015-11-20,2088
2015-11-21,2088
2015-11-22,2088
2015-11-23,2088
2015-11-24,2088
2015-11-25,2088
2015-11-26,2114
2015-11-27,2114
2015-11-28,2114
2015-11-29,2114
2015-11-30,2114
2015-12-01,2114
2015-12-02,2114
2015-12-03,2104
2015-12-04,2104
2015-12-05,2104
2015-12-06,2104
2015-12-07,2104
2015-12-08,2104
2015-12-09,2104
2015-12-10,2105
2015-12-11,2105
2015-12-12,2105
2015-12-13,2105
2015-12-14,2105
2015-12-15,2105
2015-12-16,2036
2015-12-17,2036
2015-12-18,2036
2015-12-19,2036
2015-12-20,2036
2015-12-21,2036
2015-12-22,2036
2015-12-23,2009
2015-12-24,2009
2015-12-25,2009
2015-12-26,2009
2015-12-27,2009
2015-12-28,2009
2015-12-29,2043
2015-12-30,2043
2015-12-31,2043
2016-01-01,2043
2016-01-02,2043
2016-01-03,2043
2016-01-04,2081
2016-01-05,2081
2016-01-06,2081
2016-01-07,2081
2016-01-08,2081
2016-01-09,2081
2016-01-10,2081
2016-01-11,2057
2016-01-12,2057
2016-01-13,2057
2016-01-14,2057
2016-01-15,2057
2016-01-16,2057
2016-01-17,1982
2016-01-18,1982
2016-01-19,1982
2016-01-20,1982
2016-01-21,1982
2016-01-22,1982
2016-01-23,1884
2016-01-24,1884
2016-01-25,1884
2016-01-26,1884
2016-01-27,1884
2016-01-28,1884
2016-01-29,1933
2016-01-30,1933
2016-01-31,1933
2016-02-01,1933
2016-02-02,1933
2016-02-03,1933
2016-02-04,1917
2016-02-05,1917
2016-02-06,1917
2016-02-07,1917
2016-02-08,1917
2016-02-09,1917
2016-02-10,1917
2016-02-11,1942
2016-02-12,1942
2016-02-13,1942
2016-02-14,1942
2016-02-15,1942
2016-02-16,1942
2016-02-17,1932
2016-02-18,1932
2016-02-19,1932
2016-02-20,1932
2016-02-21,1932
2016-02-22,1932
2016-02-23,1932
2016-02-24,1937
2016-02-25,1937
2016-02-26,1937
2016-02-27,1937
2016-02-28,1937
2016-02-29,1937
2016-03-01,1952
2016-03-02,1952
2016-03-03,1952
2016-03-04,1952
2016-03-05,1952
2016-03-06,1952
2016-03-07,1924
2016-03-08,1924
2016-03-09,1924
2016-03-10,1924
2016-03-11,1924
2016-03-12,1924
2016-03-13,1888
2016-03-14,1888
2016-03-15,1888
2016-03-16,1888
2016-03-17,1888
2016-03-18,1888
2016-03-19,1910
2016-03-20,1910
2016-03-21,1910
2016-03-22,1910
2016-03-23,1910
2016-03-24,1910
2016-03-25,1910
2016-03-26,1949
2016-03-27,1949
2016-03-28,1949
2016-03-29,1949
2016-03-30,1949
2016-03-31,1949
2016-04-01,1949
2016-04-02,1994
2016-04-03,1994
2016-04-04,1994
2016-04-05,1994
2016-04-06,1994
2016-04-07,1994
2016-04-08,1994
2016-04-09,1971
2016-04-10,1971
2016-04-11,1971
2016-04-12,1971
2016-04-13,1971
2016-04-14,1971
2016-04-15,1979
2016-04-16,1979
2016-04-17,1979
2016-04-18,1979
2016-04-19,1979
2016-04-20,1979
2016-04-21,1955
2016-04-22,1955
2016-04-23,1955
2016-04-24,1955
2016-04-25,1955
2016-04-26,1955
2016-04-27,1955
2016-04-28,1869
2016-04-29,1869
2016-04-30,1869
2016-05-01,1869
2016-05-02,1869
2016-05-03,1859
2016-05-04,1859
2016-05-05,1859
2016-05-06,1859
2016-05-07,1859
2016-05-08,1859
2016-05-09,1859
2016-05-10,1865
2016-05-11,1865
2016-05-12,1865
2016-05-13,1865
2016-05-14,1865
2016-05-15,1865
2016-05-16,1782
2016-05-17,1782
2016-05-18,1782
2016-05-19,1782
2016-05-20,1782
2016-05-21,1782
2016-05-22,1818
2016-05-23,1818
2016-05-24,1818
2016-05-25,1818
2016-05-26,1818
2016-05-27,1840
2016-05-28,1840
2016-05-29,1840
2016-05-30,1840
2016-05-31,1840
2016-06-01,1840
2016-06-02,1842
2016-06-03,1842
2016-06-04,1842
2016-06-05,1842
2016-06-06,1795
2016-06-07,1795
2016-06-08,1795
2016-06-09,1795
2016-06-10,1795
2016-06-11,1795
2016-06-12,1859
2016-06-13,1859
2016-06-14,1859
2016-06-15,1859
2016-06-16,1859
2016-06-17,1805
2016-06-18,1805
2016-06-19,1805
2016-06-20,1805
2016-06-21,1805
2016-06-22,1805
2016-06-23,1728
2016-06-24,1728
2016-06-25,1728
2016-06-26,1728
2016-06-27,1728
2016-06-28,1781
2016-06-29,1781
2016-06-30,1781
2016-07-01,1781
2016-07-02,1781
2016-07-03,1767
2016-07-04,1767
2016-07-05,1767
2016-07-06,1767
2016-07-07,1767
2016-07-08,1772
2016-07-09,1772
2016-07-10,1772
2016-07-11,1772
2016-07-13,1772
2016-07-14,1797
2016-07-15,1797
2016-07-16,1797
2016-07-17,1797
2016-07-18,1797
2016-07-19,1797
2016-07-20,1779
2016-07-21,1779
2016-07-22,1779
2016-07-23,1779
2016-07-24,1779
2016-07-25,1779
2016-07-26,1765
2016-07-27,1765
2016-07-28,1765
2016-07-29,1765
2016-07-30,1765
2016-07-31,1765
2016-08-01,1768
2016-08-02,1768
2016-08-03,1768
2016-08-04,1768
2016-08-05,1768
2016-08-06,1769
2016-08-07,1769
2016-08-08,1769
2016-08-09,1769
2016-08-10,1769
2016-08-11,1769
2016-08-12,1773
2016-08-13,1773
2016-08-14,1773
2016-08-15,1773
2016-08-16,1773
2016-08-17,1773
2016-08-18,1773
2016-08-19,1796
2016-08-20,1796
2016-08-21,1796
2016-08-22,1796
2016-08-23,1796
2016-08-24,1796
2016-08-25,1796
2016-08-26,1818
2016-08-27,1818
2016-08-28,1818
2016-08-29,1818
2016-08-30,1818
2016-08-31,1818
2016-09-01,1818
2016-09-02,1841
2016-09-03,1841
2016-09-04,1841
2016-09-05,1841
2016-09-06,1841
2016-09-07,1841
2016-09-08,1841
2016-09-09,1865
2016-09-10,1865
2016-09-11,1865
2016-09-12,1865
2016-09-13,1865
2016-09-14,1865
2016-09-15,1870
2016-09-16,1870
2016-09-17,1870
2016-09-18,1870
2016-09-19,1870
2016-09-20,1870
2016-09-21,1870
2016-09-22,1899
2016-09-23,1899
2016-09-24,1899
2016-09-25,1899
2016-09-26,1899
2016-09-27,1899
2016-09-28,1899
2016-09-29,1899
2016-09-30,1937
2016-10-01,1937
2016-10-02,1937
2016-10-03,1937
2016-10-04,1937
2016-10-05,1937
2016-10-06,1937
2016-10-07,1937
2016-10-08,1923
2016-10-09,1923
2016-10-10,1923
2016-10-11,1923
2016-10-12,1923
2016-10-13,1923
2016-10-14,1923
2016-10-15,1967
2016-10-16,1967
2016-10-17,1967
2016-10-18,1967
2016-10-19,1967
2016-10-20,1967
2016-10-21,1941
2016-10-22,1941
2016-10-23,1941
2016-10-24,1941
2016-10-25,1941
2016-10-26,1941
2016-10-27,1941
2016-10-28,1941
2016-10-29,1928
2016-10-30,1928
2016-10-31,1928
