date_obj,Blamish%20myre%20shell%20(pointed) price
2015-03-26,7400
2015-03-27,7400
2015-03-28,7400
2015-03-29,7400
2015-03-30,7400
2015-03-31,7400
2015-04-01,7400
2015-04-02,7400
2015-04-03,7400
2015-04-04,7400
2015-04-05,7400
2015-04-06,7400
2015-04-07,7400
2015-04-08,7400
2015-04-09,7400
2015-04-10,7400
2015-04-11,7400
2015-04-12,7400
2015-04-13,7400
2015-04-14,7400
2015-04-15,7400
2015-04-16,7400
2015-04-17,7400
2015-04-18,7400
2015-04-19,7400
2015-04-20,7400
2015-04-21,7400
2015-04-22,7400
2015-04-23,7400
2015-04-24,7400
2015-04-25,7400
2015-04-26,7059
2015-04-27,7059
2015-04-28,7059
2015-04-29,7059
2015-04-30,7059
2015-05-01,7059
2015-05-02,7059
2015-05-03,7059
2015-05-04,7059
2015-05-05,7059
2015-05-06,7059
2015-05-07,7059
2015-05-08,7059
2015-05-09,7059
2015-05-10,7059
2015-05-11,7059
2015-05-12,7059
2015-05-13,7059
2015-05-14,7059
2015-05-15,7059
2015-05-16,7059
2015-05-17,7059
2015-05-18,7059
2015-05-19,7059
2015-05-20,7059
2015-05-21,7059
2015-05-22,7059
2015-05-23,7059
2015-05-24,7059
2015-05-25,7059
2015-05-26,7059
2015-05-27,7059
2015-05-28,7059
2015-05-29,7059
2015-05-30,6717
2015-05-31,6717
2015-06-01,6717
2015-06-02,6717
2015-06-03,6717
2015-06-04,6717
2015-06-05,6717
2015-06-06,6717
2015-06-07,6717
2015-06-08,6717
2015-06-09,6717
2015-06-10,6717
2015-06-11,6717
2015-06-12,6717
2015-06-13,6717
2015-06-14,6717
2015-06-15,6717
2015-06-16,6717
2015-06-17,6717
2015-06-18,6717
2015-06-19,6717
2015-06-20,6717
2015-06-21,6717
2015-06-22,6717
2015-06-23,6717
2015-06-24,6717
2015-06-25,6717
2015-06-26,6717
2015-06-27,6717
2015-06-28,6717
2015-06-29,6717
2015-06-30,6717
2015-07-01,6717
2015-07-02,6717
2015-07-03,6717
2015-07-04,6717
