date_obj,Steel%20chainbody price
2015-03-26,491
2015-03-27,491
2015-03-28,491
2015-03-29,468
2015-03-30,468
2015-03-31,468
2015-04-01,468
2015-04-02,446
2015-04-03,446
2015-04-04,446
2015-04-05,425
2015-04-06,425
2015-04-07,425
2015-04-08,425
2015-04-09,404
2015-04-10,404
2015-04-11,404
2015-04-12,404
2015-04-13,385
2015-04-14,385
2015-04-15,385
2015-04-16,385
2015-04-17,368
2015-04-18,368
2015-04-19,368
2015-04-20,368
2015-04-21,351
2015-04-22,351
2015-04-23,351
2015-04-24,351
2015-04-25,336
2015-04-26,336
2015-04-27,336
2015-04-28,323
2015-04-29,323
2015-04-30,323
2015-05-01,323
2015-05-02,312
2015-05-03,312
2015-05-04,312
2015-05-05,312
2015-05-06,299
2015-05-07,299
2015-05-08,299
2015-05-09,299
2015-05-10,291
2015-05-11,291
2015-05-12,291
2015-05-13,291
2015-05-14,287
2015-05-15,287
2015-05-16,287
2015-05-17,282
2015-05-18,282
2015-05-19,282
2015-05-20,282
2015-05-21,282
2015-05-22,283
2015-05-23,283
2015-05-24,283
2015-05-25,283
2015-05-26,278
2015-05-27,278
2015-05-28,278
2015-05-29,272
2015-05-30,272
2015-05-31,270
2015-06-01,270
2015-06-02,270
2015-06-03,267
2015-06-04,267
2015-06-05,267
2015-06-06,267
2015-06-07,267
2015-06-08,267
2015-06-09,273
2015-06-10,273
2015-06-11,273
2015-06-12,273
2015-06-13,281
2015-06-14,281
2015-06-15,281
2015-06-16,289
2015-06-17,289
2015-06-18,289
2015-06-19,291
2015-06-20,291
2015-06-21,291
2015-06-22,282
2015-06-23,282
2015-06-24,282
2015-06-25,282
2015-06-26,274
2015-06-27,274
2015-06-28,274
2015-06-29,274
2015-06-30,268
2015-07-01,268
2015-07-02,268
2015-07-03,279
2015-07-04,279
2015-07-05,279
2015-07-06,279
2015-07-07,284
2015-07-08,284
2015-07-09,284
2015-07-10,287
2015-07-11,287
2015-07-12,287
2015-07-13,287
2015-07-14,282
2015-07-15,282
2015-07-16,282
2015-07-17,283
2015-07-18,283
2015-07-19,283
2015-07-20,280
2015-07-21,280
2015-07-22,280
2015-07-23,283
2015-07-24,283
2015-07-25,283
2015-07-26,273
2015-07-27,273
2015-07-28,273
2015-07-29,269
2015-07-30,269
2015-07-31,269
2015-08-01,269
2015-08-02,264
2015-08-03,264
2015-08-04,264
2015-08-05,264
2015-08-06,264
2015-08-07,264
2015-08-08,264
2015-08-09,262
2015-08-10,262
2015-08-11,262
2015-08-12,262
2015-08-13,263
2015-08-14,263
2015-08-15,263
2015-08-16,257
2015-08-17,257
2015-08-18,257
2015-08-19,253
2015-08-20,253
2015-08-21,253
2015-08-22,255
2015-08-23,255
2015-08-24,255
2015-08-25,255
2015-08-26,253
2015-08-27,253
2015-08-28,253
2015-08-29,254
2015-08-30,254
2015-08-31,254
2015-09-01,254
2015-09-02,251
2015-09-03,251
2015-09-04,251
2015-09-05,251
2015-09-06,252
2015-09-07,252
2015-09-08,252
2015-09-09,252
2015-09-10,249
2015-09-11,249
2015-09-12,249
2015-09-13,249
2015-09-14,249
2015-09-15,249
2015-09-16,249
2015-09-17,249
2015-09-18,250
2015-09-19,250
2015-09-20,250
2015-09-21,250
2015-09-22,254
2015-09-23,254
2015-09-24,254
2015-09-25,254
2015-09-27,259
2015-09-28,259
2015-09-29,259
2015-09-30,261
2015-10-05,262
2015-10-06,262
2015-10-07,262
2015-10-08,262
2015-10-09,262
2015-10-10,262
2015-10-11,265
2015-10-12,265
2015-10-13,265
2015-10-14,265
2015-10-15,267
2015-10-16,267
2015-10-17,267
2015-10-18,267
2015-10-19,266
2015-10-20,266
2015-10-22,266
2015-10-23,265
2015-10-24,265
2015-10-25,265
2015-10-26,261
2015-10-27,261
2015-10-29,261
2015-10-30,261
2015-10-31,261
2015-11-01,261
2015-11-02,261
2015-11-03,261
2015-11-04,264
2015-11-05,264
2015-11-06,264
2015-11-07,271
2015-11-08,271
2015-11-09,271
2015-11-10,271
2015-11-11,280
2015-11-12,280
2015-11-13,280
2015-11-14,280
2015-11-15,283
2015-11-16,283
2015-11-17,283
2015-11-18,283
2015-11-19,289
2015-11-20,289
2015-11-21,289
2015-11-22,289
2015-11-23,298
2015-11-24,298
2015-11-25,298
2015-11-26,298
2015-11-27,298
2015-11-28,298
2015-11-29,298
2015-11-30,298
2015-12-01,297
2015-12-02,297
2015-12-03,297
2015-12-04,297
2015-12-05,300
2015-12-06,300
2015-12-07,300
2015-12-08,300
2015-12-09,299
2015-12-10,299
2015-12-11,299
2015-12-12,299
2015-12-13,299
2015-12-14,299
2015-12-15,299
2015-12-16,299
2015-12-17,302
2015-12-18,302
2015-12-19,302
2015-12-20,302
2015-12-21,305
2015-12-22,305
2015-12-23,305
2015-12-24,305
2015-12-25,307
2015-12-26,307
2015-12-27,307
2015-12-28,315
2015-12-29,315
2015-12-30,315
2015-12-31,313
2016-01-01,313
2016-01-02,313
2016-01-03,309
2016-01-04,309
2016-01-05,309
2016-01-06,307
2016-01-07,307
2016-01-08,307
2016-01-09,307
2016-01-10,316
2016-01-11,316
2016-01-12,316
2016-01-13,312
2016-01-14,312
2016-01-15,312
2016-01-16,307
2016-01-17,307
2016-01-18,307
2016-01-19,317
2016-01-20,317
2016-01-21,317
2016-01-22,317
2016-01-23,317
2016-01-24,317
2016-01-25,324
2016-01-26,324
2016-01-27,324
2016-01-28,324
2016-01-29,322
2016-01-30,322
2016-01-31,322
2016-02-01,322
2016-02-02,322
2016-02-03,322
2016-02-04,321
2016-02-05,321
2016-02-06,321
2016-02-07,314
2016-02-08,314
2016-02-09,314
2016-02-10,310
2016-02-11,310
2016-02-12,310
2016-02-13,303
2016-02-14,303
2016-02-15,303
2016-02-16,303
2016-02-17,294
2016-02-18,294
2016-02-19,294
2016-02-20,294
2016-02-21,294
2016-02-22,294
2016-02-23,294
2016-02-24,294
2016-02-25,296
2016-02-26,296
2016-02-27,296
2016-02-28,290
2016-02-29,290
2016-03-01,290
2016-03-02,287
2016-03-03,287
2016-03-04,287
2016-03-05,283
