date_obj,Oil%20lantern price
2015-03-04,37525
2015-03-05,35750
2015-03-06,35750
2015-03-07,35750
2015-03-08,33962
2015-03-09,33962
2015-03-10,33962
2015-03-11,33962
2015-03-12,32267
2015-03-13,32267
2015-03-14,32267
2015-03-15,30693
2015-03-16,30693
2015-03-17,30693
2015-03-18,30693
2015-03-19,29185
2015-03-20,29185
2015-03-21,29185
2015-03-22,27725
2015-03-23,27725
2015-03-24,27725
2015-03-25,27725
2015-03-26,26338
2015-03-27,26338
2015-03-28,26338
2015-03-29,26338
2015-03-30,25021
2015-03-31,25021
2015-04-01,25021
2015-04-02,25021
2015-04-03,23769
2015-04-04,23769
2015-04-05,23769
2015-04-06,22582
2015-04-07,22582
2015-04-08,22582
2015-04-09,22582
2015-04-10,21452
2015-04-11,21452
2015-04-12,21452
2015-04-13,21452
2015-04-14,20379
2015-04-15,20379
2015-04-16,20379
2015-04-17,20379
2015-04-18,19360
2015-04-19,19360
2015-04-20,19360
2015-04-21,19360
2015-04-22,19360
2015-04-23,18392
2015-04-24,18392
2015-04-25,18392
2015-04-26,18392
2015-04-27,17474
2015-04-28,17474
2015-04-29,17474
2015-04-30,17474
2015-05-01,16600
2015-05-02,16600
2015-05-03,16600
2015-05-04,16600
2015-05-05,15799
2015-05-06,15799
2015-05-07,15799
2015-05-08,15799
2015-05-09,15009
2015-05-10,15009
2015-05-11,15009
2015-05-12,15009
2015-05-13,15009
2015-05-14,14258
2015-05-15,14258
2015-05-16,14258
2015-05-17,14258
2015-05-18,13545
2015-05-19,13545
2015-05-20,13545
2015-05-21,13545
2015-05-22,13545
2015-05-23,12875
2015-05-24,12875
2015-05-25,12875
2015-05-26,12875
2015-05-27,12264
2015-05-28,12264
2015-05-29,12264
2015-05-30,11650
2015-05-31,11650
2015-06-01,11650
2015-06-02,11073
2015-06-03,11073
2015-06-04,11073
2015-06-05,10519
2015-06-06,10519
2015-06-07,10519
2015-06-08,9993
2015-06-09,9993
2015-06-10,9501
2015-06-11,9501
2015-06-12,9501
2015-06-13,9048
2015-06-14,9048
2015-06-15,9048
2015-06-16,8595
2015-06-17,8595
2015-06-18,8595
2015-06-19,8165
2015-06-20,8165
2015-06-21,8165
2015-06-22,7756
2015-06-23,7756
2015-06-24,7756
2015-06-25,7375
2015-06-26,7375
2015-06-27,7375
2015-06-28,7006
2015-06-29,7006
2015-06-30,7006
2015-07-01,6655
2015-07-02,6655
2015-07-03,6655
2015-07-04,6322
2015-07-05,6322
2015-07-06,6322
2015-07-07,6322
2015-07-08,6005
2015-07-09,6005
2015-07-10,6005
2015-07-11,6005
2015-07-12,5704
2015-07-13,5704
2015-07-14,5704
2015-07-15,5418
2015-07-16,5418
2015-07-17,5418
2015-07-18,5159
2015-07-19,5159
2015-07-20,5159
2015-07-21,4930
2015-07-22,4930
2015-07-23,4930
2015-07-24,4683
2015-07-25,4683
2015-07-26,4683
2015-07-27,4448
2015-07-28,4448
2015-07-29,4448
2015-07-30,4246
2015-07-31,4246
2015-08-01,4246
2015-08-02,4039
2015-08-03,4039
2015-08-04,4039
2015-08-05,3837
2015-08-06,3837
2015-08-07,3837
2015-08-08,3645
2015-08-09,3645
2015-08-10,3645
2015-08-11,3462
2015-08-12,3462
2015-08-13,3462
2015-08-14,3288
2015-08-15,3288
2015-08-16,3288
2015-08-17,3123
2015-08-18,3123
2015-08-19,3123
2015-08-20,2966
2015-08-21,2966
2015-08-22,2822
2015-08-23,2822
2015-08-24,2822
2015-08-25,2822
2015-08-26,2680
2015-08-27,2680
2015-08-28,2680
2015-08-29,2546
2015-08-30,2546
2015-09-02,2418
2015-09-07,2300
2015-09-08,2185
2015-09-10,2185
2015-09-14,2119
2015-09-16,2119
2015-09-22,2030
2015-09-23,1980
2015-09-24,1980
2015-09-25,1980
2015-09-27,1959
2015-09-28,1959
2015-09-29,1959
2015-09-30,1867
2015-10-05,1773
2015-10-06,1773
2015-10-07,1773
2015-10-08,1684
2015-10-09,1684
2015-10-10,1684
2015-10-11,1599
2015-10-12,1599
2015-10-13,1599
2015-10-14,1599
2015-10-15,1519
2015-10-16,1519
2015-10-17,1519
2015-10-18,1519
2015-10-19,1505
2015-10-20,1505
2015-10-22,1505
2015-10-23,1571
2015-10-24,1571
2015-10-25,1571
2015-10-26,1590
2015-10-27,1590
2015-10-29,1590
2015-10-30,1615
2015-10-31,1615
2015-11-01,1615
2015-11-02,1615
2015-11-03,1670
2015-11-04,1670
2015-11-05,1670
2015-11-06,1670
2015-11-07,1675
2015-11-08,1675
2015-11-09,1675
2015-11-10,1675
2015-11-11,1736
2015-11-12,1736
2015-11-13,1736
2015-11-14,1736
2015-11-15,1766
2015-11-16,1766
2015-11-17,1766
2015-11-18,1766
2015-11-19,1819
2015-11-20,1819
2015-11-21,1819
2015-11-22,1855
2015-11-23,1855
2015-11-24,1855
2015-11-25,1926
2015-11-26,1926
2015-11-27,1926
2015-11-28,1926
2015-11-29,1991
2015-11-30,1991
2015-12-01,1991
2015-12-02,1973
2015-12-03,1973
2015-12-04,1973
2015-12-05,1973
2015-12-06,2029
2015-12-07,2029
2015-12-08,2029
2015-12-09,2059
2015-12-10,2059
2015-12-11,2059
2015-12-12,2059
2015-12-13,2140
2015-12-14,2140
2015-12-15,2140
2015-12-16,2240
2015-12-17,2240
2015-12-18,2240
2015-12-19,2342
2015-12-20,2342
2015-12-21,2342
2015-12-22,2424
2015-12-23,2424
2015-12-24,2424
2015-12-25,2302
2015-12-26,2302
2015-12-27,2302
2015-12-28,2188
2015-12-29,2188
2015-12-30,2087
2015-12-31,2087
2016-01-01,2087
2016-01-02,2087
2016-01-03,2045
2016-01-04,2045
2016-01-05,2045
2016-01-06,2043
2016-01-07,2043
2016-01-08,2043
2016-01-09,2043
2016-01-10,1943
2016-01-11,1943
2016-01-12,1943
2016-01-13,1851
2016-01-14,1851
2016-01-15,1851
2016-01-16,1758
2016-01-17,1758
2016-01-18,1758
2016-01-19,1670
2016-01-20,1670
2016-01-21,1670
2016-01-22,1633
2016-01-23,1633
2016-01-24,1633
2016-01-25,1662
2016-01-26,1662
2016-01-27,1662
2016-01-28,1662
2016-01-29,1653
2016-01-30,1653
2016-01-31,1653
2016-02-01,1667
2016-02-02,1667
2016-02-03,1667
2016-02-04,1666
2016-02-05,1666
2016-02-06,1666
2016-02-07,1615
2016-02-08,1615
2016-02-09,1615
2016-02-10,1571
2016-02-11,1571
2016-02-12,1571
2016-02-13,1516
2016-02-14,1516
2016-02-15,1516
2016-02-16,1479
