date_obj,Drake's%20tooth price
2019-01-10,120000
2019-01-10,126000
2019-01-11,132300
2019-01-12,138817
2019-01-13,145758
2019-01-14,153046
2019-01-15,160699
2019-01-16,168734
2019-01-17,177171
2019-01-18,184670
2019-01-19,193904
2019-01-20,203600
2019-01-21,210316
2019-01-22,218125
2019-01-23,217123
2019-01-24,210920
2019-01-25,201378
2019-01-26,191319
2019-01-27,181753
2019-01-28,172665
2019-01-29,164531
2019-01-30,156788
2019-01-31,156788
2019-02-01,148948
2019-02-02,148948
2019-02-03,141500
2019-02-04,141500
2019-02-05,134449
2019-02-06,134449
2019-02-07,127726
2019-02-08,121582
2019-02-09,116196
2019-02-10,110386
2019-02-11,104866
2019-02-12,99761
2019-02-13,94772
2019-02-14,94772
2019-02-15,90469
2019-02-16,86517
2019-02-17,86517
2019-02-18,82191
2019-02-19,82191
2019-02-20,78081
2019-02-21,74470
2019-02-22,74470
2019-02-23,70746
2019-02-24,67453
2019-02-25,64478
2019-02-26,64478
2019-02-27,61747
2019-02-28,61747
2019-03-01,60954
2019-03-02,60954
2019-03-03,60188
2019-03-04,60654
2019-03-05,60654
2019-03-06,62511
2019-03-07,62511
2019-03-08,64979
2019-03-09,64979
2019-03-10,67898
2019-03-11,67898
2019-03-12,70067
2019-03-13,70067
2019-03-14,66563
2019-03-15,66563
2019-03-16,63360
2019-03-17,63196
2019-03-18,63196
2019-03-19,64908
2019-03-20,64908
2019-03-21,65610
2019-03-22,65610
2019-03-23,67656
2019-03-24,67656
2019-03-25,68581
2019-03-26,68581
2019-03-27,68199
2019-03-28,68199
2019-03-29,66795
2019-03-30,66795
2019-03-31,66795
2019-04-01,65154
2019-04-02,65154
2019-04-03,63757
2019-04-04,63757
2019-04-05,62822
2019-04-06,62822
2019-04-07,60885
2019-04-08,60885
2019-04-09,60301
2019-04-10,60301
2019-04-11,61556
2019-04-12,61556
2019-04-13,61002
2019-04-14,61002
2019-04-15,60818
2019-04-16,60818
2019-04-17,60666
2019-04-18,60666
2019-04-19,60959
2019-04-20,60959
2019-04-21,58800
2019-04-22,58800
2019-04-23,59072
2019-04-24,59072
2019-04-25,60119
2019-04-26,60119
2019-04-27,60119
2019-04-28,60741
2019-04-29,60741
2019-04-30,60423
2019-05-01,60423
2019-05-02,60423
2019-05-03,58164
2019-05-04,58164
2019-05-05,59113
2019-05-06,59113
2019-05-07,59827
2019-05-08,59827
2019-05-09,59827
2019-05-10,60355
2019-05-11,60355
2019-05-12,60826
2019-05-13,60826
2019-05-14,60858
2019-05-15,60858
2019-05-16,60858
2019-05-17,60915
2019-05-18,60915
2019-05-19,60981
2019-05-20,60981
2019-05-21,60981
2019-05-22,61061
2019-05-23,61061
2019-05-24,61061
2019-05-25,59191
2019-05-26,59191
2019-05-27,59172
2019-05-28,59172
2019-05-29,60218
2019-05-30,60218
2019-05-31,60218
2019-06-01,62188
2019-06-02,62188
2019-06-03,60803
2019-06-04,60803
2019-06-05,59406
2019-06-06,59406
2019-06-07,59406
2019-06-08,59637
2019-06-09,59637
2019-06-10,59637
2019-06-11,61044
2019-06-12,61044
2019-06-13,61044
2019-06-14,59888
2019-06-15,59888
2019-06-16,59888
2019-06-17,58553
2019-06-18,58553
2019-06-19,58553
2019-06-20,59535
2019-06-21,59535
2019-06-22,59535
2019-06-23,60051
2019-06-24,60051
2019-06-25,60051
2019-06-26,59614
2019-06-27,59614
2019-06-28,59614
2019-06-29,59604
2019-06-30,59604
2019-07-01,59604
2019-07-02,59982
2019-07-03,59982
2019-07-04,59982
2019-07-05,59661
2019-07-06,59661
2019-07-07,59661
2019-07-08,60418
2019-07-09,60418
2019-07-10,60418
2019-07-11,60224
2019-07-12,60224
2019-07-13,60224
2019-07-14,59954
2019-07-15,59954
2019-07-16,59954
2019-07-17,59633
2019-07-18,59633
2019-07-19,59633
2019-07-20,61161
2019-07-21,61161
2019-07-22,60469
2019-07-23,60469
2019-07-24,60469
2019-07-25,60469
2019-07-26,58290
2019-07-27,58290
2019-07-28,58290
2019-07-29,57327
2019-07-30,57327
2019-07-31,58302
2019-08-01,58302
2019-08-02,58302
2019-08-03,59556
2019-08-04,59556
2019-08-05,59556
2019-08-06,60457
2019-08-07,60457
2019-08-08,60457
2019-08-09,59886
2019-08-10,59886
2019-08-11,59886
2019-08-12,58575
2019-08-13,58575
2019-08-14,58575
2019-08-15,59942
2019-08-16,59942
2019-08-17,59942
2019-08-18,60535
2019-08-19,60535
2019-08-20,60535
2019-08-21,59095
2019-08-22,59095
2019-08-23,59095
2019-08-24,59763
2019-08-24,59763
2019-08-25,59763
2019-08-25,59763
2019-08-26,59763
2019-08-27,59763
2019-08-27,59763
2019-08-28,60986
2019-08-29,60986
2019-08-30,60986
2019-08-31,61227
2019-09-01,61227
2019-09-02,61227
2019-09-03,61175
2019-09-04,61175
2019-09-05,61175
2019-09-06,61539
2019-09-07,61539
2019-09-08,60524
2019-09-09,60524
2019-09-10,60524
2019-09-11,60524
2019-09-12,60592
2019-09-13,60592
2019-09-14,60592
2019-09-15,60183
2019-09-16,60183
2019-09-17,60183
2019-09-18,60131
2019-09-19,60131
2019-09-20,60131
2019-09-21,60131
2019-09-22,59788
2019-09-23,59788
2019-09-24,59788
2019-09-25,59788
2019-09-26,59531
2019-09-27,59531
2019-09-28,59531
2019-09-29,59531
2019-09-30,58274
2019-10-01,58274
2019-10-02,58274
2019-10-03,58997
2019-10-04,58997
2019-10-05,58997
2019-10-06,60973
2019-10-07,60973
2019-10-08,60973
2019-10-09,60973
2019-10-10,62391
2019-10-11,62391
2019-10-12,62391
2019-10-13,59749
2019-10-14,59749
2019-10-15,59749
2019-10-16,58770
2019-10-17,58770
2019-10-18,58770
2019-10-19,59067
2019-10-20,59067
2019-10-21,59067
2019-10-22,59067
2019-10-23,59000
2019-10-24,59000
2019-10-25,59000
2019-10-26,59613
2019-10-27,59613
2019-10-28,59613
2019-10-29,59613
2019-10-30,60537
2019-10-31,60537
2019-11-01,60537
2019-11-02,59028
2019-11-03,59028
2019-11-04,59028
2019-11-05,59084
2019-11-06,59084
2019-11-07,59084
2019-11-08,59084
2019-11-09,60074
2019-11-10,60074
2019-11-11,60074
2019-11-12,61006
2019-11-13,61006
2019-11-14,61006
2019-11-15,61006
2019-11-16,59255
2019-11-17,59255
2019-11-18,59255
2019-11-19,58544
2019-11-20,58544
2019-11-21,58544
2019-11-22,58757
2019-11-23,58757
2019-11-24,58757
2019-11-25,60799
2019-11-26,60799
2019-11-27,60799
2019-11-28,60799
2019-11-29,62633
2019-11-30,62633
2019-12-01,62633
2019-12-02,61593
2019-12-03,61593
2019-12-04,61593
2019-12-05,61593
2019-12-06,61827
2019-12-07,61827
2019-12-08,61827
2019-12-09,61185
2019-12-10,61185
2019-12-11,61185
2019-12-12,59951
2019-12-13,59951
2019-12-14,59951
2019-12-15,59640
2019-12-16,59640
2019-12-17,59640
2019-12-18,59640
2019-12-19,58679
2019-12-20,58679
2019-12-21,58679
2019-12-22,59439
2019-12-23,59439
2019-12-24,59439
2019-12-25,60473
2019-12-26,60473
2019-12-27,60473
2019-12-28,59941
2019-12-29,59941
2019-12-30,59941
2019-12-31,60065
2020-01-01,60065
2020-01-02,60065
2020-01-03,60058
2020-01-04,60058
2020-01-05,60058
2020-01-06,59635
2020-01-07,59635
2020-01-08,59635
2020-01-09,60074
2020-01-10,60074
2020-01-11,60111
2020-01-12,60111
2020-01-13,60111
2020-01-14,60878
2020-01-15,60878
2020-01-16,60878
2020-01-17,59488
2020-01-18,59488
2020-01-19,59488
2020-01-20,60431
2020-01-21,60431
2020-01-22,60431
2020-01-23,59857
2020-01-24,59857
2020-01-25,59857
2020-01-26,59879
2020-01-27,59879
2020-01-28,59879
2020-01-29,59946
2020-01-30,59946
2020-01-31,59946
2020-02-01,59818
2020-02-02,59818
2020-02-03,59818
2020-02-04,60484
2020-02-05,60484
2020-02-06,59472
2020-02-07,59472
2020-02-08,59472
2020-02-09,59467
2020-02-10,59467
2020-02-11,59927
2020-02-12,59927
2020-02-13,59927
2020-02-14,60250
2020-02-15,60250
2020-02-16,60250
2020-02-17,59244
2020-02-18,59244
2020-02-19,59244
2020-02-20,59653
2020-02-21,59653
2020-02-22,59653
2020-02-23,60049
2020-02-24,60049
2020-02-25,60049
2020-02-26,59452
2020-02-27,59452
2020-02-28,59452
2020-02-29,60004
2020-03-01,60004
2020-03-02,60004
2020-03-03,60649
2020-03-04,60649
2020-03-05,60649
2020-03-06,60572
2020-03-07,60572
2020-03-08,60572
2020-03-09,61992
2020-03-10,61992
2020-03-11,61992
2020-03-12,61977
2020-03-13,61977
2020-03-14,61977
2020-03-15,61403
2020-03-16,61403
2020-03-17,60738
2020-03-18,60738
2020-03-19,60738
2020-03-20,59728
2020-03-21,59728
2020-03-22,59319
2020-03-23,59319
2020-03-24,59964
2020-03-25,59964
2020-03-26,62068
2020-03-27,62068
2020-03-28,63017
2020-03-29,63017
2020-03-30,62043
2020-03-31,62043
2020-04-01,63372
2020-04-02,63372
2020-04-03,63372
2020-04-04,63808
2020-04-05,63808
2020-04-06,60847
2020-04-07,60847
2020-04-08,61291
2020-04-09,61291
2020-04-10,61291
2020-04-11,59967
2020-04-12,59967
2020-04-13,60106
2020-04-14,60106
2020-04-15,59961
2020-04-16,59961
2020-04-17,59961
2020-04-18,59720
2020-04-19,59720
2020-04-20,60773
2020-04-21,60773
2020-04-22,61832
2020-04-23,61832
2020-04-24,61832
2020-04-25,61531
2020-04-26,61531
2020-04-27,60097
2020-04-28,60097
2020-04-29,61760
2020-04-30,61760
2020-05-01,61913
2020-05-02,61913
2020-05-03,60334
2020-05-04,60334
2020-05-05,60334
2020-05-06,60099
2020-05-07,60099
2020-05-08,60099
2020-05-09,60739
2020-05-10,60739
2020-05-11,59734
2020-05-12,59734
2020-05-13,61800
