date_obj,Stripy%20pirate%20shirt%20(red) price
2015-02-25,35000
2015-02-26,35000
2015-02-27,35000
2015-02-28,35000
2015-03-01,35000
2015-03-02,35000
2015-03-03,35000
2015-03-04,35000
2015-03-05,35000
2015-03-06,35000
2015-03-07,35000
2015-03-08,35000
2015-03-09,35000
2015-03-10,35000
2015-03-11,35000
2015-03-12,33352
2015-03-13,33352
2015-03-14,33352
2015-03-15,33352
2015-03-16,33352
2015-03-17,33352
2015-03-18,33352
2015-03-19,33352
2015-03-20,33352
2015-03-21,33352
2015-03-22,33352
2015-03-23,33352
2015-03-24,33352
2015-03-25,33352
2015-03-26,33352
2015-03-27,33352
2015-03-28,31718
2015-03-29,31718
2015-03-30,31718
2015-03-31,31718
2015-04-01,31718
2015-04-02,31718
2015-04-03,31718
2015-04-04,31718
2015-04-05,31718
2015-04-06,31718
2015-04-07,31718
2015-04-08,31718
2015-04-09,31718
2015-04-10,31718
2015-04-11,31718
2015-04-12,30148
2015-04-13,30148
2015-04-14,30148
2015-04-15,30148
2015-04-16,30148
2015-04-17,30148
2015-04-18,30148
2015-04-19,30148
2015-04-20,30148
2015-04-21,30148
2015-04-22,30148
2015-04-23,30148
2015-04-24,30148
2015-04-25,30148
2015-04-26,28659
2015-04-27,28659
2015-04-28,28659
2015-04-29,28659
2015-04-30,28659
2015-05-01,28659
2015-05-02,28659
2015-05-03,28659
2015-05-04,28659
2015-05-05,28659
2015-05-06,28659
2015-05-07,28659
2015-05-08,28659
2015-05-09,28659
2015-05-10,27246
2015-05-11,27246
2015-05-12,27246
2015-05-13,27246
2015-05-14,27246
2015-05-15,27246
2015-05-16,27246
2015-05-17,27246
2015-05-18,27246
2015-05-19,27246
2015-05-20,27246
2015-05-21,27246
2015-05-22,27246
2015-05-23,27246
2015-05-24,27246
2015-05-25,27246
2015-05-26,27246
2015-05-27,27246
2015-05-28,25883
2015-05-29,25883
2015-05-30,25883
2015-05-31,25883
2015-06-01,25883
2015-06-02,25883
2015-06-03,25883
2015-06-04,25883
2015-06-05,25883
2015-06-06,25883
2015-06-07,24599
2015-06-08,24599
2015-06-09,24599
2015-06-10,24599
2015-06-11,24599
2015-06-12,24599
2015-06-13,24599
2015-06-14,24599
2015-06-15,24599
2015-06-16,24599
2015-06-17,24599
2015-06-18,23380
2015-06-19,23380
2015-06-20,23380
2015-06-21,23380
2015-06-22,23380
2015-06-23,23380
2015-06-24,23380
2015-06-25,23380
2015-06-26,23380
2015-06-27,23380
2015-06-28,22249
2015-06-29,22249
2015-06-30,22249
2015-07-01,22249
2015-07-02,22249
2015-07-03,22249
2015-07-04,22249
2015-07-05,22249
2015-07-06,22249
2015-07-07,22249
2015-07-08,21145
2015-07-09,21145
2015-07-10,21145
2015-07-11,21145
2015-07-12,21145
2015-07-13,21145
2015-07-14,21145
2015-07-15,21145
2015-07-16,21145
2015-07-17,20123
2015-07-18,20123
2015-07-19,20123
2015-07-20,20123
2015-07-21,20123
2015-07-22,20123
2015-07-23,20123
2015-07-24,20123
2015-07-25,20123
2015-07-26,20123
2015-07-27,20123
2015-07-28,19173
2015-07-29,19173
2015-07-30,19173
2015-07-31,19173
2015-08-01,19173
2015-08-02,19173
2015-08-03,19173
2015-08-04,19173
2015-08-05,19173
2015-08-06,19173
2015-08-07,18316
2015-08-08,18316
2015-08-09,18316
2015-08-10,18316
2015-08-11,18316
2015-08-12,18316
2015-08-13,18316
2015-08-14,18316
2015-08-15,17409
2015-08-16,17409
2015-08-17,17409
2015-08-18,17409
2015-08-19,17409
2015-08-20,17409
2015-08-21,17409
2015-08-22,17409
2015-08-23,16606
2015-08-24,16606
2015-08-25,16606
2015-08-26,16606
2015-08-27,16606
2015-08-28,16606
2015-08-29,16606
2015-08-30,16606
2015-08-31,16606
2015-09-01,16606
2015-09-02,16606
2015-09-03,15789
2015-09-04,15789
2015-09-05,15789
2015-09-06,15789
2015-09-07,15789
2015-09-08,15789
2015-09-09,15789
2015-09-10,15789
2015-09-11,15789
2015-09-12,15059
2015-09-13,15059
2015-09-14,15059
2015-09-15,15059
2015-09-16,15059
2015-09-17,15059
2015-09-18,15059
2015-09-19,15059
2015-09-20,15059
2015-09-21,14343
2015-09-22,14343
2015-09-23,14343
2015-09-24,14343
2015-09-25,14343
2015-09-26,14343
2015-09-27,14343
2015-09-28,14343
2015-09-29,14343
2015-09-30,13645
2015-10-01,13645
2015-10-02,13645
2015-10-03,13645
2015-10-04,13645
2015-10-05,13645
2015-10-06,13645
2015-10-07,13645
2015-10-08,13645
2015-10-09,12970
2015-10-10,12970
2015-10-11,12970
2015-10-12,12970
2015-10-13,12970
2015-10-14,12970
2015-10-15,12970
2015-10-16,12970
2015-10-17,12970
2015-10-18,12327
2015-10-19,12327
2015-10-20,12327
2015-10-21,12327
2015-10-22,12327
2015-10-23,12327
2015-10-24,12327
2015-10-25,12327
2015-10-26,12327
2015-10-27,12327
2015-10-28,11716
2015-10-29,11716
2015-10-30,11716
2015-10-31,11716
2015-11-01,11716
2015-11-02,11716
2015-11-03,11716
2015-11-04,11716
2015-11-05,11716
2015-11-06,11716
2015-11-07,11150
2015-11-08,11150
2015-11-09,11150
2015-11-10,11150
2015-11-11,11150
2015-11-12,11150
2015-11-13,11150
2015-11-14,11150
2015-11-15,11150
2015-11-16,11150
2015-11-17,10608
2015-11-18,10608
2015-11-19,10608
2015-11-20,10608
2015-11-21,10608
2015-11-22,10608
2015-11-23,10608
2015-11-24,10608
2015-11-25,10608
2015-11-26,10608
2015-11-27,10083
2015-11-28,10083
2015-11-29,10083
2015-11-30,10083
