date_obj,Bandos%20crozier price
2015-03-26,35825
2015-03-27,34222
2015-03-28,32571
2015-03-29,31000
2015-03-30,29594
2015-03-31,28216
2015-04-01,26932
2015-04-02,25585
2015-04-03,24305
2015-04-04,23089
2015-04-05,23089
2015-04-06,21934
2015-04-07,20837
2015-04-08,20837
2015-04-09,19846
2015-04-10,18875
2015-04-11,17944
2015-04-12,17188
2015-04-13,16481
2015-04-14,16481
2015-04-15,15713
2015-04-16,15202
2015-04-17,14560
2015-04-18,14145
2015-04-19,13729
2015-04-20,13729
2015-04-21,13425
2015-04-22,13425
2015-04-23,13004
2015-04-24,12966
2015-04-25,12966
2015-04-26,12728
2015-04-27,12617
2015-04-28,12777
2015-04-29,12777
2015-04-30,12999
2015-05-01,12897
2015-05-02,12632
2015-05-03,12919
2015-05-04,13275
2015-05-05,13775
2015-05-06,14447
2015-05-07,15134
2015-05-08,15764
2015-05-09,16266
2015-05-10,16311
2015-05-11,16311
2015-05-12,16222
2015-05-13,15770
2015-05-14,15583
2015-05-15,15583
2015-05-16,15399
2015-05-17,15094
2015-05-18,14619
2015-05-19,14280
2015-05-20,14280
2015-05-21,13969
2015-05-22,14310
2015-05-23,14634
2015-05-24,14838
2015-05-25,15072
2015-05-26,14859
2015-05-27,14685
2015-05-28,14299
2015-05-29,13833
2015-05-30,13702
2015-05-31,13702
2015-06-01,13455
2015-06-02,13455
2015-06-03,13287
2015-06-04,13287
2015-06-05,12965
2015-06-06,12855
2015-06-07,12855
2015-06-08,12386
2015-06-09,12386
2015-06-10,12187
2015-06-11,12187
2015-06-12,12015
2015-06-13,12015
2015-06-14,11585
2015-06-15,11585
2015-06-16,11146
2015-06-17,11146
2015-06-18,11012
2015-06-19,11012
2015-06-20,10883
2015-06-21,10883
2015-06-22,10653
2015-06-23,10653
2015-06-24,10413
2015-06-25,10413
2015-06-26,10801
2015-06-27,10801
2015-06-28,10796
2015-06-29,10796
2015-06-30,10470
2015-07-01,10407
2015-07-02,10407
2015-07-03,10139
2015-07-04,10228
2015-07-05,10228
2015-07-06,10206
2015-07-07,10288
2015-07-08,10288
2015-07-09,10288
2015-07-10,10317
2015-07-11,10317
2015-07-12,10361
2015-07-13,10329
2015-07-14,10329
2015-07-15,10283
2015-07-16,10283
2015-07-17,10127
2015-07-18,10127
2015-07-19,10037
2015-07-20,9931
2015-07-21,9931
2015-07-22,9747
2015-07-23,9747
2015-07-24,9686
2015-07-25,9686
2015-07-26,10052
2015-07-27,10476
2015-07-28,10772
2015-07-29,10956
2015-07-30,11490
2015-07-31,12060
2015-08-01,12620
2015-08-02,13229
2015-08-03,13821
2015-08-04,14475
2015-08-05,15199
2015-08-06,15905
2015-08-07,16673
2015-08-08,17441
2015-08-09,17847
2015-08-10,17480
2015-08-11,17268
2015-08-12,17268
2015-08-13,17288
2015-08-14,16916
2015-08-15,16916
2015-08-16,17195
2015-08-17,17558
2015-08-18,17650
2015-08-19,18183
2015-08-20,18183
2015-08-21,18567
2015-08-22,18905
2015-08-23,19012
2015-08-24,19472
2015-08-25,19472
2015-08-26,20311
2015-08-27,20899
2015-08-28,21021
2015-08-29,21122
2015-08-30,21731
2015-08-31,21750
2015-09-01,22173
2015-09-02,22173
2015-09-03,23265
2015-09-04,24201
2015-09-05,24201
2015-09-06,24677
2015-09-07,25322
2015-09-08,25528
2015-09-09,26092
2015-09-10,26329
2015-09-11,27376
2015-09-12,28350
2015-09-13,28770
2015-09-14,29607
2015-09-15,30600
2015-09-16,30600
2015-09-17,31584
2015-09-18,31584
2015-09-19,32367
2015-09-20,32367
2015-09-21,33430
2015-09-22,34262
2015-09-23,35512
2015-09-24,35512
2015-09-25,36247
2015-09-27,37743
2015-09-28,39132
2015-09-29,40556
2015-09-30,42036
2015-10-05,46073
2015-10-06,45591
2015-10-07,45591
2015-10-08,45730
2015-10-09,46679
2015-10-10,46679
2015-10-11,46145
2015-10-12,45746
2015-10-13,45746
2015-10-14,45597
2015-10-15,44271
2015-10-16,44355
2015-10-17,44355
2015-10-18,43923
2015-10-19,45543
2015-10-20,46838
2015-10-22,47214
2015-10-23,48431
2015-10-24,50160
2015-10-25,50891
2015-10-26,52419
2015-10-27,52419
2015-10-28,53757
2015-10-29,53757
2015-10-30,52935
2015-10-31,52142
2015-11-01,52142
2015-11-02,50888
2015-11-03,50888
2015-11-04,49889
2015-11-05,49099
2015-11-06,49099
2015-11-07,49160
2015-11-08,49160
2015-11-09,49114
2015-11-10,49114
2015-11-11,49060
2015-11-12,49060
2015-11-13,48613
2015-11-14,48613
2015-11-15,48353
2015-11-16,48353
2015-11-17,47708
2015-11-18,47708
2015-11-19,47805
2015-11-20,47210
2015-11-21,47210
2015-11-22,46810
2015-11-23,46810
2015-11-24,45669
2015-11-25,45403
2015-11-26,45403
2015-11-27,45061
2015-11-28,45142
2015-11-29,45109
2015-11-30,46551
2015-12-01,46551
2015-12-02,47469
2015-12-03,47720
2015-12-04,47720
2015-12-05,48946
2015-12-06,48437
2015-12-07,48230
2015-12-08,49199
2015-12-09,48569
2015-12-10,48681
2015-12-11,49694
2015-12-12,49215
2015-12-13,50502
2015-12-14,50502
2015-12-15,50669
2015-12-16,52178
2015-12-17,52178
2015-12-18,54771
2015-12-19,55892
2015-12-20,56045
2015-12-21,56194
2015-12-22,56780
2015-12-23,56868
2015-12-24,56063
2015-12-25,56163
2015-12-26,56001
2015-12-27,56656
2015-12-28,56633
2015-12-29,57095
2015-12-30,56509
2015-12-31,56489
2016-01-01,55948
2016-01-02,55887
2016-01-03,55702
2016-01-04,55333
2016-01-05,55156
2016-01-06,55284
2016-01-07,55321
2016-01-08,54824
2016-01-09,54824
2016-01-10,54407
2016-01-11,54216
2016-01-12,54642
2016-01-13,54690
2016-01-14,54268
2016-01-15,54987
2016-01-16,55219
2016-01-17,55314
2016-01-18,55107
2016-01-19,55107
2016-01-20,55332
2016-01-21,55493
2016-01-22,55699
2016-01-23,57062
2016-01-24,57526
2016-01-25,57792
2016-01-26,58220
2016-01-27,57533
2016-01-28,57533
2016-01-29,57304
2016-01-30,57304
2016-01-31,57115
2016-02-01,56703
2016-02-02,54894
2016-02-03,54917
2016-02-04,55120
2016-02-05,54256
2016-02-06,51979
2016-02-07,50667
2016-02-08,49979
2016-02-09,49516
2016-02-10,49218
2016-02-11,48906
2016-02-12,50085
2016-02-13,49649
2016-02-14,49649
2016-02-15,48589
2016-02-16,48589
2016-02-17,46467
2016-02-18,46467
2016-02-19,45168
2016-02-20,45168
2016-02-21,44042
2016-02-22,44042
2016-02-23,42476
2016-02-24,42476
2016-02-25,41193
2016-02-26,41193
2016-02-27,39304
2016-02-28,39304
2016-02-29,37338
2016-03-01,35527
2016-03-02,35527
2016-03-03,33902
2016-03-04,33394
2016-03-05,33394
2016-03-06,32396
2016-03-07,32396
2016-03-08,31672
2016-03-09,31672
2016-03-10,30683
2016-03-11,30683
2016-03-12,29349
2016-03-13,29349
2016-03-14,27881
2016-03-15,26661
2016-03-16,25883
2016-03-17,25883
2016-03-18,25150
2016-03-19,25150
2016-03-20,24486
2016-03-21,24486
2016-03-22,23674
2016-03-23,23084
2016-03-24,23084
2016-03-25,22375
2016-03-26,22375
2016-03-27,21780
2016-03-28,21089
2016-03-29,21089
2016-03-30,20940
2016-03-31,20940
2016-04-01,20683
2016-04-02,20683
2016-04-03,20332
2016-04-04,20332
2016-04-05,20095
2016-04-06,20095
2016-04-07,19745
2016-04-08,19745
2016-04-09,19204
2016-04-10,18717
2016-04-11,18717
2016-04-12,18323
2016-04-13,18323
2016-04-14,17895
2016-04-15,17895
2016-04-16,17033
2016-04-17,17033
2016-04-18,16257
2016-04-19,16257
2016-04-20,15642
2016-04-21,15642
2016-04-22,14925
2016-04-23,14925
2016-04-24,14178
2016-04-25,13631
2016-04-26,13631
2016-04-27,13050
2016-04-28,13050
2016-04-29,12563
2016-04-30,12563
2016-05-01,12172
2016-05-02,11841
2016-05-03,11428
2016-05-04,11428
2016-05-05,11012
2016-05-06,11012
2016-05-07,10692
2016-05-08,10692
2016-05-09,10382
2016-05-10,10010
2016-05-11,10010
2016-05-12,9787
2016-05-13,9551
2016-05-14,9551
2016-05-15,9377
2016-05-16,9377
2016-05-17,9342
2016-05-18,9269
2016-05-19,9269
2016-05-22,8857
2016-05-23,8877
2016-05-24,8851
2016-05-25,8851
2016-05-26,8459
2016-05-27,8263
2016-05-28,8263
2016-05-29,8155
2016-05-30,8155
2016-05-31,7987
2016-06-01,8049
2016-06-02,8049
2016-06-03,7956
2016-06-04,7852
2016-06-05,7852
2016-06-06,7569
2016-06-07,7569
2016-06-08,7343
2016-06-09,7079
2016-06-10,6900
2016-06-11,6900
2016-06-12,7076
2016-06-13,7076
2016-06-14,6934
2016-06-15,6934
2016-06-16,6760
2016-06-17,6631
2016-06-18,6631
2016-06-19,6456
2016-06-20,6456
2016-06-21,6258
2016-06-22,6361
2016-06-23,6400
2016-06-24,6284
2016-06-25,6243
2016-06-26,6243
2016-06-27,5959
2016-06-28,5959
2016-06-29,5748
2016-06-30,5748
2016-07-01,5512
2016-07-02,5512
2016-07-03,5443
2016-07-04,5405
2016-07-05,5405
2016-07-06,5314
2016-07-07,5295
2016-07-08,5203
2016-07-09,5023
2016-07-10,4873
2016-07-11,4666
2016-07-12,4532
2016-07-13,4466
2016-07-14,4574
2016-07-15,4467
2016-07-16,4338
2016-07-17,4338
2016-07-18,4303
2016-07-23,3999
2016-07-24,3873
2016-07-25,3873
2016-07-26,3923
2016-07-27,3923
2016-07-28,3925
2016-07-29,4101
2016-07-30,4101
2016-07-31,4190
2016-08-01,4190
2016-08-02,4311
2016-08-03,4311
2016-08-04,4378
2016-08-05,4378
2016-08-06,4363
2016-08-07,4363
2016-08-08,4232
2016-08-09,4232
2016-08-10,4115
2016-08-11,4115
2016-08-12,4115
2016-08-13,4165
2016-08-14,4165
2016-08-15,4324
2016-08-16,4324
2016-08-17,4419
2016-08-18,4419
2016-08-19,4466
2016-08-20,4340
2016-08-21,4340
2016-08-22,4431
2016-08-23,4629
2016-08-24,4629
2016-08-25,4838
2016-08-26,4838
2016-08-28,5052
2016-08-31,5114
2016-09-01,5148
2016-09-02,5148
2016-09-03,5148
2016-09-04,5190
2016-09-05,5190
2016-09-06,5168
2016-09-07,5168
2016-09-08,5168
2016-09-09,5309
2016-09-10,5309
2016-09-11,5443
2016-09-12,5443
2016-09-13,5520
2016-09-14,5520
2016-09-15,5609
2016-09-16,5609
2016-09-17,5690
2016-09-18,5690
2016-09-19,5742
2016-09-20,5742
2016-09-21,5816
2016-09-22,5816
2016-09-23,5974
2016-09-24,5974
2016-09-25,5944
2016-09-26,5944
2016-09-27,5995
2016-09-28,5995
2016-09-29,5995
2016-09-30,5894
2016-10-01,5894
2016-10-02,5996
2016-10-03,5996
2016-10-04,6128
2016-10-05,6128
2016-10-06,5970
2016-10-07,5970
2016-10-08,6157
2016-10-09,6157
2016-10-10,6431
