date_obj,Black%20skirt price
2015-03-26,6558
2015-03-27,6558
2015-03-28,6558
2015-03-29,6558
2015-03-30,6558
2015-03-31,6233
2015-04-01,6233
2015-04-02,6233
2015-04-03,6233
2015-04-04,6233
2015-04-05,6233
2015-04-06,6233
2015-04-07,5931
2015-04-08,5931
2015-04-09,5931
2015-04-10,5931
2015-04-11,5931
2015-04-12,5931
2015-04-13,5931
2015-04-14,5931
2015-04-15,5637
2015-04-16,5637
2015-04-17,5637
2015-04-18,5637
2015-04-19,5637
2015-04-20,5637
2015-04-21,5637
2015-04-22,5637
2015-04-23,5361
2015-04-24,5361
2015-04-25,5361
2015-04-26,5361
2015-04-27,5361
2015-04-28,5361
2015-04-29,5361
2015-04-30,5361
2015-05-01,5102
2015-05-02,5102
2015-05-03,5102
2015-05-04,5102
2015-05-05,5102
2015-05-06,5102
2015-05-07,5102
2015-05-08,4864
2015-05-09,4864
2015-05-10,4864
2015-05-11,4864
2015-05-12,4864
2015-05-13,4864
2015-05-14,4864
2015-05-15,4630
2015-05-16,4630
2015-05-17,4630
2015-05-18,4630
2015-05-19,4630
2015-05-20,4630
2015-05-21,4630
2015-05-22,4630
2015-05-23,4406
2015-05-24,4406
2015-05-25,4406
2015-05-26,4406
2015-05-27,4406
2015-05-28,4406
2015-05-29,4188
2015-05-30,4188
2015-05-31,4188
2015-06-01,4188
2015-06-02,4188
2015-06-03,4188
2015-06-04,3989
2015-06-05,3989
2015-06-06,3989
2015-06-07,3989
2015-06-08,3989
2015-06-09,3989
2015-06-10,3793
2015-06-11,3793
2015-06-12,3793
2015-06-13,3793
2015-06-14,3793
2015-06-15,3793
2015-06-16,3793
2015-06-17,3606
2015-06-18,3606
2015-06-19,3606
2015-06-20,3606
2015-06-21,3606
2015-06-22,3606
2015-06-23,3606
2015-06-24,3447
2015-06-25,3447
2015-06-26,3447
2015-06-27,3447
2015-06-28,3447
2015-06-29,3447
2015-06-30,3447
2015-07-01,3284
2015-07-02,3284
2015-07-03,3284
2015-07-04,3284
2015-07-05,3284
2015-07-06,3284
2015-07-07,3284
2015-07-08,3127
2015-07-09,3127
2015-07-10,3127
2015-07-11,3127
2015-07-12,3127
2015-07-13,3127
2015-07-14,2974
2015-07-15,2974
2015-07-16,2974
2015-07-17,2974
2015-07-18,2974
2015-07-19,2974
2015-07-20,2836
2015-07-21,2836
2015-07-22,2836
2015-07-23,2836
2015-07-24,2836
2015-07-25,2836
2015-07-26,2836
2015-07-27,2695
2015-07-28,2695
2015-07-29,2695
2015-07-30,2695
2015-07-31,2695
2015-08-01,2695
2015-08-02,2564
2015-08-03,2564
2015-08-04,2564
2015-08-05,2564
2015-08-06,2564
2015-08-07,2564
2015-08-08,2437
2015-08-09,2437
2015-08-10,2437
2015-08-11,2437
2015-08-12,2437
2015-08-13,2437
2015-08-14,2437
2015-08-15,2437
2015-08-16,2437
