date_obj,Skeletal%20bottoms price
2015-03-26,74609
2015-03-27,74609
2015-03-28,74609
2015-03-29,74609
2015-03-30,70954
2015-03-31,70954
2015-04-01,70954
2015-04-02,70954
2015-04-03,70954
2015-04-04,67462
2015-04-05,67462
2015-04-06,67462
2015-04-07,67462
2015-04-08,67462
2015-04-09,67462
2015-04-10,64211
2015-04-11,64211
2015-04-12,64211
2015-04-13,64211
2015-04-14,64211
2015-04-15,61055
2015-04-16,61055
2015-04-17,61055
2015-04-18,61055
2015-04-19,58099
2015-04-20,58099
2015-04-21,58099
2015-04-22,58099
2015-04-23,58099
2015-04-24,55275
2015-04-25,55275
2015-04-26,55275
2015-04-27,55275
2015-04-28,52598
2015-04-29,52598
2015-04-30,52598
2015-05-01,52598
2015-05-02,52598
2015-05-03,50040
2015-05-04,50040
2015-05-05,50040
2015-05-06,50040
2015-05-07,47600
2015-05-08,47600
2015-05-09,47600
2015-05-10,47600
2015-05-11,47600
2015-05-12,45268
2015-05-13,45268
2015-05-14,45268
2015-05-15,45268
2015-05-16,45268
2015-05-17,43076
2015-05-18,43076
2015-05-19,43076
2015-05-20,43076
2015-05-21,43076
2015-05-22,43076
2015-05-23,41093
2015-05-24,41093
2015-05-25,41093
2015-05-26,41093
2015-05-27,41093
2015-05-28,39046
2015-05-29,39046
2015-05-30,39046
2015-05-31,37150
2015-06-01,37150
2015-06-02,37150
2015-06-03,35333
2015-06-04,35333
2015-06-05,35333
2015-06-06,33656
2015-06-07,33656
2015-06-08,33656
2015-06-09,32078
2015-06-10,32078
2015-06-11,32078
2015-06-12,30541
2015-06-13,30541
2015-06-14,30541
2015-06-15,29109
2015-06-16,29109
2015-06-17,29109
2015-06-18,27653
2015-06-19,27653
2015-06-20,27653
2015-06-21,26381
2015-06-22,26381
2015-06-23,26381
2015-06-24,25546
2015-06-25,25546
2015-06-26,25546
2015-06-27,25546
2015-06-28,24433
2015-06-29,24433
2015-06-30,24433
2015-07-01,23734
2015-07-02,23734
2015-07-03,23734
2015-07-04,24322
2015-07-05,24322
2015-07-06,24322
2015-07-07,24606
2015-07-08,24606
2015-07-09,24606
2015-07-10,24303
2015-07-11,24303
2015-07-12,24303
2015-07-13,24303
2015-07-14,24021
2015-07-15,24021
2015-07-16,24021
2015-07-17,24066
2015-07-18,24066
2015-07-19,24066
2015-07-20,23434
2015-07-21,23434
2015-07-22,23434
2015-07-23,23490
2015-07-24,23490
2015-07-25,23490
2015-07-26,23682
2015-07-27,23682
2015-07-28,23682
2015-07-29,24414
2015-07-30,24414
2015-07-31,24414
2015-08-01,24414
2015-08-02,23947
2015-08-03,23947
2015-08-04,23947
2015-08-05,23985
2015-08-06,23985
2015-08-07,23985
2015-08-08,24562
2015-08-09,24562
2015-08-10,24562
2015-08-11,24907
2015-08-12,24907
