date_obj,Opal%20necklace price
2017-02-01,2000
2017-02-02,2000
2017-02-03,2000
2017-02-04,2000
2017-02-05,2000
2017-02-06,2000
2017-02-07,2000
2017-02-08,2000
2017-02-09,2000
2017-02-10,2000
2017-02-11,2000
2017-02-12,2000
2017-02-13,2000
2017-02-14,2000
2017-02-15,2000
2017-02-16,2000
2017-02-18,2000
2017-02-19,2000
2017-02-20,1901
2017-02-21,1901
2017-02-22,1901
2017-02-23,1901
2017-02-24,1901
2017-02-25,1901
2017-02-26,1901
2017-02-27,1901
2017-02-28,1901
2017-03-01,1901
2017-03-02,1901
2017-03-03,1901
2017-03-04,1901
2017-03-05,1901
2017-03-06,1901
2017-03-07,1901
2017-03-08,1901
2017-03-09,1901
2017-03-10,1901
2017-03-11,1901
2017-03-12,1901
2017-03-13,1901
2017-03-14,1901
2017-03-15,1901
2017-03-16,1901
2017-03-17,1901
2017-03-18,1901
2017-03-19,1901
2017-03-20,1901
2017-03-21,1901
2017-03-22,1901
2017-03-23,1901
2017-03-24,1901
2017-03-25,1901
2017-03-26,1901
2017-03-27,1901
2017-03-28,1901
2017-03-29,1901
2017-03-30,1901
2017-03-31,1901
2017-04-01,1901
2017-04-02,1901
2017-04-03,1901
2017-04-04,1901
2017-04-12,1901
2017-04-13,1901
2017-04-14,1901
2017-04-15,1806
2017-04-16,1806
2017-04-17,1806
2017-04-18,1806
2017-04-19,1806
2017-04-20,1806
2017-04-21,1806
2017-04-22,1806
2017-04-23,1806
2017-04-24,1806
2017-04-25,1806
2017-04-26,1806
2017-04-27,1806
2017-04-28,1806
2017-04-29,1806
2017-04-30,1806
2017-05-01,1806
2017-05-02,1806
2017-05-03,1806
2017-05-04,1806
2017-05-05,1806
2017-05-06,1806
2017-05-07,1806
2017-05-08,1806
2017-05-09,1806
2017-05-10,1806
2017-05-11,1806
2017-05-12,1806
2017-05-13,1806
2017-05-14,1806
2017-05-15,1806
2017-05-16,1806
2017-05-17,1806
2017-05-18,1806
2017-05-19,1806
2017-05-20,1806
2017-05-21,1806
2017-05-22,1806
2017-05-23,1806
2017-05-24,1806
2017-05-25,1806
2017-05-26,1806
2017-05-27,1806
2017-05-28,1806
2017-05-29,1806
2017-05-30,1806
2017-05-31,1806
2017-06-01,1806
2017-06-02,1806
2017-06-03,1806
2017-06-06,1806
2017-06-07,1806
2017-06-08,1806
2017-06-09,1806
2017-06-10,1806
2017-06-11,1806
2017-06-12,1806
2017-06-13,1806
2017-06-14,1806
2017-06-15,1806
2017-06-16,1806
2017-06-17,1806
2017-06-18,1806
2017-06-19,1806
2017-06-20,1806
2017-06-21,1806
2017-06-22,1806
2017-06-23,1806
2017-06-24,1806
2017-06-25,1806
2017-06-26,1806
2017-06-27,1806
2017-06-28,1806
2017-06-29,1718
2017-06-30,1718
2017-07-01,1718
2017-07-02,1718
2017-07-03,1718
2017-07-04,1718
2017-07-05,1718
2017-07-06,1718
2017-07-07,1718
2017-07-08,1718
2017-07-13,1718
2017-07-14,1718
2017-07-15,1718
2017-07-16,1718
2017-07-17,1718
2017-07-18,1718
2017-07-19,1718
2017-07-20,1718
2017-07-21,1718
2017-07-22,1718
2017-07-23,1718
2017-07-24,1718
2017-07-25,1718
2017-07-26,1718
2017-07-27,1718
2017-07-28,1718
2017-07-29,1718
2017-07-30,1718
2017-07-31,1718
2017-08-01,1718
2017-08-02,1718
2017-08-03,1718
2017-08-04,1718
2017-08-05,1718
2017-08-06,1718
2017-08-09,1718
2017-08-10,1718
2017-08-11,1718
2017-08-12,1718
2017-08-13,1718
2017-08-14,1718
2017-08-15,1718
2017-08-17,1718
2017-08-18,1718
2017-08-19,1718
2017-08-20,1718
2017-08-21,1718
2017-08-22,1718
2017-08-23,1718
2017-08-24,1718
2017-08-25,1718
2017-08-26,1718
2017-08-27,1718
2017-08-28,1718
2017-08-29,1718
2017-08-30,1718
2017-08-31,1718
2017-09-01,1718
2017-09-02,1718
2017-09-03,1718
2017-09-04,1718
2017-09-05,1718
2017-09-06,1718
2017-09-07,1718
2017-09-08,1718
2017-09-09,1718
2017-09-10,1718
2017-09-11,1718
2017-09-12,1718
2017-09-13,1718
2017-09-14,1634
2017-09-15,1634
2017-09-16,1634
2017-09-17,1634
2017-09-19,1634
2017-09-20,1634
2017-09-21,1634
2017-09-22,1634
2017-09-23,1634
2017-09-24,1634
2017-09-25,1634
2017-09-26,1634
2017-09-27,1634
2017-09-28,1634
2017-09-29,1634
2017-09-30,1634
2017-10-01,1634
2017-10-02,1634
2017-10-03,1634
2017-10-04,1634
2017-10-05,1634
2017-10-06,1634
2017-10-07,1634
2017-10-08,1634
2017-10-09,1634
2017-10-10,1634
2017-10-11,1634
2017-10-12,1634
2017-10-13,1634
2017-10-14,1634
2017-10-15,1634
2017-10-16,1634
2017-10-17,1634
2017-10-18,1634
2017-10-19,1634
2017-10-20,1634
2017-10-21,1634
2017-10-22,1634
2017-10-23,1634
2017-10-24,1634
2017-10-25,1634
2017-10-26,1634
2017-10-27,1634
2017-10-28,1634
2017-10-29,1634
2017-10-30,1634
2017-10-31,1634
2017-11-01,1634
2017-11-02,1634
2017-11-03,1634
2017-11-04,1634
2017-11-05,1634
2017-11-06,1634
2017-11-07,1634
2017-11-08,1634
2017-11-09,1634
2017-11-10,1634
2017-11-11,1634
2017-11-12,1634
2017-11-13,1634
2017-11-14,1634
2017-11-15,1634
2017-11-16,1556
2017-11-17,1556
2017-11-18,1556
2017-11-19,1556
2017-11-20,1556
2017-11-21,1556
2017-11-22,1556
2017-11-23,1556
2017-11-24,1556
2017-11-25,1556
2017-11-26,1556
2017-11-27,1556
2017-11-28,1556
2017-11-29,1556
2017-11-30,1556
2017-12-01,1556
2017-12-02,1556
2017-12-03,1556
2017-12-04,1556
2017-12-05,1556
2017-12-06,1556
2017-12-07,1556
2017-12-08,1556
2017-12-09,1556
2017-12-10,1556
2017-12-11,1556
2017-12-12,1556
2017-12-14,1556
2017-12-15,1556
2017-12-16,1556
2017-12-17,1556
2017-12-18,1556
2017-12-19,1556
2017-12-20,1556
2017-12-21,1556
2017-12-22,1556
2017-12-23,1556
2017-12-24,1556
2017-12-25,1556
2017-12-26,1556
2017-12-27,1556
2017-12-28,1556
2017-12-29,1556
2017-12-30,1556
2017-12-31,1556
2018-01-01,1556
2018-01-02,1556
2018-01-03,1556
2018-01-04,1556
2018-01-05,1556
2018-01-06,1556
2018-01-07,1556
2018-01-08,1479
2018-01-09,1479
2018-01-10,1479
2018-01-11,1479
2018-01-12,1479
2018-01-13,1479
2018-01-14,1479
2018-01-15,1479
2018-01-16,1479
2018-01-17,1479
2018-01-18,1479
2018-01-19,1479
2018-01-20,1479
2018-01-21,1479
2018-01-22,1479
2018-01-23,1479
2018-01-24,1479
2018-01-25,1479
2018-01-26,1479
2018-01-27,1479
2018-01-28,1479
2018-01-29,1479
2018-01-31,1479
2018-02-01,1479
2018-02-02,1479
2018-02-03,1479
2018-02-04,1479
2018-02-05,1479
2018-02-06,1479
2018-02-07,1479
2018-02-08,1479
2018-02-09,1479
2018-02-10,1479
2018-02-11,1479
2018-02-12,1479
2018-02-13,1479
2018-02-14,1479
2018-02-15,1479
2018-02-16,1479
2018-02-17,1479
2018-02-18,1479
2018-02-19,1479
2018-02-20,1479
2018-02-21,1479
2018-02-22,1479
2018-02-23,1405
2018-02-24,1405
2018-02-25,1405
2018-02-26,1405
2018-02-27,1405
2018-03-01,1405
2018-03-02,1405
2018-03-03,1405
2018-03-04,1405
2018-03-05,1405
2018-03-06,1405
2018-03-07,1405
2018-03-08,1405
2018-03-09,1405
2018-03-10,1405
2018-03-11,1405
2018-03-12,1405
2018-03-13,1405
2018-03-14,1405
2018-03-15,1405
2018-03-16,1405
2018-03-17,1405
2018-03-18,1405
2018-03-19,1405
2018-03-20,1405
2018-03-21,1405
2018-03-23,1405
2018-03-24,1405
2018-03-26,1405
2018-03-27,1405
2018-03-28,1405
2018-03-29,1405
2018-03-30,1405
