date_obj,Amethyst price
2017-06-21,11609
2017-06-22,11028
2017-06-23,11028
2017-06-24,10476
2017-06-25,10476
2017-06-26,10476
2017-06-27,9952
2017-06-28,9952
2017-06-29,9952
2017-06-30,9952
2017-07-01,9952
2017-07-02,9952
2017-07-03,9454
2017-07-04,9454
2017-07-05,9454
2017-07-06,9454
2017-07-07,9454
2017-07-08,9454
2017-07-09,9454
2017-07-13,8981
2017-07-14,8981
2017-07-15,8981
2017-07-16,8981
2017-07-17,8981
2017-07-18,8532
2017-07-19,8532
2017-07-20,8532
2017-07-21,8532
2017-07-22,8532
2017-07-23,8532
2017-07-24,8532
2017-07-25,8532
2017-07-26,8532
2017-07-27,8532
2017-07-28,8106
2017-07-29,8106
2017-07-30,8106
2017-07-31,8106
2017-08-01,8106
2017-08-02,8106
2017-08-03,8106
2017-08-04,8106
2017-08-05,8106
2017-08-06,8106
2017-08-07,8106
2017-08-08,8106
2017-08-09,8106
2017-08-10,7700
2017-08-11,7700
2017-08-12,7700
2017-08-13,7700
2017-08-14,7700
2017-08-15,7700
2017-08-16,7700
2017-08-17,7700
2017-08-18,7700
2017-08-19,7700
2017-08-20,7700
2017-08-21,7700
2017-08-22,7700
2017-08-23,7316
2017-08-24,7316
2017-08-25,7316
2017-08-26,7316
2017-08-27,7316
2017-08-28,7316
2017-08-29,7316
2017-08-30,7316
2017-08-31,7316
2017-09-01,7316
2017-09-02,7316
2017-09-03,7316
2017-09-04,6952
2017-09-05,6952
2017-09-06,6952
2017-09-07,6952
2017-09-08,6952
2017-09-09,6952
2017-09-10,6952
2017-09-11,6952
2017-09-12,6952
2017-09-13,6952
2017-09-14,6952
2017-09-15,6952
2017-09-16,6605
2017-09-17,6605
2017-09-18,6605
2017-09-19,6605
2017-09-20,6605
2017-09-21,6605
2017-09-22,6605
2017-09-23,6605
2017-09-24,6605
2017-09-25,6605
2017-09-26,6605
2017-09-27,6605
2017-09-28,6276
2017-09-29,6276
2017-09-30,6276
2017-10-01,6276
2017-10-02,6276
2017-10-03,6276
2017-10-04,6276
2017-10-05,6276
2017-10-06,6276
2017-10-07,6276
2017-10-08,6276
2017-10-09,6276
2017-10-10,6276
2017-10-11,6276
2017-10-12,5963
