date_obj,Crushed%20superior%20dragon%20bones price
2018-01-03,16000
2018-01-04,16710
2018-01-05,16710
2018-01-06,16710
2018-01-07,16710
2018-01-08,15921
2018-01-09,15921
2018-01-10,15921
2018-01-11,15921
2018-01-12,15921
2018-01-13,15124
2018-01-14,15124
2018-01-15,14367
2018-01-16,14367
2018-01-17,13648
2018-01-18,13648
2018-01-19,13648
2018-01-20,12965
2018-01-21,12965
2018-01-22,12321
2018-01-23,12321
2018-01-24,12002
2018-01-25,12002
2018-01-26,12002
2018-01-27,11428
2018-01-28,11428
2018-01-29,10918
2018-01-30,10918
2018-01-31,10918
2018-02-01,10372
2018-02-02,10372
2018-02-03,10372
2018-02-04,9882
2018-02-05,9882
2018-02-06,9882
2018-02-07,9527
2018-02-08,9527
2018-02-09,9527
2018-02-10,9527
2018-02-11,9527
2018-02-12,9527
2018-02-13,9527
2018-02-14,9527
2018-02-15,9258
2018-02-16,9258
2018-02-17,9258
2018-02-18,9258
2018-02-19,9258
2018-02-20,9258
2018-02-21,9258
2018-02-22,9258
2018-02-23,9258
2018-02-24,9258
2018-02-25,9258
2018-02-26,9258
2018-02-27,9258
2018-02-28,9258
2018-03-01,9258
2018-03-02,9644
2018-03-03,9644
2018-03-04,9644
2018-03-05,9644
2018-03-06,9644
2018-03-07,9644
2018-03-08,9644
2018-03-09,9644
2018-03-10,9644
2018-03-11,9644
2018-03-12,9644
2018-03-13,9644
2018-03-14,9708
2018-03-15,9708
2018-03-16,9708
2018-03-17,9708
2018-03-18,9708
2018-03-19,9708
2018-03-20,9708
2018-03-21,9708
2018-03-23,9708
2018-03-24,9708
2018-03-25,9708
2018-03-26,9708
2018-03-27,9708
2018-03-28,9708
2018-03-29,9708
2018-03-30,9708
2018-03-31,9708
2018-04-01,9708
2018-04-02,9708
2018-04-03,9708
2018-04-04,9803
2018-04-05,9803
2018-04-06,9803
2018-04-07,9803
2018-04-08,9803
2018-04-09,9803
2018-04-10,9803
2018-04-11,9803
2018-04-12,9803
2018-04-13,9803
2018-04-14,9803
2018-04-15,9803
2018-04-16,9803
2018-04-17,9803
2018-04-18,9803
2018-04-19,9803
2018-04-20,9803
2018-04-21,9803
2018-04-22,9803
2018-04-23,9803
2018-04-24,9803
2018-04-25,9803
2018-04-26,9803
2018-04-27,9803
2018-04-28,9803
2018-04-29,9803
2018-04-30,10139
2018-05-01,10139
2018-05-03,10139
2018-05-04,10139
2018-05-05,10139
2018-05-07,10139
2018-05-08,10139
2018-05-09,10139
2018-05-10,10139
2018-05-11,10139
2018-05-12,10139
2018-05-13,10139
2018-05-14,10139
2018-05-15,10139
2018-05-16,10139
2018-05-17,10139
2018-05-18,10139
2018-05-19,10139
2018-05-20,10139
2018-05-21,10139
2018-05-22,10139
2018-05-23,10139
2018-05-24,10139
2018-05-25,10615
2018-05-26,10615
2018-05-27,10615
2018-05-28,10615
2018-05-29,10615
2018-05-30,10615
2018-05-31,10615
2018-06-01,10615
2018-06-02,10615
2018-06-03,10615
2018-06-04,10615
2018-06-05,10615
2018-06-06,10615
2018-06-07,10615
2018-06-08,10615
2018-06-09,10615
2018-06-10,10615
2018-06-11,10615
2018-06-12,10615
2018-06-13,10615
2018-06-14,10615
2018-06-15,10615
2018-06-16,10615
2018-06-17,10615
2018-06-18,10615
2018-06-19,10615
2018-06-20,10615
2018-06-21,11007
2018-06-22,11007
2018-06-23,11007
2018-06-24,11007
2018-06-25,11007
2018-06-26,11007
2018-06-27,11007
2018-06-28,11007
2018-06-29,11007
2018-06-30,11007
2018-07-01,11007
2018-07-02,11007
2018-07-03,11007
2018-07-04,11007
2018-07-05,11007
2018-07-06,11007
2018-07-07,11007
2018-07-08,11007
2018-07-09,11007
2018-07-10,11007
2018-07-11,11007
