date_obj,Snapdragon%20seed price
2015-03-05,19052
2015-03-06,18984
2015-03-07,18841
2015-03-08,19068
2015-03-09,19074
2015-03-10,18992
2015-03-11,19555
2015-03-12,20172
2015-03-13,20800
2015-03-14,21231
2015-03-15,21669
2015-03-16,21817
2015-03-17,22212
2015-03-18,22463
2015-03-19,22596
2015-03-20,23236
2015-03-21,23599
2015-03-22,22916
2015-03-23,22104
2015-03-24,22228
2015-03-25,22322
2015-03-26,22451
2015-03-27,22328
2015-03-28,21899
2015-03-29,21117
2015-03-30,20284
2015-03-31,20038
2015-04-01,20130
2015-04-02,20253
2015-04-03,19870
2015-04-04,19800
2015-04-05,19715
2015-04-06,19847
2015-04-07,20239
2015-04-08,20182
2015-04-09,19944
2015-04-10,20152
2015-04-11,20204
2015-04-12,20626
2015-04-13,21168
2015-04-14,21528
2015-04-15,22073
2015-04-16,22293
2015-04-17,22609
2015-04-18,22669
2015-04-19,22095
2015-04-20,21561
2015-04-21,21330
2015-04-22,21667
2015-04-23,21712
2015-04-24,21941
2015-04-25,21988
2015-04-26,21702
2015-04-27,21408
2015-04-28,21118
2015-04-29,21442
2015-04-30,21730
2015-05-01,21696
2015-05-02,21517
2015-05-03,21418
2015-05-04,21244
2015-05-05,21618
2015-05-06,21697
2015-05-07,22279
2015-05-08,22331
2015-05-09,22465
2015-05-10,22977
2015-05-11,23133
2015-05-12,23533
2015-05-13,23968
2015-05-14,24277
2015-05-15,23731
2015-05-16,23009
2015-05-17,22873
2015-05-18,22886
2015-05-19,22805
2015-05-20,22564
2015-05-21,22676
2015-05-22,22970
2015-05-23,23114
2015-05-24,22696
2015-05-25,21694
2015-05-26,21148
2015-05-27,21318
2015-05-28,21272
2015-05-29,20621
2015-05-30,20282
2015-05-31,20035
2015-06-01,19835
2015-06-02,19629
2015-06-03,19899
2015-06-04,20151
2015-06-05,20165
2015-06-06,19953
2015-06-07,20136
2015-06-08,20494
2015-06-09,20588
2015-06-10,21066
2015-06-11,21507
2015-06-12,21996
2015-06-13,22153
2015-06-14,21462
2015-06-15,20925
2015-06-16,20595
2015-06-17,20541
2015-06-18,20804
2015-06-19,21333
2015-06-20,21659
2015-06-21,21790
2015-06-22,22421
2015-06-23,22974
2015-06-24,23878
2015-06-25,24515
2015-06-26,25128
2015-06-27,25998
2015-06-28,26451
2015-06-29,26279
2015-06-30,26570
2015-07-01,26129
2015-07-02,26216
2015-07-03,25357
2015-07-04,24147
2015-07-05,23011
2015-07-06,22385
2015-07-07,22109
2015-07-08,21859
2015-07-09,21650
2015-07-10,21601
2015-07-11,21786
2015-07-12,21612
2015-07-13,21246
2015-07-14,21078
2015-07-15,21539
2015-07-16,21692
2015-07-17,21526
2015-07-18,21208
2015-07-19,20800
2015-07-20,20776
2015-07-21,20948
2015-07-22,20912
2015-07-23,21401
2015-07-24,21684
2015-07-25,21872
2015-07-26,22535
2015-07-27,22923
2015-07-28,23376
2015-07-29,24037
2015-07-30,24286
2015-07-31,24596
2015-08-01,24839
2015-08-02,24888
2015-08-03,25431
2015-08-04,26489
2015-08-05,27296
2015-08-06,28485
2015-08-07,29687
2015-08-08,29166
2015-08-09,28795
2015-08-10,28235
2015-08-11,27740
2015-08-12,26902
2015-08-13,26387
2015-08-14,25972
2015-08-15,26103
2015-08-16,26648
2015-08-17,26543
2015-08-18,26436
2015-08-19,27138
2015-08-20,27255
2015-08-21,27910
2015-08-22,27703
2015-08-23,27913
2015-08-24,28212
2015-08-25,28854
2015-08-26,29433
2015-08-27,28651
2015-08-28,28263
2015-08-29,28579
2015-08-30,27716
2015-08-31,27716
2015-09-02,28320
2015-09-07,31160
2015-09-08,32273
2015-09-10,34811
2015-09-14,34012
2015-09-16,33001
2015-09-22,31583
2015-09-23,32149
2015-09-24,32896
2015-09-25,32974
2015-09-27,32517
2015-09-28,32462
2015-09-29,32538
2015-09-30,33028
2015-10-05,31047
2015-10-06,31059
2015-10-07,31215
2015-10-08,31680
2015-10-09,31883
2015-10-10,31292
2015-10-11,31045
2015-10-12,30827
2015-10-13,30206
2015-10-14,30395
2015-10-15,30307
2015-10-16,29635
2015-10-17,29127
2015-10-18,28629
2015-10-19,28434
2015-10-20,29185
2015-10-22,30080
2015-10-23,30403
2015-10-24,30297
2015-10-25,30689
2015-10-26,31171
2015-10-27,31847
2015-10-29,33064
2015-10-30,32945
2015-10-31,32749
2015-11-01,32082
2015-11-02,31795
2015-11-03,31740
2015-11-04,32432
2015-11-05,32612
2015-11-06,32660
2015-11-07,33212
2015-11-08,34069
2015-11-09,34567
2015-11-10,34344
2015-11-11,34029
2015-11-12,33745
2015-11-13,33459
2015-11-14,32998
2015-11-15,32218
2015-11-16,31991
2015-11-17,32190
2015-11-18,32232
2015-11-19,32650
2015-11-20,32667
2015-11-21,33214
2015-11-22,33888
2015-11-23,34427
2015-11-24,34422
2015-11-25,33759
2015-11-26,33331
2015-11-27,32814
2015-11-28,32270
2015-11-29,32222
2015-11-30,31821
2015-12-01,31852
2015-12-02,32393
2015-12-03,33159
2015-12-04,34030
2015-12-05,34888
2015-12-06,36037
2015-12-07,37505
2015-12-08,38630
2015-12-09,40069
2015-12-10,39630
2015-12-11,40413
2015-12-12,40493
2015-12-13,39917
2015-12-14,40011
2015-12-15,39342
2015-12-16,39281
2015-12-17,39513
2015-12-18,39404
2015-12-19,38876
2015-12-20,39085
2015-12-21,39589
2015-12-22,39892
2015-12-23,40086
2015-12-24,40121
2015-12-25,40541
2015-12-26,40850
2015-12-27,41296
2015-12-28,41382
2015-12-29,41571
2015-12-30,41499
2015-12-31,42257
2016-01-01,42963
