date_obj,Gnomish%20firelighter price
2016-07-06,762152
2016-07-07,762152
2016-07-08,724044
2016-07-09,689122
2016-07-10,655808
2016-07-11,623825
2016-07-12,593332
2016-07-13,565166
2016-07-14,537285
2016-07-15,511528
2016-07-16,487178
2016-07-17,464045
2016-07-18,441453
2016-07-23,399913
2016-07-24,380534
2016-07-25,362186
2016-07-26,362186
2016-07-27,345701
2016-07-28,345701
2016-07-29,328809
2016-07-30,328809
2016-07-31,312925
2016-08-01,312925
2016-08-02,297943
2016-08-03,297943
2016-08-04,283819
2016-08-05,283819
2016-08-06,270426
2016-08-07,270426
2016-08-08,257583
2016-08-09,245119
2016-08-10,245119
2016-08-11,245119
2016-08-12,233129
2016-08-13,233129
2016-08-14,221843
2016-08-15,221843
2016-08-16,211727
2016-08-17,211727
2016-08-18,201324
2016-08-19,201324
2016-08-20,192011
2016-08-21,192011
2016-08-22,182774
2016-08-23,182774
2016-08-24,173884
2016-08-25,173884
2016-08-26,165428
2016-08-28,157346
2016-08-31,149700
2016-09-01,142418
2016-09-02,142418
2016-09-03,142418
2016-09-04,135381
2016-09-05,135381
2016-09-06,128921
2016-09-07,128921
2016-09-08,128921
2016-09-09,128921
2016-09-10,122691
2016-09-11,122691
2016-09-12,122691
2016-09-13,122691
2016-09-14,117209
2016-09-15,117209
2016-09-16,117209
2016-09-17,111566
2016-09-18,111566
2016-09-19,111566
2016-09-20,106097
2016-09-21,106097
2016-09-22,106097
2016-09-23,100902
2016-09-24,100902
2016-09-25,100902
2016-09-26,100902
2016-09-27,96420
2016-09-28,96420
2016-09-29,96420
2016-09-30,91766
2016-10-01,91766
2016-10-02,91766
2016-10-03,91766
2016-10-04,87325
2016-10-05,87325
2016-10-06,87325
2016-10-07,87325
2016-10-08,83128
2016-10-09,83128
2016-10-10,83128
2016-10-11,79048
2016-10-12,79048
2016-10-13,79048
2016-10-14,75302
2016-10-15,75302
2016-10-16,75302
2016-10-17,71663
2016-10-18,71663
2016-10-19,71663
2016-10-20,71663
2016-10-21,68149
2016-10-22,68149
2016-10-23,68149
2016-10-24,68149
2016-10-25,64858
2016-10-26,64858
2016-10-27,64858
2016-10-28,64858
2016-10-29,61735
2016-10-30,61735
2016-10-31,61735
2016-11-01,61735
2016-11-02,58767
2016-11-03,58767
2016-11-04,58767
2016-11-05,58767
2016-11-06,55912
2016-11-07,55912
2016-11-08,55912
2016-11-09,55912
2016-11-10,53216
2016-11-11,53216
2016-11-12,53216
2016-11-13,53216
2016-11-14,50675
2016-11-15,50675
2016-12-07,36024
2016-12-08,36024
2016-12-09,34277
2016-12-10,34277
2016-12-11,34277
2016-12-12,32662
2016-12-13,32662
2016-12-14,31097
2016-12-15,31097
2016-12-16,31097
2016-12-17,29605
2016-12-18,29605
2016-12-19,29605
2016-12-20,29605
2016-12-21,28163
2016-12-22,28163
2016-12-23,28163
2016-12-24,26816
2016-12-25,26816
2016-12-26,26816
2016-12-27,25513
2016-12-28,25513
2016-12-29,25513
2016-12-30,24363
2016-12-31,24363
2017-01-01,24363
2017-01-02,23198
2017-01-03,23198
2017-01-04,23198
2017-01-05,22119
2017-01-06,22119
2017-01-07,22119
2017-01-08,21104
2017-01-09,21104
2017-01-10,21104
2017-01-11,20089
2017-01-12,20089
2017-01-13,20089
2017-01-14,19191
2017-01-15,19191
2017-01-16,19191
2017-01-17,18297
2017-01-18,18297
2017-01-19,18297
2017-01-20,17407
2017-01-21,17407
2017-01-22,17407
2017-01-23,16568
2017-01-27,15769
2017-01-28,15769
2017-01-29,15015
2017-01-30,15015
2017-01-31,15015
2017-02-01,14314
2017-02-02,14314
2017-02-03,14314
2017-02-04,13625
2017-02-05,13625
2017-02-06,13625
2017-02-07,12966
2017-02-08,12966
2017-02-09,12966
2017-02-10,12338
2017-02-11,12338
2017-02-12,12338
2017-02-13,11746
2017-02-14,11746
2017-02-15,11746
2017-02-16,11218
2017-02-18,11218
2017-02-19,10672
2017-02-20,10672
2017-02-21,10672
2017-02-22,10153
2017-02-23,10153
2017-02-24,10153
2017-02-25,9677
2017-02-26,9677
2017-02-27,9677
2017-02-28,9248
2017-03-01,9248
2017-03-02,9248
2017-03-03,9248
2017-03-04,8802
2017-03-05,8802
2017-03-06,8802
2017-03-07,8389
2017-03-08,8389
2017-03-09,8389
2017-03-10,7987
2017-03-11,7987
2017-03-12,7987
2017-03-13,7613
2017-03-14,7613
2017-03-15,7613
2017-03-16,7244
2017-03-17,7244
2017-03-18,7244
2017-03-19,6951
2017-03-20,6951
2017-03-21,6951
2017-03-22,6619
2017-03-23,6619
2017-03-24,6619
2017-03-25,6311
2017-03-26,6311
2017-03-27,6311
2017-03-28,6008
2017-03-29,6008
2017-03-30,6008
2017-03-31,5715
2017-04-01,5715
2017-04-02,5715
2017-04-03,5446
2017-04-04,5446
2017-04-12,4928
2017-04-13,4928
2017-04-14,4697
2017-04-15,4697
2017-04-16,4697
2017-04-17,4478
2017-04-18,4478
2017-04-19,4478
2017-04-20,4478
2017-04-21,4273
2017-04-22,4273
2017-04-23,4273
2017-04-24,4273
2017-04-25,4067
