date_obj,Guthix%20bracers price
2015-03-26,10055
2015-03-27,10055
2015-03-28,9781
2015-03-29,9430
2015-03-30,9128
2015-03-31,8862
2015-04-01,8655
2015-04-02,8419
2015-04-03,8035
2015-04-04,7638
2015-04-05,7261
2015-04-06,6966
2015-04-07,6905
2015-04-08,6754
2015-04-09,6677
2015-04-10,6871
2015-04-11,7150
2015-04-12,7445
2015-04-13,7755
2015-04-14,7790
2015-04-15,8011
2015-04-16,8218
2015-04-17,8142
2015-04-18,7804
2015-04-19,7575
2015-04-20,7434
2015-04-21,7255
2015-04-22,7248
2015-04-23,7057
2015-04-24,6967
2015-04-25,7019
2015-04-26,7111
2015-04-27,6755
2015-04-28,6648
2015-04-29,6648
2015-04-30,6444
2015-05-01,6450
2015-05-02,6468
2015-05-03,6468
2015-05-04,6562
2015-05-05,6478
2015-05-06,6415
2015-05-07,6167
2015-05-08,6287
2015-05-09,6288
2015-05-10,6110
2015-05-11,6110
2015-05-12,6146
2015-05-13,6066
2015-05-14,5927
2015-05-15,5752
2015-05-16,5704
2015-05-17,5823
2015-05-18,5679
2015-05-19,5531
2015-05-20,5531
2015-05-21,5380
2015-05-22,5337
2015-05-23,5289
2015-05-24,5236
2015-05-25,5113
2015-05-26,5057
2015-05-27,5023
2015-05-28,4983
2015-05-29,4863
2015-05-30,4892
2015-05-31,4936
2015-06-01,5068
2015-06-02,5068
2015-06-03,5200
2015-06-04,5159
2015-06-05,5106
2015-06-06,5063
2015-06-07,4984
2015-06-08,4984
2015-06-09,4852
2015-06-10,4758
2015-06-11,4674
2015-06-12,4525
2015-06-13,4635
2015-06-14,4640
2015-06-15,4718
2015-06-16,4704
2015-06-17,4584
2015-06-18,4591
2015-06-19,4612
2015-06-20,4608
2015-06-21,4608
2015-06-22,4507
2015-06-23,4598
2015-06-24,4622
2015-06-25,4622
2015-06-26,4477
2015-06-27,4477
2015-06-28,4405
2015-06-29,4381
2015-06-30,4335
2015-07-01,4298
2015-07-02,4298
2015-07-03,4361
2015-07-04,4573
2015-07-05,4788
2015-07-06,5028
2015-07-07,5280
2015-07-08,5507
2015-07-09,5507
2015-07-10,5617
2015-07-11,5662
2015-07-12,5680
2015-07-13,5814
2015-07-14,5817
2015-07-15,5882
2015-07-16,5996
2015-07-17,6171
2015-07-18,6339
2015-07-19,6541
2015-07-20,6604
2015-07-21,6702
2015-07-22,6783
2015-07-23,6783
2015-07-24,6671
2015-07-25,6526
2015-07-26,6427
2015-07-27,6222
2015-07-28,6045
