date_obj,Gloves%20of%20silence price
2015-03-26,7099
2015-03-27,7099
2015-03-28,6750
2015-03-29,6750
2015-03-30,6750
2015-03-31,6412
2015-04-01,6412
2015-04-02,6412
2015-04-03,6093
2015-04-04,6093
2015-04-05,6093
2015-04-06,5788
2015-04-07,5788
2015-04-08,5788
2015-04-09,5788
2015-04-10,5498
2015-04-11,5498
2015-04-12,5498
2015-04-13,5233
2015-04-14,5233
2015-04-15,5233
2015-04-16,4984
2015-04-17,4984
2015-04-18,4984
2015-04-19,4737
2015-04-20,4737
2015-04-21,4737
2015-04-22,4737
2015-04-23,4507
2015-04-24,4507
2015-04-25,4507
2015-04-26,4507
2015-04-27,4281
2015-04-28,4281
2015-04-29,4281
2015-04-30,4069
2015-05-01,4069
2015-05-02,4069
2015-05-03,4069
2015-05-04,3873
2015-05-05,3873
2015-05-06,3873
2015-05-07,3873
2015-05-08,3679
2015-05-09,3679
2015-05-10,3679
2015-05-11,3679
2015-05-12,3495
2015-05-13,3495
2015-05-14,3495
2015-05-15,3495
2015-05-16,3324
2015-05-17,3324
2015-05-18,3324
2015-05-19,3163
2015-05-20,3163
2015-05-21,3163
2015-05-22,3163
2015-05-23,3008
2015-05-24,3008
2015-05-25,3008
2015-05-26,3008
2015-05-27,2857
2015-05-28,2857
2015-05-29,2857
2015-05-30,2714
2015-05-31,2714
2015-06-01,2714
2015-06-02,2714
2015-06-03,2578
2015-06-04,2578
2015-06-05,2578
2015-06-06,2449
2015-06-07,2449
2015-06-08,2449
2015-06-09,2329
2015-06-10,2329
2015-06-11,2329
2015-06-12,2275
2015-06-13,2275
2015-06-14,2275
2015-06-15,2233
2015-06-16,2233
2015-06-17,2233
2015-06-18,2212
2015-06-19,2212
2015-06-20,2212
2015-06-21,2212
2015-06-22,2261
2015-06-23,2261
2015-06-24,2261
2015-06-25,2261
2015-06-26,2244
2015-06-27,2244
2015-06-28,2244
2015-06-29,2244
2015-06-30,2228
2015-07-01,2228
2015-07-02,2228
2015-07-03,2228
2015-07-04,2124
2015-07-05,2124
2015-07-06,2124
2015-07-07,2124
2015-07-08,2095
2015-07-09,2095
2015-07-10,2095
2015-07-11,2095
2015-07-12,2042
2015-07-13,2042
2015-07-14,2042
2015-07-15,1997
2015-07-16,1997
2015-07-17,1997
2015-07-18,1997
2015-07-19,2027
2015-07-20,2027
2015-07-21,2027
2015-07-22,2005
2015-07-23,2005
2015-07-24,2005
2015-07-25,2005
2015-07-26,1960
2015-07-27,1960
2015-07-28,1960
2015-07-29,1920
2015-07-30,1920
2015-07-31,1920
2015-08-01,1920
2015-08-02,1961
2015-08-03,1961
2015-08-04,1961
2015-08-05,1961
2015-08-06,1948
2015-08-07,1948
2015-08-08,1948
2015-08-09,1957
2015-08-10,1957
2015-08-11,1957
2015-08-12,1957
2015-08-13,1982
2015-08-14,1982
2015-08-15,1982
2015-08-16,2010
2015-08-17,2010
2015-08-18,2010
2015-08-19,1964
2015-08-20,1964
2015-08-21,1964
2015-08-22,2019
2015-08-23,2019
2015-08-24,2019
2015-08-25,2019
2015-08-26,2025
2015-08-27,2025
2015-08-28,2025
2015-08-29,1991
2015-08-30,1991
2015-08-31,1991
2015-09-01,1991
2015-09-02,1981
2015-09-03,1981
2015-09-04,1981
2015-09-05,1981
2015-09-06,1905
2015-09-07,1905
2015-09-08,1905
2015-09-09,1922
2015-09-10,1922
2015-09-11,1922
2015-09-12,1922
2015-09-13,1915
2015-09-14,1915
2015-09-15,1915
2015-09-16,1915
2015-09-17,1938
2015-09-18,1938
2015-09-19,1938
2015-09-20,1938
2015-09-21,1979
2015-09-22,1979
2015-09-23,1979
2015-09-24,1979
2015-09-25,2035
2015-09-27,2035
2015-09-28,2035
2015-09-29,2079
2015-09-30,2079
2015-10-05,2101
2015-10-06,2101
2015-10-07,2151
2015-10-08,2151
2015-10-09,2151
2015-10-10,2151
2015-10-11,2176
2015-10-12,2176
2015-10-13,2176
2015-10-14,2176
2015-10-15,2173
2015-10-16,2173
2015-10-17,2173
2015-10-18,2173
2015-10-19,2234
2015-10-20,2234
2015-10-22,2234
2015-10-23,2210
2015-10-24,2210
2015-10-25,2210
2015-10-26,2207
2015-10-27,2207
2015-10-29,2207
2015-10-30,2206
2015-10-31,2206
2015-11-01,2206
2015-11-02,2206
2015-11-03,2180
2015-11-04,2180
2015-11-05,2180
2015-11-06,2180
2015-11-07,2191
2015-11-08,2191
2015-11-09,2191
2015-11-10,2191
2015-11-11,2191
2015-11-12,2167
2015-11-13,2167
2015-11-14,2167
2015-11-15,2167
2015-11-16,2180
2015-11-17,2180
2015-11-18,2180
2015-11-19,2180
2015-11-20,2200
2015-11-21,2200
2015-11-22,2200
2015-11-23,2200
2015-11-24,2225
2015-11-25,2225
2015-11-26,2225
2015-11-27,2225
2015-11-28,2214
2015-11-29,2214
2015-11-30,2214
2015-12-01,2214
2015-12-02,2202
2015-12-03,2202
2015-12-04,2202
2015-12-05,2202
2015-12-06,2225
2015-12-07,2225
2015-12-08,2225
2015-12-09,2225
2015-12-10,2192
2015-12-11,2192
2015-12-12,2192
2015-12-13,2237
2015-12-14,2237
2015-12-15,2237
2015-12-16,2264
2015-12-17,2264
2015-12-18,2264
2015-12-19,2264
2015-12-20,2334
2015-12-21,2334
2015-12-22,2334
2015-12-23,2334
2015-12-24,2378
2015-12-25,2378
2015-12-26,2378
2015-12-27,2419
2015-12-28,2419
2015-12-29,2419
2015-12-30,2428
2015-12-31,2428
2016-01-01,2428
2016-01-02,2428
2016-01-03,2510
2016-01-04,2510
2016-01-05,2510
2016-01-06,2635
2016-01-07,2635
2016-01-08,2635
2016-01-09,2635
2016-01-10,2720
2016-01-11,2720
2016-01-12,2720
2016-01-13,2843
2016-01-14,2843
2016-01-15,2843
2016-01-16,2930
2016-01-17,2930
2016-01-18,2930
2016-01-19,2947
2016-01-20,2947
2016-01-21,2947
2016-01-22,2942
2016-01-23,2942
2016-01-24,2942
2016-01-25,2854
2016-01-26,2854
2016-01-27,2854
2016-01-28,2854
2016-01-29,2711
2016-01-30,2711
2016-01-31,2711
2016-02-01,2635
2016-02-02,2635
2016-02-03,2635
2016-02-04,2670
2016-02-05,2670
2016-02-06,2670
2016-02-07,2609
2016-02-08,2609
2016-02-09,2609
2016-02-10,2578
2016-02-11,2578
2016-02-12,2578
2016-02-13,2531
2016-02-14,2531
2016-02-15,2531
2016-02-16,2531
2016-02-17,2551
2016-02-18,2551
2016-02-19,2551
2016-02-20,2551
2016-02-21,2602
2016-02-22,2602
