date_obj,Diamond%20amulet price
2015-03-26,3385
2015-03-27,3385
2015-03-28,3385
2015-03-29,3385
2015-03-30,3385
2015-03-31,3385
2015-04-01,3385
2015-04-02,3385
2015-04-03,3385
2015-04-04,3218
2015-04-05,3218
2015-04-06,3218
2015-04-07,3218
2015-04-08,3218
2015-04-09,3218
2015-04-10,3218
2015-04-11,3218
2015-04-12,3218
2015-04-13,3218
2015-04-14,3218
2015-04-15,3059
2015-04-16,3059
2015-04-17,3059
2015-04-18,3059
2015-04-19,3059
2015-04-20,3059
2015-04-21,3059
2015-04-22,3059
2015-04-23,3059
2015-04-24,3059
2015-04-25,3059
2015-04-26,2919
2015-04-27,2919
2015-04-28,2919
2015-04-29,2919
2015-04-30,2919
2015-05-01,2919
2015-05-02,2919
2015-05-03,2919
2015-05-04,2919
2015-05-05,2919
2015-05-06,2778
2015-05-07,2778
2015-05-08,2778
2015-05-09,2778
2015-05-10,2778
2015-05-11,2778
2015-05-12,2778
2015-05-13,2778
2015-05-14,2778
2015-05-15,2778
2015-05-16,2778
2015-05-17,2720
2015-05-18,2720
2015-05-19,2720
2015-05-20,2720
2015-05-21,2720
2015-05-22,2720
2015-05-23,2720
2015-05-24,2720
2015-05-25,2720
2015-05-26,2720
2015-05-27,2720
2015-05-28,2592
2015-05-29,2592
2015-05-30,2592
2015-05-31,2592
2015-06-01,2592
2015-06-02,2592
2015-06-03,2592
2015-06-04,2592
2015-06-05,2592
2015-06-06,2482
2015-06-07,2482
2015-06-08,2482
2015-06-09,2482
2015-06-10,2482
2015-06-11,2482
2015-06-12,2482
2015-06-13,2482
2015-06-14,2482
2015-06-15,2482
2015-06-16,2482
2015-06-17,2445
2015-06-18,2445
2015-06-19,2445
2015-06-20,2445
2015-06-21,2445
2015-06-22,2445
2015-06-23,2445
2015-06-24,2445
2015-06-25,2445
2015-06-26,2467
2015-06-27,2467
2015-06-28,2467
2015-06-29,2467
2015-06-30,2467
2015-07-01,2467
2015-07-02,2467
2015-07-03,2467
2015-07-04,2467
2015-07-05,2467
2015-07-06,2467
2015-07-07,2474
2015-07-08,2474
2015-07-09,2474
2015-07-10,2474
2015-07-11,2474
2015-07-12,2474
2015-07-13,2474
2015-07-14,2474
2015-07-15,2474
2015-07-16,2474
2015-07-17,2474
2015-07-18,2474
2015-07-19,2443
2015-07-20,2443
2015-07-21,2443
2015-07-22,2443
2015-07-23,2443
2015-07-24,2443
2015-07-25,2443
2015-07-26,2443
2015-07-27,2443
2015-07-28,2443
2015-07-29,2505
2015-07-30,2505
2015-07-31,2505
2015-08-01,2505
2015-08-02,2505
2015-08-03,2505
2015-08-04,2505
2015-08-05,2505
2015-08-06,2505
2015-08-07,2505
2015-08-08,2505
2015-08-09,2520
2015-08-10,2520
2015-08-11,2520
2015-08-12,2520
2015-08-13,2520
2015-08-14,2520
2015-08-15,2520
2015-08-16,2520
2015-08-17,2520
2015-08-18,2520
2015-08-19,2520
2015-08-20,2520
2015-08-21,2520
2015-08-22,2520
2015-08-23,2520
2015-08-24,2518
2015-08-25,2518
2015-08-26,2518
2015-08-27,2518
2015-08-28,2518
2015-08-29,2518
2015-08-30,2518
2015-08-31,2518
2015-09-01,2518
2015-09-02,2518
2015-09-03,2518
2015-09-04,2518
2015-09-05,2518
2015-09-06,2518
2015-09-07,2518
2015-09-08,2518
2015-09-09,2493
2015-09-10,2493
2015-09-11,2493
2015-09-12,2493
2015-09-13,2493
2015-09-14,2493
2015-09-15,2493
2015-09-16,2493
2015-09-17,2493
2015-09-18,2493
2015-09-19,2493
2015-09-20,2493
2015-09-21,2493
2015-09-22,2493
2015-09-23,2493
2015-09-24,2493
2015-09-25,2493
2015-09-27,2430
2015-09-28,2430
2015-09-29,2430
2015-09-30,2430
2015-10-05,2430
2015-10-06,2430
2015-10-07,2430
2015-10-08,2430
2015-10-09,2430
2015-10-10,2430
2015-10-11,2430
2015-10-12,2430
2015-10-13,2430
2015-10-14,2430
2015-10-15,2422
2015-10-16,2422
2015-10-17,2422
2015-10-18,2422
2015-10-19,2422
2015-10-20,2422
2015-10-22,2422
2015-10-23,2422
2015-10-24,2422
2015-10-25,2422
2015-10-26,2422
2015-10-27,2422
2015-10-29,2422
2015-10-30,2422
2015-10-31,2422
2015-11-01,2422
2015-11-02,2328
2015-11-03,2328
2015-11-04,2328
2015-11-05,2328
2015-11-06,2328
2015-11-07,2328
2015-11-08,2328
2015-11-09,2328
2015-11-10,2328
2015-11-11,2328
2015-11-12,2328
2015-11-13,2328
2015-11-14,2328
2015-11-15,2328
2015-11-16,2328
2015-11-17,2328
2015-11-18,2328
