date_obj,Curry%20sapling price
2015-03-26,2864
2015-03-27,2864
2015-03-28,2864
2015-03-29,2864
2015-03-30,2723
2015-03-31,2723
2015-04-01,2723
2015-04-02,2723
2015-04-03,2723
2015-04-04,2723
2015-04-05,2591
2015-04-06,2591
2015-04-07,2591
2015-04-08,2591
2015-04-09,2591
2015-04-10,2591
2015-04-11,2464
2015-04-12,2464
2015-04-13,2464
2015-04-14,2464
2015-04-15,2464
2015-04-16,2464
2015-04-17,2345
2015-04-18,2345
2015-04-19,2345
2015-04-20,2345
2015-04-21,2345
2015-04-22,2345
2015-04-23,2232
2015-04-24,2232
2015-04-25,2232
2015-04-26,2232
2015-04-27,2232
2015-04-28,2232
2015-04-29,2232
2015-04-30,2122
2015-05-01,2122
2015-05-02,2122
2015-05-03,2122
2015-05-04,2122
2015-05-05,2122
2015-05-06,2024
2015-05-07,2024
2015-05-08,2024
2015-05-09,2024
2015-05-10,2024
2015-05-11,2024
2015-05-12,1971
2015-05-13,1971
2015-05-14,1971
2015-05-15,1971
2015-05-16,1971
2015-05-17,1971
2015-05-18,1971
2015-05-19,1907
2015-05-20,1907
2015-05-21,1907
2015-05-22,1907
2015-05-23,1907
2015-05-24,1907
2015-05-25,1907
2015-05-26,1907
2015-05-27,1812
2015-05-28,1812
2015-05-29,1812
2015-05-30,1812
2015-05-31,1773
2015-06-01,1773
2015-06-02,1773
2015-06-03,1773
2015-06-04,1746
2015-06-05,1746
2015-06-06,1746
2015-06-07,1746
2015-06-08,1746
2015-06-09,1696
2015-06-10,1696
2015-06-11,1696
2015-06-12,1696
2015-06-13,1696
2015-06-14,1638
2015-06-15,1638
2015-06-16,1638
2015-06-17,1638
2015-06-18,1638
2015-06-19,1584
2015-06-20,1584
2015-06-21,1584
2015-06-22,1584
2015-06-23,1584
2015-06-24,1585
2015-06-25,1585
2015-06-26,1585
2015-06-27,1585
2015-06-28,1585
2015-06-29,1578
2015-06-30,1578
2015-07-01,1578
2015-07-02,1578
2015-07-03,1578
2015-07-04,1518
2015-07-05,1518
2015-07-06,1518
2015-07-07,1518
2015-07-08,1518
2015-07-09,1518
2015-07-10,1549
2015-07-11,1549
2015-07-12,1549
2015-07-13,1549
2015-07-14,1549
2015-07-15,1535
2015-07-16,1535
2015-07-17,1535
2015-07-18,1535
2015-07-19,1535
2015-07-20,1492
2015-07-21,1492
2015-07-22,1492
2015-07-23,1492
2015-07-24,1492
2015-07-25,1447
2015-07-26,1447
2015-07-27,1447
2015-07-28,1447
2015-07-29,1402
2015-07-30,1402
2015-07-31,1402
2015-08-01,1402
2015-08-02,1402
2015-08-03,1343
2015-08-04,1343
2015-08-05,1343
2015-08-06,1343
2015-08-07,1343
2015-08-08,1343
2015-08-09,1343
2015-08-10,1343
2015-08-11,1343
2015-08-12,1343
2015-08-13,1375
2015-08-14,1375
2015-08-15,1375
2015-08-16,1375
2015-08-17,1420
2015-08-18,1420
2015-08-19,1420
2015-08-20,1420
2015-08-21,1489
2015-08-22,1489
2015-08-23,1489
2015-08-24,1489
2015-08-25,1489
2015-08-26,1524
2015-08-27,1524
2015-08-28,1524
2015-08-29,1524
2015-08-30,1505
2015-08-31,1505
2015-09-01,1505
2015-09-02,1505
2015-09-03,1505
2015-09-04,1440
2015-09-05,1440
2015-09-06,1440
2015-09-07,1440
2015-09-08,1440
2015-09-09,1424
2015-09-10,1424
2015-09-11,1424
2015-09-12,1424
2015-09-13,1424
2015-09-14,1400
2015-09-15,1400
2015-09-16,1400
2015-09-17,1400
2015-09-18,1400
2015-09-19,1337
2015-09-20,1337
2015-09-21,1337
2015-09-22,1337
2015-09-23,1337
2015-09-24,1299
2015-09-25,1299
2015-09-27,1299
2015-09-28,1299
2015-09-29,1309
2015-09-30,1309
2015-10-05,1314
2015-10-06,1314
