date_obj,Desert%20boots price
2015-03-26,734
2015-03-27,734
2015-03-28,697
2015-03-29,662
2015-03-30,628
2015-03-31,596
2015-04-01,596
2015-04-02,566
2015-04-03,537
2015-04-04,510
2015-04-05,510
2015-04-06,484
2015-04-07,459
2015-04-08,459
2015-04-09,436
2015-04-10,414
2015-04-11,394
2015-04-12,391
2015-04-13,378
2015-04-14,378
2015-04-15,366
2015-04-16,366
2015-04-17,347
2015-04-18,329
2015-04-19,321
2015-04-20,321
2015-04-21,322
2015-04-22,322
2015-04-23,320
2015-04-24,320
2015-04-25,318
2015-04-26,318
2015-04-27,317
2015-04-28,308
2015-04-29,308
2015-04-30,301
2015-05-01,299
2015-05-02,291
2015-05-03,291
2015-05-04,291
2015-05-05,291
2015-05-06,287
2015-05-07,287
2015-05-08,278
2015-05-09,285
2015-05-10,285
2015-05-11,285
2015-05-12,270
2015-05-13,270
2015-05-14,270
2015-05-15,270
2015-05-16,279
2015-05-17,276
2015-05-18,276
2015-05-19,282
2015-05-20,282
2015-05-21,293
2015-05-22,282
2015-05-23,282
2015-05-24,275
2015-05-25,265
2015-05-26,265
2015-05-27,254
2015-05-28,241
2015-05-29,228
2015-05-30,226
2015-05-31,226
2015-06-01,225
2015-06-02,225
2015-06-03,224
2015-06-04,225
2015-06-05,219
2015-06-06,219
2015-06-07,223
2015-06-08,223
2015-06-09,227
2015-06-10,223
2015-06-11,223
2015-06-12,227
2015-06-13,226
2015-06-14,223
2015-06-15,217
2015-06-16,215
2015-06-17,215
2015-06-18,212
2015-06-19,210
2015-06-20,204
2015-06-21,201
2015-06-22,190
2015-06-23,186
2015-06-24,183
2015-06-25,183
2015-06-26,174
2015-06-27,174
2015-06-28,176
2015-06-29,176
2015-06-30,176
2015-07-01,173
2015-07-02,173
2015-07-03,171
2015-07-04,165
2015-07-05,165
2015-07-06,165
2015-07-07,157
2015-07-08,151
2015-07-09,151
2015-07-10,147
2015-07-11,147
2015-07-12,140
2015-07-13,133
2015-07-14,126
2015-07-15,119
2015-07-16,113
2015-07-17,107
2015-07-18,107
2015-07-19,101
2015-07-20,95
2015-07-21,90
2015-07-22,85
2015-07-23,85
2015-07-24,80
2015-07-25,78
2015-07-26,75
2015-07-27,74
2015-07-28,72
2015-07-29,71
2015-07-30,70
2015-07-31,70
2015-08-01,70
2015-08-02,70
2015-08-03,69
2015-08-04,69
2015-08-05,66
2015-08-06,63
2015-08-07,59
2015-08-08,56
2015-08-09,55
2015-08-10,55
2015-08-11,52
2015-08-12,52
2015-08-13,55
2015-08-14,58
2015-08-15,58
2015-08-16,58
2015-08-17,60
2015-08-18,62
2015-08-19,65
2015-08-20,69
2015-08-21,72
2015-08-22,74
2015-08-23,74
2015-08-24,76
2015-08-25,76
2015-08-26,79
2015-08-27,82
2015-08-28,82
2015-08-29,87
2015-08-30,87
2015-08-31,89
2015-09-01,93
2015-09-02,93
2015-09-03,95
2015-09-04,99
2015-09-05,99
2015-09-06,103
2015-09-07,107
2015-09-08,110
2015-09-09,115
2015-09-10,119
2015-09-11,120
2015-09-12,124
2015-09-13,126
2015-09-14,133
2015-09-15,139
2015-09-16,139
2015-09-17,144
2015-09-18,144
2015-09-19,150
2015-09-20,150
2015-09-21,158
2015-09-22,165
2015-09-23,173
2015-09-24,173
2015-09-25,176
2015-09-27,180
2015-09-28,180
2015-09-29,180
2015-09-30,182
2015-10-05,196
2015-10-06,200
2015-10-07,200
2015-10-08,209
2015-10-09,213
2015-10-10,213
2015-10-11,219
2015-10-12,227
2015-10-13,227
2015-10-14,234
2015-10-15,242
2015-10-16,244
2015-10-17,244
2015-10-18,252
2015-10-19,257
2015-10-20,261
2015-10-22,257
2015-10-23,256
2015-10-24,256
2015-10-25,262
2015-10-26,268
2015-10-27,268
2015-10-29,249
2015-10-30,249
2015-10-31,249
2015-11-01,249
2015-11-02,258
2015-11-03,269
2015-11-04,269
2015-11-05,272
2015-11-06,272
2015-11-07,277
2015-11-08,277
2015-11-09,281
2015-11-10,281
2015-11-11,288
2015-11-12,288
2015-11-13,302
2015-11-14,302
2015-11-15,303
2015-11-16,303
2015-11-17,300
2015-11-18,300
2015-11-19,293
2015-11-20,295
2015-11-21,295
2015-11-22,282
2015-11-23,282
2015-11-24,282
2015-11-25,272
2015-11-26,272
2015-11-27,266
2015-11-28,254
2015-11-29,247
2015-11-30,245
2015-12-01,245
2015-12-02,233
2015-12-03,226
2015-12-04,226
2015-12-05,231
2015-12-06,236
2015-12-07,236
2015-12-08,238
2015-12-09,234
2015-12-10,234
2015-12-11,223
2015-12-12,216
2015-12-13,205
2015-12-14,205
2015-12-15,194
2015-12-16,184
2015-12-17,184
2015-12-18,174
2015-12-19,174
2015-12-20,179
2015-12-21,186
2015-12-22,189
2015-12-23,192
2015-12-24,192
2015-12-25,190
2015-12-26,190
2015-12-27,192
2015-12-28,194
2015-12-29,195
2015-12-30,192
2015-12-31,192
2016-01-01,193
2016-01-02,203
2016-01-03,203
2016-01-04,199
2016-01-05,197
2016-01-06,206
2016-01-07,206
2016-01-08,213
2016-01-09,222
2016-01-10,231
2016-01-11,241
2016-01-12,234
2016-01-13,229
2016-01-14,219
2016-01-15,217
2016-01-16,216
2016-01-17,210
2016-01-18,216
2016-01-19,216
2016-01-20,221
2016-01-21,221
2016-01-22,228
2016-01-23,232
2016-01-24,233
2016-01-25,237
2016-01-26,237
2016-01-27,234
2016-01-28,234
2016-01-29,226
2016-01-30,226
2016-01-31,223
2016-02-01,225
2016-02-02,237
2016-02-03,246
2016-02-04,258
2016-02-05,258
2016-02-06,263
2016-02-07,263
2016-02-08,265
2016-02-09,258
2016-02-10,255
2016-02-11,255
2016-02-12,258
2016-02-13,265
2016-02-14,265
2016-02-15,268
2016-02-16,260
2016-02-17,253
2016-02-18,253
2016-02-19,254
2016-02-20,255
2016-02-21,264
2016-02-22,264
2016-02-23,270
2016-02-24,263
2016-02-25,262
2016-02-26,262
2016-02-27,259
2016-02-28,267
2016-03-01,276
2016-03-02,276
2016-03-03,273
2016-03-04,262
2016-03-05,259
2016-03-06,261
2016-03-07,261
2016-03-08,268
2016-03-09,264
2016-03-10,269
2016-03-11,275
2016-03-12,264
2016-03-13,258
2016-03-14,261
2016-03-15,261
2016-03-16,261
2016-03-17,275
2016-03-18,278
2016-03-19,289
2016-03-20,294
2016-03-21,294
2016-03-22,298
2016-03-23,301
2016-03-24,298
2016-03-25,300
2016-03-26,303
2016-03-27,303
2016-03-28,299
2016-03-29,284
2016-03-30,284
2016-03-31,271
2016-04-01,279
2016-04-02,283
2016-04-03,281
2016-04-04,271
2016-04-05,258
2016-04-06,264
2016-04-07,263
2016-04-08,260
2016-04-09,258
2016-04-10,250
2016-04-11,250
2016-04-12,255
2016-04-13,252
2016-04-14,240
2016-04-15,239
2016-04-16,244
2016-04-17,242
2016-04-18,238
2016-04-19,241
2016-04-20,249
2016-04-21,241
2016-04-22,241
2016-04-23,240
2016-04-24,249
