date_obj,Basalt price
2018-09-05,137
2018-09-06,144
2018-09-07,152
2018-09-08,160
2018-09-09,168
2018-09-10,177
2018-09-11,186
2018-09-12,196
2018-09-13,206
2018-09-14,217
2018-09-15,228
2018-09-16,240
2018-09-17,252
2018-09-18,265
2018-09-19,279
2018-09-20,293
2018-09-21,308
2018-09-22,324
2018-09-23,340
2018-09-24,357
2018-09-25,357
2018-09-26,375
2018-09-27,375
2018-09-28,394
2018-09-29,412
2018-09-30,433
2018-10-02,478
2018-10-03,502
2018-10-04,528
2018-10-05,554
2018-10-06,582
2018-10-07,608
2018-10-08,639
2018-10-09,671
2018-10-10,705
2018-10-11,740
2018-10-12,740
2018-10-13,777
2018-10-14,815
2018-10-15,855
2018-10-16,855
2018-10-17,898
2018-10-18,941
2018-10-19,989
2018-10-20,989
2018-10-21,1039
2018-10-22,1091
2018-10-23,1091
2018-10-24,1146
2018-10-25,1204
2018-10-26,1261
2018-10-27,1318
2018-10-28,1384
2018-10-29,1384
2018-10-30,1454
2018-10-31,1525
2018-11-01,1580
2018-11-03,1637
2018-11-04,1642
2018-11-05,1598
2018-11-06,1665
2018-11-07,1748
2018-11-08,1835
2018-11-09,1923
2018-11-10,1990
2018-11-11,1917
2018-11-12,1821
2018-11-13,1729
2018-11-14,1642
2018-11-15,1581
2018-11-16,1538
2018-11-17,1523
2018-11-18,1505
2018-11-19,1476
2018-11-20,1448
2018-11-21,1448
2018-11-22,1412
2018-11-23,1382
2018-11-24,1354
2018-11-25,1292
2018-11-26,1292
2018-11-27,1240
2018-11-28,1178
2018-11-29,1119
2018-12-01,1010
2018-12-02,959
2018-12-03,959
2018-12-04,920
2018-12-05,917
2018-12-07,937
2018-12-09,903
2018-12-10,875
2018-12-11,875
2018-12-12,831
2018-12-13,789
2018-12-14,789
2018-12-15,749
2018-12-16,712
2018-12-17,712
2018-12-18,680
2018-12-19,684
2018-12-20,684
2018-12-21,695
2018-12-22,695
2018-12-23,726
2018-12-24,763
2018-12-25,763
2018-12-26,802
2018-12-27,819
2018-12-28,819
2018-12-29,853
2018-12-30,895
2018-12-31,907
2019-01-01,907
2019-01-02,919
2019-01-03,894
2019-01-04,932
2019-01-05,978
2019-01-06,1001
2019-01-08,1052
2019-01-10,1119
2019-01-11,1068
2019-01-12,1058
2019-01-13,1040
2019-01-14,1009
2019-01-15,966
2019-01-16,929
2019-01-17,911
2019-01-18,890
2019-01-19,915
2019-01-20,952
2019-01-21,952
2019-01-22,970
2019-01-23,965
2019-01-24,961
2019-01-25,962
2019-01-26,956
2019-01-27,982
2019-01-28,987
2019-01-29,1026
2019-01-30,1078
2019-01-31,1078
2019-02-01,1131
2019-02-02,1131
2019-02-03,1184
2019-02-04,1184
2019-02-05,1204
2019-02-06,1204
2019-02-07,1209
2019-02-08,1209
2019-02-09,1214
2019-02-10,1266
2019-02-11,1222
2019-02-12,1222
2019-02-13,1191
2019-02-14,1191
2019-02-15,1169
2019-02-16,1169
2019-02-17,1141
2019-02-18,1124
2019-02-19,1124
2019-02-20,1072
2019-02-21,1030
2019-02-22,1030
2019-02-23,1022
2019-02-24,1005
2019-02-25,993
2019-02-26,993
2019-02-27,947
2019-02-28,947
2019-03-01,946
2019-03-02,946
2019-03-03,934
2019-03-04,926
2019-03-05,943
2019-03-06,937
2019-03-07,937
2019-03-08,950
2019-03-09,950
2019-03-10,955
2019-03-11,960
2019-03-12,960
2019-03-13,960
2019-03-14,951
2019-03-15,951
2019-03-16,958
2019-03-17,962
2019-03-18,962
2019-03-19,951
2019-03-20,951
2019-03-21,968
2019-03-22,968
2019-03-23,1002
2019-03-24,1042
2019-03-25,1042
2019-03-26,1082
2019-03-27,1082
2019-03-28,1076
2019-03-29,1032
2019-03-30,1032
2019-03-31,1019
2019-04-01,1015
2019-04-02,1015
2019-04-03,1061
2019-04-04,1061
2019-04-05,1083
2019-04-06,1083
2019-04-07,1047
2019-04-08,1062
2019-04-09,1062
2019-04-10,1038
2019-04-11,1030
2019-04-12,1014
2019-04-13,1018
2019-04-14,1008
2019-04-15,980
2019-04-16,960
2019-04-17,929
2019-04-18,902
2019-04-19,888
2019-04-20,886
2019-04-21,892
2019-04-22,910
2019-04-23,885
2019-04-24,862
2019-04-25,881
2019-04-26,896
2019-04-27,928
2019-04-28,928
2019-04-29,937
2019-04-30,928
2019-05-01,912
2019-05-02,913
2019-05-03,931
2019-05-04,960
2019-05-05,980
2019-05-06,978
2019-05-07,980
2019-05-08,976
2019-05-09,997
2019-05-10,985
2019-05-11,971
2019-05-12,952
2019-05-13,943
2019-05-14,964
2019-05-15,964
2019-05-16,944
2019-05-17,944
2019-05-18,925
2019-05-19,954
2019-05-20,957
2019-05-21,948
2019-05-22,942
2019-05-23,959
2019-05-24,980
2019-05-25,1001
2019-05-26,1024
2019-05-27,1014
2019-05-28,982
2019-05-29,966
2019-05-30,948
2019-05-31,936
2019-06-01,948
2019-06-02,916
2019-06-03,901
2019-06-04,922
2019-06-05,945
2019-06-06,954
2019-06-07,964
2019-06-08,937
2019-06-09,939
2019-06-10,939
2019-06-11,948
2019-06-12,930
2019-06-13,945
2019-06-14,964
2019-06-15,972
2019-06-16,956
2019-06-17,972
2019-06-18,972
2019-06-19,937
2019-06-20,929
2019-06-21,932
2019-06-22,946
2019-06-23,939
2019-06-24,923
2019-06-25,918
2019-06-26,913
2019-06-27,907
2019-06-28,907
2019-06-29,903
2019-06-30,895
2019-07-01,895
2019-07-02,879
2019-07-03,852
2019-07-04,834
2019-07-05,805
2019-07-06,822
2019-07-07,849
2019-07-08,866
2019-07-09,875
2019-07-10,866
2019-07-11,880
2019-07-12,871
2019-07-13,871
2019-07-14,880
2019-07-15,880
2019-07-16,845
2019-07-17,816
2019-07-18,777
2019-07-19,777
2019-07-20,757
2019-07-21,773
2019-07-22,780
2019-07-23,791
2019-07-24,791
2019-07-25,776
2019-07-26,776
2019-07-27,761
2019-07-28,788
2019-07-29,820
2019-07-30,827
2019-07-31,804
2019-08-01,804
2019-08-02,798
2019-08-03,804
2019-08-04,812
2019-08-05,816
2019-08-06,806
2019-08-07,789
2019-08-08,787
2019-08-09,787
2019-08-10,760
2019-08-11,730
2019-08-12,725
2019-08-13,718
2019-08-14,708
2019-08-15,730
2019-08-16,751
2019-08-17,751
2019-08-18,765
2019-08-19,763
2019-08-20,771
2019-08-21,755
2019-08-22,740
2019-08-23,740
2019-08-24,752
2019-08-24,752
2019-08-25,752
2019-08-25,752
2019-08-26,774
2019-08-27,774
2019-08-27,774
2019-08-28,764
2019-08-29,760
2019-08-30,786
2019-08-31,786
2019-09-01,806
2019-09-02,806
2019-09-03,810
2019-09-04,791
2019-09-05,772
2019-09-06,772
2019-09-07,773
2019-09-08,743
2019-09-09,743
2019-09-10,754
2019-09-11,765
2019-09-12,777
2019-09-13,777
2019-09-14,742
2019-09-15,757
2019-09-16,739
2019-09-17,747
2019-09-18,747
2019-09-19,747
2019-09-20,730
2019-09-21,758
2019-09-22,791
2019-09-23,801
2019-09-24,801
2019-09-25,809
2019-09-26,788
2019-09-27,788
2019-09-28,792
2019-09-29,792
2019-09-30,795
2019-10-01,764
2019-10-02,764
2019-10-03,743
2019-10-04,721
2019-10-05,724
2019-10-06,748
2019-10-07,748
2019-10-08,752
2019-10-09,752
2019-10-10,724
2019-10-11,724
2019-10-12,719
2019-10-13,748
2019-10-14,784
2019-10-15,784
2019-10-16,772
2019-10-17,772
2019-10-18,755
2019-10-19,745
2019-10-20,745
2019-10-21,732
2019-10-22,732
2019-10-23,706
2019-10-24,680
2019-10-25,665
2019-10-26,696
2019-10-27,696
2019-10-28,707
2019-10-29,707
2019-10-30,686
2019-10-31,683
2019-11-01,683
2019-11-02,700
2019-11-03,717
2019-11-04,740
2019-11-05,740
2019-11-06,741
2019-11-07,734
2019-11-08,724
2019-11-09,723
2019-11-10,744
2019-11-11,773
2019-11-12,773
2019-11-13,805
2019-11-14,843
2019-11-15,883
2019-11-16,928
2019-11-17,928
2019-11-18,975
2019-11-19,975
2019-11-20,1024
2019-11-21,1024
2019-11-22,1076
2019-11-23,1130
2019-11-24,1187
2019-11-25,1247
2019-11-26,1310
2019-11-27,1310
2019-11-28,1376
2019-11-29,1376
2019-11-30,1445
2019-12-01,1507
2019-12-02,1484
2019-12-03,1462
2019-12-04,1414
2019-12-05,1414
2019-12-06,1345
2019-12-07,1277
2019-12-08,1213
2019-12-09,1156
2019-12-10,1098
2019-12-11,1062
2019-12-12,1062
2019-12-13,1017
2019-12-14,973
2019-12-15,1009
2019-12-16,1009
2019-12-17,1036
2019-12-18,1036
2019-12-19,1051
2019-12-20,999
2019-12-21,1010
2019-12-22,1034
2019-12-23,1034
2019-12-24,1028
2019-12-25,1002
2019-12-26,1002
2019-12-27,972
2019-12-28,948
2019-12-29,948
2019-12-30,987
2019-12-31,1037
2020-01-01,1089
2020-01-02,1144
2020-01-03,1202
2020-01-04,1263
2020-01-05,1327
2020-01-06,1341
2020-01-07,1277
2020-01-08,1277
2020-01-09,1214
2020-01-10,1205
2020-01-11,1244
2020-01-12,1286
2020-01-13,1286
2020-01-14,1255
2020-01-15,1300
2020-01-16,1361
2020-01-17,1428
2020-01-18,1488
2020-01-19,1518
2020-01-20,1493
2020-01-21,1436
2020-01-22,1366
2020-01-23,1297
2020-01-24,1232
2020-01-25,1170
2020-01-26,1133
2020-01-27,1104
2020-01-28,1062
2020-01-29,1029
2020-01-30,987
2020-01-31,946
2020-02-01,910
2020-02-02,928
2020-02-03,960
2020-02-04,986
2020-02-05,1005
2020-02-06,980
2020-02-07,943
2020-02-08,948
2020-02-09,959
2020-02-10,981
2020-02-11,980
2020-02-12,962
2020-02-13,933
2020-02-14,932
2020-02-15,944
2020-02-16,976
2020-02-17,1010
2020-02-18,1009
2020-02-19,975
2020-02-20,941
2020-02-21,941
2020-02-22,941
2020-02-23,968
2020-02-24,1003
2020-02-25,998
2020-02-26,989
2020-02-27,959
2020-02-28,939
2020-02-29,927
2020-03-01,946
2020-03-02,945
2020-03-03,935
2020-03-04,920
2020-03-05,918
2020-03-06,895
2020-03-07,881
2020-03-08,836
2020-03-09,794
2020-03-10,754
2020-03-11,722
2020-03-12,751
2020-03-13,786
2020-03-14,817
2020-03-15,857
2020-03-16,900
2020-03-17,933
2020-03-18,916
2020-03-19,929
2020-03-20,914
2020-03-21,928
2020-03-22,913
2020-03-23,937
2020-03-24,936
2020-03-25,923
2020-03-26,902
2020-03-27,889
2020-03-28,893
2020-03-29,900
2020-03-30,888
2020-03-31,880
2020-04-01,852
2020-04-02,836
2020-04-03,829
2020-04-04,813
2020-04-05,815
2020-04-06,799
2020-04-07,772
2020-04-08,733
2020-04-09,696
2020-04-10,673
2020-04-11,641
2020-04-12,648
2020-04-13,680
2020-04-14,705
2020-04-15,718
2020-04-16,721
2020-04-17,695
2020-04-18,681
2020-04-19,661
2020-04-20,658
2020-04-21,668
2020-04-22,681
2020-04-23,687
2020-04-24,709
2020-04-25,737
2020-04-26,774
2020-04-27,796
2020-04-28,760
2020-04-29,726
2020-04-30,700
2020-05-01,684
2020-05-02,684
2020-05-03,696
2020-05-04,694
2020-05-05,684
2020-05-06,668
2020-05-07,652
2020-05-08,646
2020-05-09,647
2020-05-10,665
2020-05-11,667
2020-05-12,669
2020-05-13,653
