date_obj,Gilded%20sq%20shield price
2016-07-06,985849
2016-07-07,1020760
2016-07-08,1060929
2016-07-09,1104747
2016-07-10,1104747
2016-07-11,1146506
2016-07-12,1146506
2016-07-13,1146506
2016-07-14,1190413
2016-07-15,1190413
2016-07-16,1190413
2016-07-17,1190413
2016-07-18,1241822
2016-07-23,1241822
2016-07-24,1263274
2016-07-25,1263274
2016-07-26,1263274
2016-07-27,1263274
2016-07-28,1263274
2016-07-29,1273229
2016-07-30,1273229
2016-07-31,1273229
2016-08-01,1273229
2016-08-02,1273229
2016-08-03,1273229
2016-08-04,1273229
2016-08-05,1273229
2016-08-06,1321464
2016-08-07,1321464
2016-08-08,1321464
2016-08-09,1321464
2016-08-10,1321464
2016-08-11,1321464
2016-08-12,1321464
2016-08-13,1321464
2016-08-14,1280217
2016-08-15,1280217
2016-08-16,1280217
2016-08-17,1280217
2016-08-18,1280217
2016-08-19,1280217
2016-08-20,1216206
2016-08-21,1216206
2016-08-22,1216206
2016-08-23,1216206
2016-08-24,1157077
2016-08-25,1157077
2016-08-26,1157077
2016-08-28,1157077
2016-08-31,1099223
2016-09-01,1099223
2016-09-02,1099223
2016-09-03,1099223
2016-09-04,1099223
2016-09-05,1099223
2016-09-06,1044598
2016-09-07,1044598
2016-09-08,1044598
2016-09-09,1044598
2016-09-10,1044598
2016-09-11,1044598
2016-09-12,1044598
2016-09-13,992510
2016-09-14,992510
2016-09-15,992510
2016-09-16,992510
2016-09-17,992510
2016-09-18,992510
2016-09-19,943996
2016-09-20,943996
2016-09-21,943996
2016-09-22,943996
2016-09-23,943996
2016-09-24,943996
2016-09-25,943996
2016-09-26,943996
2016-09-27,896796
2016-09-28,896796
2016-09-29,896796
2016-09-30,896796
2016-10-01,896796
2016-10-02,896796
2016-10-03,858875
2016-10-04,858875
2016-10-05,858875
2016-10-06,858875
2016-10-07,858875
2016-10-08,816409
2016-10-09,816409
2016-10-10,816409
2016-10-11,816409
2016-10-12,816409
2016-10-13,776151
2016-10-14,776151
2016-10-15,776151
2016-10-16,776151
2016-10-17,738303
2016-10-18,738303
2016-10-19,738303
2016-10-20,738303
2016-10-21,738303
2016-10-22,738303
2016-10-23,702066
2016-10-24,702066
2016-10-25,702066
2016-10-26,702066
2016-10-27,702066
2016-10-28,702066
2016-10-29,666962
2016-10-30,666962
