date_obj,Adamant%20brutal price
2015-03-26,844
2015-03-27,844
2015-03-28,844
2015-03-29,844
2015-03-30,844
2015-03-31,844
2015-04-01,844
2015-04-02,844
2015-04-03,844
2015-04-04,844
2015-04-05,844
2015-04-06,844
2015-04-07,844
2015-04-08,844
2015-04-09,844
2015-04-10,844
2015-04-11,844
2015-04-12,844
2015-04-13,844
2015-04-14,844
2015-04-15,844
2015-04-16,844
2015-04-17,844
2015-04-18,844
2015-04-19,844
2015-04-20,844
2015-04-21,844
2015-04-22,844
2015-04-23,844
2015-04-24,844
2015-04-25,844
2015-04-26,844
2015-04-27,844
2015-04-28,845
2015-04-29,845
2015-04-30,845
2015-05-01,845
2015-05-02,845
2015-05-03,845
2015-05-04,845
2015-05-05,845
2015-05-06,845
2015-05-07,845
2015-05-08,845
2015-05-09,845
2015-05-10,845
2015-05-11,845
2015-05-12,845
2015-05-13,845
2015-05-14,845
2015-05-15,845
2015-05-16,845
2015-05-17,845
2015-05-18,845
2015-05-19,845
2015-05-20,845
2015-05-21,845
2015-05-22,845
2015-05-23,845
2015-05-24,845
2015-05-25,845
2015-05-26,845
2015-05-27,845
2015-05-28,817
2015-05-29,817
2015-05-30,817
2015-05-31,817
2015-06-01,817
2015-06-02,817
2015-06-03,817
2015-06-04,817
2015-06-05,817
2015-06-06,817
2015-06-07,817
2015-06-08,817
2015-06-09,817
2015-06-10,817
2015-06-11,817
2015-06-12,817
2015-06-13,817
2015-06-14,817
2015-06-15,817
2015-06-16,813
2015-06-17,813
2015-06-18,813
2015-06-19,813
2015-06-20,813
2015-06-21,813
2015-06-22,813
2015-06-23,813
2015-06-24,813
2015-06-25,813
2015-06-26,813
2015-06-27,813
2015-06-28,813
2015-06-29,813
2015-06-30,813
2015-07-01,813
2015-07-02,813
2015-07-03,813
2015-07-04,813
2015-07-05,813
2015-07-06,813
2015-07-07,798
2015-07-08,798
2015-07-09,798
2015-07-10,798
2015-07-11,798
2015-07-12,798
2015-07-13,798
2015-07-14,798
2015-07-15,798
2015-07-16,798
2015-07-17,798
2015-07-18,798
2015-07-19,798
2015-07-20,798
2015-07-21,798
2015-07-22,798
2015-07-23,798
2015-07-24,798
2015-07-25,798
2015-07-26,798
2015-07-27,801
2015-07-28,801
2015-07-29,801
2015-07-30,801
2015-07-31,801
2015-08-01,801
2015-08-02,801
2015-08-03,801
2015-08-04,801
2015-08-05,801
2015-08-06,801
2015-08-07,801
2015-08-08,801
2015-08-09,801
2015-08-10,801
2015-08-11,801
2015-08-12,801
2015-08-13,801
2015-08-14,801
2015-08-15,801
2015-08-16,801
2015-08-17,792
2015-08-18,792
2015-08-19,792
2015-08-20,792
2015-08-21,792
2015-08-22,792
2015-08-23,792
2015-08-24,792
2015-08-25,792
2015-08-26,792
2015-08-27,792
2015-08-28,792
2015-08-29,792
2015-08-30,792
2015-08-31,792
2015-09-01,792
2015-09-02,792
2015-09-03,792
2015-09-04,792
2015-09-05,792
2015-09-06,767
2015-09-07,767
2015-09-08,767
2015-09-09,767
2015-09-10,767
2015-09-11,767
2015-09-12,767
2015-09-13,767
2015-09-14,767
2015-09-15,767
2015-09-16,767
2015-09-17,767
2015-09-18,767
2015-09-19,767
2015-09-20,767
2015-09-21,767
2015-09-22,767
2015-09-23,767
2015-09-24,767
2015-09-25,767
2015-09-27,767
2015-09-28,767
2015-09-29,767
2015-09-30,734
2015-10-05,734
2015-10-06,734
2015-10-07,734
2015-10-08,734
2015-10-09,734
2015-10-10,734
2015-10-11,734
2015-10-12,734
2015-10-13,734
