date_obj,Lassar%20teleport%20(tablet) price
2015-03-26,2500
2015-03-27,2500
2015-03-28,2536
2015-03-29,2536
2015-03-30,2536
2015-03-31,2536
2015-04-01,2536
2015-04-02,2536
2015-04-03,2536
2015-04-04,2536
2015-04-05,2536
2015-04-06,2536
2015-04-07,2536
2015-04-08,2536
2015-04-09,2536
2015-04-10,2536
2015-04-11,2536
2015-04-12,2536
2015-04-13,2536
2015-04-14,2536
2015-04-15,2536
2015-04-16,2536
2015-04-17,2536
2015-04-18,2536
2015-04-19,2536
2015-04-20,2536
2015-04-21,2536
2015-04-22,2536
2015-04-23,2536
2015-04-24,2559
2015-04-25,2559
2015-04-26,2559
2015-04-27,2559
2015-04-28,2559
2015-04-29,2559
2015-04-30,2559
2015-05-01,2559
2015-05-02,2559
2015-05-03,2559
2015-05-04,2559
2015-05-05,2559
2015-05-06,2559
2015-05-07,2559
2015-05-08,2559
2015-05-09,2559
2015-05-10,2559
2015-05-11,2559
2015-05-12,2559
2015-05-13,2559
2015-05-14,2609
2015-05-15,2609
2015-05-16,2609
2015-05-17,2609
2015-05-18,2609
2015-05-19,2609
2015-05-20,2609
2015-05-21,2609
2015-05-22,2609
2015-05-23,2609
2015-05-24,2609
2015-05-25,2609
2015-05-26,2609
2015-05-27,2609
2015-05-28,2609
2015-05-29,2609
2015-05-30,2609
2015-05-31,2609
2015-06-01,2609
2015-06-02,2609
2015-06-03,2609
2015-06-04,2609
2015-06-05,2609
2015-06-06,2609
2015-06-07,2609
2015-06-08,2609
2015-06-09,2609
2015-06-10,2609
2015-06-11,2609
2015-06-12,2609
2015-06-13,2609
2015-06-14,2609
2015-06-15,2576
2015-06-16,2576
2015-06-17,2576
2015-06-18,2576
2015-06-19,2576
2015-06-20,2576
2015-06-21,2576
2015-06-22,2576
2015-06-23,2576
2015-06-24,2576
2015-06-25,2576
2015-06-26,2576
2015-06-27,2576
2015-06-28,2576
2015-06-29,2576
2015-06-30,2576
2015-07-01,2510
2015-07-02,2510
2015-07-03,2510
2015-07-04,2510
2015-07-05,2510
2015-07-06,2510
2015-07-07,2510
2015-07-08,2510
2015-07-09,2510
2015-07-10,2510
2015-07-11,2510
2015-07-12,2510
2015-07-13,2510
2015-07-14,2510
2015-07-15,2510
2015-07-16,2510
2015-07-17,2510
2015-07-18,2510
2015-07-19,2510
2015-07-20,2517
2015-07-21,2517
2015-07-22,2517
2015-07-23,2517
2015-07-24,2517
2015-07-25,2517
2015-07-26,2517
2015-07-27,2517
2015-07-28,2517
2015-07-29,2517
2015-07-30,2517
