date_obj,Apple%20sapling price
2015-03-26,1315
2015-03-27,1315
2015-03-28,1315
2015-03-29,1252
2015-03-30,1252
2015-03-31,1252
2015-04-01,1252
2015-04-02,1252
2015-04-03,1252
2015-04-04,1192
2015-04-05,1192
2015-04-06,1192
2015-04-07,1192
2015-04-08,1192
2015-04-09,1192
2015-04-10,1134
2015-04-11,1134
2015-04-12,1134
2015-04-13,1134
2015-04-14,1134
2015-04-15,1079
2015-04-16,1079
2015-04-17,1079
2015-04-18,1079
2015-04-19,1079
2015-04-20,1079
2015-04-21,1027
2015-04-22,1027
2015-04-23,1027
2015-04-24,1027
2015-04-25,1027
2015-04-26,1027
2015-04-27,977
2015-04-28,977
2015-04-29,977
2015-04-30,977
2015-05-01,977
2015-05-02,977
2015-05-03,933
2015-05-04,933
2015-05-05,933
2015-05-06,933
2015-05-07,933
2015-05-08,933
2015-05-09,907
2015-05-10,907
2015-05-11,907
2015-05-12,907
2015-05-13,907
2015-05-14,907
2015-05-15,907
2015-05-16,907
2015-05-17,861
2015-05-18,861
2015-05-19,861
2015-05-20,861
2015-05-21,861
2015-05-22,861
2015-05-23,861
2015-05-24,861
2015-05-25,820
2015-05-26,820
2015-05-27,820
2015-05-28,820
2015-05-29,820
2015-05-30,799
2015-05-31,799
2015-06-01,799
2015-06-02,799
2015-06-03,799
2015-06-04,799
2015-06-05,765
2015-06-06,765
2015-06-07,765
2015-06-08,765
2015-06-09,765
2015-06-10,765
2015-06-11,739
2015-06-12,739
2015-06-13,739
2015-06-14,739
2015-06-15,739
2015-06-16,739
2015-06-17,703
2015-06-18,703
2015-06-19,703
2015-06-20,703
2015-06-21,703
2015-06-22,671
2015-06-23,671
2015-06-24,671
2015-06-25,671
2015-06-26,671
2015-06-27,671
2015-06-28,646
2015-06-29,646
2015-06-30,646
2015-07-01,646
2015-07-02,646
2015-07-03,646
2015-07-04,646
2015-07-05,626
2015-07-06,626
2015-07-07,626
2015-07-08,626
2015-07-09,626
2015-07-10,626
2015-07-11,597
2015-07-12,597
2015-07-13,597
2015-07-14,597
2015-07-15,597
2015-07-16,597
2015-07-17,570
2015-07-18,570
2015-07-19,570
2015-07-20,570
2015-07-21,570
2015-07-22,570
2015-07-23,555
2015-07-24,555
2015-07-25,555
2015-07-26,555
2015-07-27,555
2015-07-28,555
2015-07-29,543
2015-07-30,543
2015-07-31,543
2015-08-01,543
2015-08-02,543
2015-08-03,543
2015-08-04,516
2015-08-05,516
2015-08-06,516
2015-08-07,516
2015-08-08,516
2015-08-09,516
2015-08-10,516
2015-08-11,516
2015-08-12,516
2015-08-13,516
2015-08-14,516
2015-08-15,515
2015-08-16,515
2015-08-17,515
2015-08-18,515
2015-08-19,515
2015-08-20,515
2015-08-21,503
2015-08-22,503
2015-08-23,503
2015-08-24,503
2015-08-25,503
2015-08-26,503
2015-08-27,487
2015-08-28,487
2015-08-29,487
2015-08-30,487
2015-08-31,487
2015-09-01,487
2015-09-02,487
2015-09-03,484
2015-09-04,484
2015-09-05,484
2015-09-06,484
2015-09-07,484
2015-09-08,484
2015-09-09,484
2015-09-10,478
2015-09-11,478
2015-09-12,478
2015-09-13,478
2015-09-14,478
2015-09-15,478
2015-09-16,478
2015-09-17,458
2015-09-18,458
2015-09-19,458
2015-09-20,458
2015-09-21,458
2015-09-22,458
2015-09-23,436
2015-09-24,436
2015-09-25,436
2015-09-27,436
2015-09-28,436
2015-09-29,436
2015-09-30,415
2015-10-05,415
2015-10-06,415
2015-10-07,395
2015-10-08,395
2015-10-09,395
2015-10-10,395
2015-10-11,381
2015-10-12,381
2015-10-13,381
2015-10-14,381
2015-10-15,381
2015-10-16,381
2015-10-17,381
2015-10-18,381
2015-10-19,381
2015-10-20,381
2015-10-22,381
2015-10-23,381
2015-10-24,381
2015-10-25,368
2015-10-26,368
2015-10-27,368
2015-10-28,368
2015-10-29,368
2015-10-30,368
2015-10-31,368
2015-11-01,350
2015-11-02,350
2015-11-03,350
2015-11-04,350
2015-11-05,350
2015-11-06,350
2015-11-07,350
2015-11-08,350
2015-11-09,345
2015-11-10,345
2015-11-11,345
2015-11-12,345
2015-11-13,345
2015-11-14,345
2015-11-15,345
2015-11-16,345
2015-11-17,345
2015-11-18,341
2015-11-19,341
2015-11-20,341
2015-11-21,341
2015-11-22,341
2015-11-23,341
2015-11-24,341
2015-11-25,331
2015-11-26,331
2015-11-27,331
2015-11-28,331
2015-11-29,331
2015-11-30,331
