date_obj,Purple%20partyhat price
2015-03-26,40086
2015-03-27,40086
2015-03-28,39456
2015-03-29,38008
2015-03-30,37351
2015-03-31,37351
2015-04-01,35810
2015-04-02,35810
2015-04-03,34029
2015-04-04,32461
2015-04-05,32461
2015-04-06,30924
2015-04-07,30924
2015-04-08,29402
2015-04-09,29402
2015-04-10,28475
2015-04-11,28475
2015-04-12,27251
2015-04-13,27251
2015-04-14,27079
2015-04-15,27079
2015-04-16,28030
2015-04-17,28030
2015-04-18,29213
2015-04-19,29213
2015-04-20,30528
2015-04-21,30528
2015-04-22,31959
2015-04-23,31959
2015-04-24,33491
2015-04-25,33491
2015-04-26,34647
2015-04-27,34647
2015-04-28,36050
2015-04-29,36050
2015-04-30,36199
2015-05-01,36199
2015-05-02,34389
2015-05-03,34389
2015-05-04,32727
2015-05-05,32727
2015-05-06,31090
2015-05-07,31090
2015-05-08,29535
2015-05-09,29535
2015-05-10,28338
2015-05-11,28338
2015-05-12,27164
2015-05-13,27164
2015-05-14,25848
2015-05-15,25848
2015-05-16,25848
2015-05-17,24572
2015-05-18,24572
2015-05-19,24082
2015-05-20,24082
2015-05-21,24082
2015-05-22,24099
2015-05-23,24099
2015-05-24,23257
2015-05-25,23257
2015-05-26,22506
2015-05-27,22506
2015-05-28,22379
2015-05-29,22379
2015-05-30,22003
2015-05-31,22003
2015-06-01,21992
2015-06-02,21992
2015-06-03,21676
2015-06-04,21676
2015-06-05,21529
2015-06-06,21529
2015-06-07,22058
2015-06-08,22058
2015-06-09,21978
2015-06-10,21978
2015-06-11,22895
2015-06-12,22895
2015-06-13,24040
2015-06-14,24040
2015-06-15,25242
2015-06-16,26452
2015-06-17,27720
2015-06-18,28998
2015-06-19,28998
2015-06-20,30448
2015-06-21,30448
2015-06-22,31823
2015-06-23,31823
2015-06-24,33412
2015-06-25,33412
2015-06-26,33854
2015-06-27,33854
2015-06-28,32527
2015-06-29,32527
2015-06-30,32246
2015-07-01,32246
2015-07-02,32620
2015-07-03,33856
2015-07-04,33856
2015-07-05,34934
2015-07-06,34934
2015-07-07,34225
2015-07-08,34225
2015-07-09,33697
2015-07-10,33697
2015-07-11,32974
2015-07-12,32974
2015-07-13,32016
2015-07-14,32016
2015-07-15,30628
2015-07-16,30628
2015-07-17,29505
2015-07-18,29505
2015-07-19,28849
2015-07-20,28849
2015-07-21,28841
2015-07-22,28337
