date_obj,Uncut%20jade price
2015-03-04,1739
2015-03-05,1739
2015-03-06,1654
2015-03-07,1654
2015-03-08,1573
2015-03-09,1573
2015-03-10,1573
2015-03-11,1497
2015-03-12,1497
2015-03-13,1497
2015-03-14,1425
2015-03-15,1425
2015-03-16,1425
2015-03-17,1354
2015-03-18,1354
2015-03-19,1354
2015-03-20,1288
2015-03-21,1288
2015-03-22,1226
2015-03-23,1226
2015-03-24,1226
2015-03-25,1165
2015-03-26,1165
2015-03-27,1165
2015-03-28,1107
2015-03-29,1107
2015-03-30,1052
2015-03-31,1052
2015-04-01,1052
2015-04-02,1001
2015-04-03,1001
2015-04-04,954
2015-04-05,954
2015-04-06,954
2015-04-07,906
2015-04-08,906
2015-04-09,906
2015-04-10,860
2015-04-11,860
2015-04-12,820
2015-04-13,820
2015-04-14,820
2015-04-15,781
2015-04-16,781
2015-04-17,781
2015-04-18,741
2015-04-19,741
2015-04-20,741
2015-04-21,703
2015-04-22,703
2015-04-23,703
2015-04-24,668
2015-04-25,668
2015-04-26,668
2015-04-27,634
2015-04-28,634
2015-04-29,634
2015-04-30,603
2015-05-01,603
2015-05-02,573
2015-05-03,573
2015-05-04,573
2015-05-05,544
2015-05-06,544
2015-05-07,544
2015-05-08,516
2015-05-09,516
2015-05-10,516
2015-05-11,495
2015-05-12,495
2015-05-13,495
2015-05-14,471
2015-05-15,471
2015-05-16,471
2015-05-17,467
2015-05-18,467
2015-05-19,467
2015-05-20,467
2015-05-21,467
2015-05-22,459
2015-05-23,459
2015-05-24,459
2015-05-25,479
2015-05-26,479
2015-05-27,479
2015-05-28,500
2015-05-29,500
2015-05-30,503
2015-05-31,503
2015-06-01,526
2015-06-02,526
2015-06-03,526
2015-06-04,547
2015-06-05,547
2015-06-06,573
2015-06-07,573
2015-06-08,573
2015-06-09,586
2015-06-10,586
2015-06-11,608
2015-06-12,608
2015-06-13,627
2015-06-14,627
2015-06-15,627
2015-06-16,627
2015-06-17,627
2015-06-18,655
2015-06-19,655
2015-06-20,655
2015-06-21,649
2015-06-22,649
2015-06-23,616
2015-06-24,616
2015-06-25,616
2015-06-26,585
2015-06-27,585
2015-06-28,555
2015-06-29,555
2015-06-30,555
2015-07-01,527
2015-07-02,527
2015-07-03,527
2015-07-04,500
2015-07-05,500
2015-07-06,500
2015-07-07,480
2015-07-08,480
2015-07-09,480
2015-07-10,458
2015-07-11,458
2015-07-12,458
2015-07-13,458
2015-07-14,435
2015-07-15,435
2015-07-16,435
2015-07-17,414
2015-07-18,414
2015-07-19,414
2015-07-20,394
2015-07-21,394
2015-07-22,396
2015-07-23,396
2015-07-24,396
2015-07-25,393
2015-07-26,393
2015-07-27,393
2015-07-28,400
2015-07-29,400
2015-07-30,392
2015-07-31,392
2015-08-01,392
2015-08-02,412
2015-08-03,412
2015-08-04,412
2015-08-05,413
2015-08-06,413
