date_obj,Dark%20tuxedo%20cuffs price
2016-07-06,1000000
2016-07-07,1000000
2016-07-08,1000000
2016-07-09,1000000
2016-07-10,1000000
2016-07-11,1000000
2016-07-12,1000000
2016-07-13,1000000
2016-07-14,1000000
2016-07-15,1000000
2016-07-16,1000000
2016-07-17,1000000
2016-07-18,1000000
2016-07-23,1000000
2016-07-24,1000000
2016-07-25,1000000
2016-07-26,1000000
2016-07-27,1000000
2016-07-28,1000000
2016-07-29,1000000
2016-07-30,1000000
2016-07-31,1000000
2016-08-01,1000000
2016-08-02,1000000
2016-08-03,1000000
2016-08-04,1000000
2016-08-05,1000000
2016-08-06,1000000
2016-08-07,1000000
2016-08-08,1000000
2016-08-09,1000000
2016-08-10,1000000
2016-08-11,1000000
2016-08-12,1000000
2016-08-13,1000000
2016-08-14,1000000
2016-08-15,1000000
2016-08-16,1000000
2016-08-17,1000000
2016-08-18,1000000
2016-08-19,1000000
2016-08-20,1000000
2016-08-21,1000000
2016-08-22,1000000
2016-08-23,1000000
2016-08-24,1000000
2016-08-25,1000000
2016-08-26,1000000
2016-08-28,1000000
2016-08-31,1000000
2016-09-01,1000000
2016-09-02,1000000
2016-09-03,1000000
2016-09-04,1000000
2016-09-05,1000000
2016-09-06,1000000
2016-09-07,1000000
2016-09-08,1010123
2016-09-09,1010123
2016-09-10,1010123
2016-09-11,1010123
2016-09-12,1010123
2016-09-13,1010123
2016-09-14,1010123
2016-09-15,1010123
2016-09-16,1010123
2016-09-17,1010123
2016-09-18,1010123
2016-09-19,1010123
2016-09-20,1010123
2016-09-21,1010123
2016-09-22,1010123
2016-09-23,1010123
2016-09-24,1010123
2016-09-25,1010123
2016-09-26,1010123
2016-09-27,1010123
2016-09-28,1010123
2016-09-29,1010123
2016-09-30,1010123
2016-10-01,1010123
2016-10-02,1010123
2016-10-03,1010123
2016-10-04,1010123
2016-10-05,1010123
2016-10-06,1010123
2016-10-07,1010123
2016-10-08,1010123
2016-10-09,1010123
2016-10-10,1010123
2016-10-11,1010123
2016-10-12,1010123
2016-10-13,1010123
2016-10-14,1010123
2016-10-15,1010123
2016-10-16,1010123
2016-10-17,1010123
2016-10-18,1010123
2016-10-19,1010123
2016-10-20,1010123
2016-10-21,1010123
2016-10-22,1010123
2016-10-23,1010123
2016-10-24,1010123
2016-10-25,1010123
2016-10-26,1010123
2016-10-27,1010123
2016-10-28,1010123
2016-10-29,1010123
2016-10-30,1010123
2016-10-31,1010123
2016-11-01,1010123
2016-11-02,1010123
2016-11-03,1010123
2016-11-04,1010123
2016-11-05,1010123
2016-11-06,1010123
2016-11-07,1010123
2016-11-08,1010123
2016-11-09,1010123
2016-11-10,1010123
2016-11-11,1010123
2016-11-12,1010123
2016-11-13,1010123
2016-11-14,1010123
2016-11-15,1010123
2016-12-07,979062
2016-12-08,979062
2016-12-09,979062
2016-12-10,979062
2016-12-11,979062
2016-12-12,979062
2016-12-13,979062
2016-12-14,979062
2016-12-15,979062
2016-12-16,979062
2016-12-17,979062
2016-12-18,979062
2016-12-19,979062
2016-12-20,979062
2016-12-21,979062
2016-12-22,979062
2016-12-23,979062
2016-12-24,979062
2016-12-25,979062
2016-12-26,979062
2016-12-27,979062
2016-12-28,979062
2016-12-29,979062
2016-12-30,979062
2016-12-31,979062
2017-01-01,979062
2017-01-02,979062
2017-01-03,979062
2017-01-04,979062
2017-01-05,979062
2017-01-06,979062
2017-01-07,979062
2017-01-08,979062
2017-01-09,979062
2017-01-10,979062
2017-01-11,979062
2017-01-12,979062
2017-01-13,979062
2017-01-14,979062
2017-01-15,979062
2017-01-16,979062
2017-01-17,979062
2017-01-18,979062
2017-01-19,979062
2017-01-20,979062
2017-01-21,979062
2017-01-22,979062
2017-01-23,979062
2017-01-27,979062
2017-01-28,932502
2017-01-29,932502
2017-01-30,932502
2017-01-31,932502
2017-02-01,932502
2017-02-02,932502
2017-02-03,932502
2017-02-04,932502
2017-02-05,932502
2017-02-06,932502
2017-02-07,932502
2017-02-08,932502
2017-02-09,932502
2017-02-10,932502
2017-02-11,932502
2017-02-12,932502
2017-02-13,932502
2017-02-14,932502
2017-02-15,932502
2017-02-16,932502
2017-02-18,932502
2017-02-19,932502
2017-02-20,932502
2017-02-21,932502
2017-02-22,932502
2017-02-23,932502
2017-02-24,932502
2017-02-25,932502
2017-02-26,932502
2017-02-27,932502
2017-02-28,932502
2017-03-01,932502
2017-03-02,932502
2017-03-03,932502
2017-03-04,932502
2017-03-05,932502
2017-03-06,932502
2017-03-07,932502
2017-03-09,932502
2017-03-10,932502
2017-03-11,932502
2017-03-12,932502
2017-03-13,932502
2017-03-14,932502
2017-03-15,932502
2017-03-16,932502
2017-03-17,932502
2017-03-18,932502
2017-03-19,932502
2017-03-20,932502
2017-03-21,932502
2017-03-22,932502
2017-03-23,932502
2017-03-24,932502
2017-03-25,932502
2017-03-26,932502
2017-03-27,932502
2017-03-28,932502
2017-03-29,890737
2017-03-30,890737
