date_obj,Mithril%20halberd price
2015-03-26,62000
2015-03-27,62000
2015-03-28,62000
2015-03-29,62000
2015-03-30,62000
2015-03-31,62000
2015-04-01,62000
2015-04-02,62000
2015-04-03,62000
2015-04-04,62000
2015-04-05,62000
2015-04-06,62000
2015-04-07,62000
2015-04-08,62000
2015-04-09,62000
2015-04-10,62000
2015-04-11,62000
2015-04-12,62000
2015-04-13,62000
2015-04-14,62000
2015-04-15,62000
2015-04-16,62000
2015-04-17,62000
2015-04-18,62000
2015-04-19,62000
2015-04-20,62000
2015-04-21,62000
2015-04-22,62000
2015-04-23,62000
2015-04-24,62000
2015-04-25,62000
2015-04-26,62000
2015-04-27,62000
2015-04-28,62000
2015-04-29,62000
2015-04-30,62000
2015-05-01,62000
2015-05-02,62000
2015-05-03,62000
2015-05-04,62000
2015-05-05,62000
2015-05-06,62000
2015-05-07,62000
2015-05-08,62000
2015-05-09,62000
2015-05-10,62000
2015-05-11,62000
2015-05-12,62000
2015-05-13,62000
2015-05-14,62000
2015-05-15,62000
2015-05-16,62000
2015-05-17,62000
2015-05-18,62000
2015-05-19,58964
2015-05-20,58964
2015-05-21,58964
2015-05-22,58964
2015-05-23,58964
2015-05-24,58964
2015-05-25,58964
2015-05-26,58964
2015-05-27,58964
2015-05-28,58964
2015-05-29,58964
2015-05-30,58964
2015-05-31,58964
2015-06-01,58964
2015-06-02,58964
2015-06-03,58964
2015-06-04,58964
2015-06-05,58964
2015-06-06,58964
2015-06-07,58964
2015-06-08,58964
2015-06-09,58964
2015-06-10,58964
2015-06-11,58964
2015-06-12,58964
2015-06-13,58964
2015-06-14,58964
2015-06-15,58964
2015-06-16,58964
2015-06-17,58964
2015-06-18,58964
2015-06-19,58964
2015-06-20,58964
2015-06-21,58964
2015-06-22,58964
2015-06-23,58964
2015-06-24,58964
2015-06-25,58964
2015-06-26,58964
2015-06-27,58964
2015-06-28,58964
2015-06-29,58964
2015-06-30,58964
2015-07-01,58964
2015-07-02,58964
2015-07-03,58964
2015-07-04,58964
2015-07-05,58964
2015-07-06,58964
2015-07-07,58964
2015-07-08,58964
2015-07-09,58964
2015-07-10,58964
2015-07-11,58964
2015-07-12,58964
2015-07-13,58964
2015-07-14,58964
2015-07-15,58964
2015-07-16,58964
2015-07-17,58964
2015-07-18,58964
2015-07-19,58964
2015-07-20,58964
2015-07-21,58964
2015-07-22,58964
2015-07-23,58964
2015-07-24,58964
2015-07-25,58964
2015-07-26,58964
2015-07-27,58964
2015-07-28,58964
2015-07-29,56029
2015-07-30,56029
2015-07-31,56029
2015-08-01,56029
2015-08-02,56029
2015-08-03,56029
2015-08-04,56029
2015-08-05,56029
2015-08-06,56029
2015-08-07,56029
2015-08-08,56029
2015-08-09,56029
2015-08-10,56029
2015-08-11,56029
2015-08-12,56029
2015-08-13,56029
2015-08-14,56029
2015-08-15,56029
2015-08-16,56029
2015-08-17,56029
2015-08-18,56029
2015-08-19,56029
2015-08-20,56029
2015-08-21,56029
2015-08-22,56029
2015-08-23,56029
2015-08-24,56029
2015-08-25,56029
2015-08-26,56029
2015-08-27,56029
2015-08-28,56029
2015-08-29,56029
2015-08-30,56029
2015-08-31,56029
2015-09-01,56029
2015-09-02,56029
2015-09-03,56029
2015-09-04,56029
2015-09-05,56029
2015-09-06,56029
2015-09-07,56029
2015-09-08,56029
2015-09-09,56029
2015-09-10,56029
2015-09-11,56029
2015-09-12,56029
2015-09-13,56029
2015-09-14,56029
2015-09-15,56029
2015-09-16,56029
2015-09-17,56029
2015-09-18,56029
2015-09-19,56029
2015-09-20,56029
2015-09-21,56029
2015-09-22,56029
2015-09-23,56029
2015-09-24,56029
2015-09-25,56029
2015-09-27,56029
2015-09-28,56029
2015-09-29,56029
2015-09-30,56029
2015-10-05,56029
2015-10-06,56029
2015-10-07,56029
2015-10-08,56029
2015-10-09,56029
2015-10-10,56029
2015-10-11,56029
2015-10-12,56029
2015-10-13,56029
2015-10-14,56029
2015-10-15,53270
2015-10-16,53270
2015-10-17,53270
2015-10-18,53270
2015-10-19,53270
2015-10-20,53270
2015-10-22,53270
2015-10-23,53270
2015-10-24,53270
2015-10-25,53270
2015-10-26,53270
2015-10-27,53270
2015-10-29,53270
2015-10-30,53270
2015-10-31,53270
2015-11-01,53270
2015-11-02,53270
2015-11-03,53270
2015-11-04,53270
2015-11-05,53270
2015-11-06,53270
2015-11-07,53270
2015-11-08,53270
2015-11-09,53270
2015-11-10,53270
2015-11-11,53270
2015-11-12,53270
2015-11-13,53270
2015-11-14,53270
2015-11-15,53270
2015-11-16,53270
2015-11-17,53270
2015-11-18,53270
2015-11-19,53270
2015-11-20,53270
2015-11-21,53270
2015-11-22,53270
2015-11-23,53270
2015-11-24,53270
2015-11-25,53270
2015-11-26,53270
2015-11-27,53270
2015-11-28,53270
2015-11-29,53270
2015-11-30,53270
2015-12-01,53270
2015-12-02,53270
2015-12-03,53270
2015-12-04,53270
2015-12-05,53270
2015-12-06,53270
2015-12-07,53270
2015-12-08,53270
