date_obj,Archers%20ring price
2015-03-26,3603798
2015-03-27,3603798
2015-03-28,3593285
2015-03-29,3554174
2015-03-30,3531218
2015-03-31,3516752
2015-04-01,3536829
2015-04-02,3626577
2015-04-03,3671158
2015-04-04,3615774
2015-04-05,3615303
2015-04-06,3555911
2015-04-07,3451118
2015-04-08,3434761
2015-04-09,3388234
2015-04-10,3455805
2015-04-11,3439061
2015-04-12,3428699
2015-04-13,3399404
2015-04-14,3476552
2015-04-15,3503720
2015-04-16,3527984
2015-04-17,3556207
2015-04-18,3596630
2015-04-19,3620595
2015-04-20,3588751
2015-04-21,3563343
2015-04-22,3605078
2015-04-23,3609634
2015-04-24,3653246
2015-04-25,3685990
2015-04-26,3702448
2015-04-27,3692445
2015-04-28,3654083
2015-04-29,3622447
2015-04-30,3630059
2015-05-01,3648218
2015-05-02,3694017
2015-05-03,3696950
2015-05-04,3690028
2015-05-05,3672719
2015-05-06,3626544
2015-05-07,3590483
2015-05-08,3611245
2015-05-09,3648270
2015-05-10,3630426
2015-05-11,3621869
2015-05-12,3591145
2015-05-13,3568744
2015-05-14,3546857
2015-05-15,3547593
2015-05-16,3576659
2015-05-17,3565447
2015-05-18,3602425
2015-05-19,3633822
2015-05-20,3701733
2015-05-21,3676215
2015-05-22,3630687
2015-05-23,3644697
2015-05-24,3703033
2015-05-25,3674500
2015-05-26,3628147
2015-05-27,3605054
2015-05-28,3639083
2015-05-29,3646840
2015-05-30,3638273
2015-05-31,3631101
2015-06-01,3629389
2015-06-02,3656160
2015-06-03,3634994
2015-06-04,3634985
2015-06-05,3647245
2015-06-06,3641887
2015-06-07,3633738
2015-06-08,3628676
2015-06-09,3628989
2015-06-10,3601442
2015-06-11,3575526
2015-06-12,3540981
2015-06-13,3521280
2015-06-14,3425066
2015-06-15,3289342
2015-06-16,3282543
2015-06-17,3283171
2015-06-18,3219432
2015-06-19,3188880
2015-06-20,3215917
2015-06-21,3203357
2015-06-22,3069861
