date_obj,Earth%20talisman price
2016-03-20,250
2016-03-21,241
2016-03-22,241
2016-03-23,232
2016-03-24,227
2016-03-25,233
2016-03-26,236
2016-03-27,247
2016-03-28,257
2016-03-29,269
2016-03-30,269
2016-03-31,279
2016-04-01,286
2016-04-02,276
2016-04-03,274
2016-04-04,261
2016-04-05,258
2016-04-06,267
2016-04-07,265
2016-04-08,270
2016-04-09,265
2016-04-10,268
2016-04-11,268
2016-04-12,268
2016-04-13,257
2016-04-14,258
2016-04-15,259
2016-04-16,260
2016-04-17,262
2016-04-18,270
2016-04-19,273
2016-04-20,277
2016-04-21,270
2016-04-22,270
2016-04-23,278
2016-04-24,285
2016-04-25,288
2016-04-26,294
2016-04-27,304
2016-04-28,315
2016-04-29,319
2016-04-30,322
2016-05-01,339
2016-05-02,346
2016-05-03,355
2016-05-04,349
2016-05-05,351
2016-05-06,351
2016-05-07,357
2016-05-08,364
2016-05-09,372
2016-05-10,356
2016-05-11,339
2016-05-12,322
2016-05-13,310
2016-05-14,299
2016-05-15,288
2016-05-16,279
2016-05-17,270
2016-05-18,261
2016-05-19,272
2016-05-22,296
2016-05-23,285
2016-05-24,291
2016-05-25,302
2016-05-26,306
2016-05-27,312
2016-05-28,312
2016-05-29,313
2016-05-30,313
2016-05-31,301
2016-06-01,294
2016-06-02,296
2016-06-03,283
2016-06-04,279
2016-06-05,277
2016-06-06,275
2016-06-07,275
2016-06-08,277
2016-06-09,282
2016-06-10,281
2016-06-11,274
2016-06-12,270
2016-06-13,263
2016-06-14,263
2016-06-15,259
2016-06-16,254
2016-06-17,255
2016-06-18,260
2016-06-19,263
2016-06-20,264
2016-06-21,268
2016-06-22,267
2016-06-23,268
2016-06-24,266
2016-06-25,267
2016-06-26,265
2016-06-27,261
2016-06-28,254
2016-06-29,248
2016-06-30,235
2016-07-01,228
2016-07-02,228
2016-07-03,225
2016-07-04,224
2016-07-05,228
2016-07-06,232
2016-07-07,237
2016-07-08,235
2016-07-09,237
2016-07-10,237
2016-07-11,239
2016-07-12,233
2016-07-13,229
2016-07-14,236
2016-07-15,242
2016-07-16,235
2016-07-17,227
2016-07-18,233
2016-07-23,240
2016-07-24,235
2016-07-25,231
2016-07-26,225
2016-07-27,214
2016-07-28,212
2016-07-29,215
2016-07-30,213
2016-07-31,213
2016-08-01,212
2016-08-02,214
2016-08-03,208
2016-08-04,206
2016-08-05,206
2016-08-06,211
2016-08-07,211
2016-08-08,211
2016-08-09,209
2016-08-10,211
2016-08-11,204
2016-08-12,206
2016-08-13,203
2016-08-14,205
2016-08-15,211
2016-08-16,219
2016-08-17,223
2016-08-18,223
2016-08-19,219
2016-08-20,221
2016-08-21,223
2016-08-22,214
2016-08-23,208
2016-08-24,206
2016-08-25,208
2016-08-26,208
2016-08-28,211
2016-08-31,220
2016-09-01,226
2016-09-02,226
2016-09-03,230
2016-09-04,241
2016-09-05,250
2016-09-06,258
2016-09-07,258
2016-09-08,262
2016-09-09,262
2016-09-10,268
2016-09-11,268
2016-09-12,261
2016-09-13,256
2016-09-14,256
2016-09-15,255
2016-09-16,255
2016-09-17,254
2016-09-18,256
2016-09-19,251
2016-09-20,251
2016-09-21,246
2016-09-22,245
2016-09-23,234
2016-09-24,234
2016-09-25,228
2016-09-26,228
2016-09-27,230
2016-09-28,225
2016-09-29,225
2016-09-30,226
2016-10-01,225
2016-10-02,225
2016-10-03,220
2016-10-04,219
2016-10-05,220
2016-10-06,219
2016-10-07,219
2016-10-08,213
2016-10-09,213
2016-10-10,214
2016-10-11,215
2016-10-12,222
2016-10-13,221
2016-10-14,217
2016-10-15,220
2016-10-16,226
2016-10-17,234
2016-10-18,246
2016-10-19,255
2016-10-20,256
2016-10-21,263
2016-10-22,263
2016-10-23,266
2016-10-24,267
2016-10-25,267
2016-10-26,261
2016-10-27,261
2016-10-28,267
2016-10-29,255
2016-10-30,264
2016-10-31,275
2016-11-01,275
2016-11-02,275
2016-11-03,275
2016-11-04,266
2016-11-05,266
2016-11-06,260
2016-11-07,259
2016-11-08,259
2016-11-09,258
2016-11-10,264
2016-11-11,261
2016-11-12,261
2016-11-13,264
2016-11-14,261
2016-11-15,255
2016-12-07,237
2016-12-08,233
2016-12-09,228
2016-12-10,227
2016-12-11,223
2016-12-12,222
2016-12-13,213
2016-12-14,210
2016-12-15,210
2016-12-16,212
2016-12-17,205
2016-12-18,206
2016-12-19,203
2016-12-20,203
2016-12-21,204
2016-12-22,205
2016-12-23,202
2016-12-24,202
2016-12-25,206
2016-12-26,200
2016-12-27,208
2016-12-28,214
2016-12-29,220
2016-12-30,225
2016-12-31,220
2017-01-01,217
2017-01-02,217
2017-01-03,207
2017-01-04,197
2017-01-05,188
2017-01-06,189
2017-01-07,195
2017-01-08,195
2017-01-09,196
2017-01-10,197
2017-01-11,204
2017-01-12,206
2017-01-13,209
2017-01-14,210
2017-01-15,204
2017-01-16,203
2017-01-17,204
2017-01-18,194
2017-01-19,199
2017-01-20,195
2017-01-21,190
2017-01-22,185
2017-01-23,180
2017-01-27,184
2017-01-28,185
2017-01-29,182
2017-01-30,177
2017-01-31,177
2017-02-01,174
2017-02-02,176
2017-02-03,175
2017-02-04,176
2017-02-05,180
2017-02-06,184
2017-02-07,188
2017-02-08,185
2017-02-09,185
2017-02-10,184
2017-02-11,189
2017-02-12,195
2017-02-13,199
2017-02-14,196
2017-02-15,195
2017-02-16,191
2017-02-18,188
2017-02-19,187
2017-02-20,191
2017-02-21,190
2017-02-22,185
2017-02-23,183
2017-02-24,189
2017-02-25,199
2017-02-26,203
2017-02-27,211
2017-02-28,214
2017-03-01,209
2017-03-02,198
2017-03-03,190
2017-03-04,191
2017-03-05,184
2017-03-06,180
2017-03-07,179
2017-03-08,178
2017-03-09,182
2017-03-10,182
2017-03-11,186
2017-03-12,188
2017-03-13,186
2017-03-14,185
2017-03-15,180
2017-03-16,172
2017-03-17,169
2017-03-18,164
2017-03-19,167
2017-03-20,174
2017-03-21,182
2017-03-22,191
2017-03-23,196
2017-03-24,196
2017-03-25,196
2017-03-26,195
2017-03-27,192
2017-03-28,193
2017-03-29,196
2017-03-30,202
2017-03-31,200
2017-04-01,200
2017-04-02,201
2017-04-03,204
2017-04-04,195
2017-04-12,196
2017-04-13,194
2017-04-14,198
2017-04-15,198
2017-04-16,193
2017-04-17,198
2017-04-18,198
2017-04-19,194
2017-04-20,196
2017-04-21,198
2017-04-22,201
2017-04-23,202
