date_obj,Avantoe%20potion%20(unf) price
2015-03-26,2103
2015-03-27,2103
2015-03-28,2103
2015-03-29,2173
2015-03-30,2173
2015-03-31,2173
2015-04-01,2173
2015-04-02,2173
2015-04-03,2271
2015-04-04,2271
2015-04-05,2271
2015-04-06,2271
2015-04-07,2373
2015-04-08,2373
2015-04-09,2373
2015-04-10,2373
2015-04-11,2373
2015-04-12,2488
2015-04-13,2488
2015-04-14,2488
2015-04-15,2488
2015-04-16,2488
2015-04-17,2603
2015-04-18,2603
2015-04-19,2603
2015-04-20,2603
2015-04-21,2603
2015-04-22,2603
2015-04-23,2728
2015-04-24,2728
2015-04-25,2728
2015-04-26,2728
2015-04-27,2728
2015-04-28,2728
2015-04-29,2761
2015-04-30,2761
2015-05-01,2761
2015-05-02,2761
2015-05-03,2761
2015-05-04,2744
2015-05-05,2744
2015-05-06,2744
2015-05-07,2744
2015-05-08,2744
2015-05-09,2674
2015-05-10,2674
2015-05-11,2674
2015-05-12,2674
2015-05-13,2674
2015-05-14,2590
2015-05-15,2590
2015-05-16,2590
2015-05-17,2590
2015-05-18,2590
2015-05-19,2590
2015-05-20,2589
2015-05-21,2589
2015-05-22,2589
2015-05-23,2589
2015-05-24,2589
2015-05-25,2644
2015-05-26,2644
2015-05-27,2644
2015-05-28,2644
2015-05-29,2721
2015-05-30,2721
2015-05-31,2721
2015-06-01,2847
2015-06-02,2847
2015-06-03,2847
2015-06-04,2847
2015-06-05,2894
2015-06-06,2894
2015-06-07,2894
2015-06-08,2894
2015-06-09,2824
2015-06-10,2824
2015-06-11,2824
2015-06-12,2824
2015-06-13,2693
2015-06-14,2693
2015-06-15,2693
2015-06-16,2693
2015-06-17,2600
2015-06-18,2600
2015-06-19,2600
2015-06-20,2600
2015-06-21,2471
2015-06-22,2471
2015-06-23,2471
2015-06-24,2471
2015-06-25,2375
2015-06-26,2375
2015-06-27,2375
2015-06-28,2375
2015-06-29,2263
2015-06-30,2263
2015-07-01,2263
2015-07-02,2263
2015-07-03,2156
2015-07-04,2156
2015-07-05,2156
2015-07-06,2156
2015-07-07,2050
2015-07-08,2050
2015-07-09,2050
2015-07-10,2050
2015-07-11,2076
2015-07-12,2076
2015-07-13,2076
2015-07-14,2076
2015-07-15,2031
2015-07-16,2031
2015-07-17,2031
2015-07-18,2031
2015-07-19,2031
2015-07-20,1933
2015-07-21,1933
2015-07-22,1933
2015-07-23,1933
2015-07-24,1848
2015-07-25,1848
2015-07-26,1848
2015-07-27,1848
2015-07-28,1807
2015-07-29,1807
2015-07-30,1807
2015-07-31,1807
2015-08-01,1818
2015-08-02,1818
2015-08-03,1818
2015-08-04,1753
2015-08-05,1753
2015-08-06,1753
2015-08-07,1766
2015-08-08,1766
