date_obj,Saradomin%20bracers price
2015-03-26,33828
2015-03-27,33828
2015-03-28,33105
2015-03-29,31582
2015-03-30,30389
2015-03-31,29387
2015-04-01,28777
2015-04-02,28605
2015-04-03,28335
2015-04-04,28258
2015-04-05,27576
2015-04-06,27133
2015-04-07,27074
2015-04-08,28073
2015-04-09,29266
2015-04-10,30618
2015-04-11,32025
2015-04-12,33541
2015-04-13,35155
2015-04-14,36007
2015-04-15,35768
2015-04-16,35562
2015-04-17,34158
2015-04-18,32826
2015-04-19,31484
2015-04-20,31323
2015-04-21,30836
2015-04-22,30640
2015-04-23,30403
2015-04-24,30566
2015-04-25,30821
2015-04-26,32008
2015-04-27,33100
2015-04-28,32772
2015-04-29,32772
2015-04-30,33104
2015-05-01,34260
2015-05-02,35757
2015-05-03,35908
2015-05-04,36746
2015-05-05,37345
2015-05-06,37012
2015-05-07,35706
2015-05-08,34944
2015-05-09,33472
2015-05-10,32135
2015-05-11,30833
2015-05-12,29866
2015-05-13,28750
2015-05-14,28592
2015-05-15,28014
2015-05-16,27832
2015-05-17,27841
2015-05-18,28688
2015-05-19,29422
2015-05-20,29359
2015-05-21,28762
2015-05-22,28431
2015-05-23,28621
2015-05-24,29547
2015-05-25,29694
2015-05-26,29641
2015-05-27,29083
2015-05-28,28704
2015-05-29,28439
2015-05-30,28702
2015-05-31,29289
2015-06-01,29142
2015-06-02,28823
2015-06-03,28946
2015-06-04,28726
2015-06-05,29156
2015-06-06,29310
2015-06-07,29205
2015-06-08,29351
2015-06-09,30564
2015-06-10,31713
2015-06-11,32360
2015-06-12,33636
2015-06-13,33645
2015-06-14,33161
2015-06-15,32421
2015-06-16,32584
2015-06-17,33123
2015-06-18,32663
2015-06-19,32151
2015-06-20,32708
2015-06-21,32957
2015-06-22,34242
2015-06-23,35257
2015-06-24,36054
2015-06-25,37688
2015-06-26,37999
2015-06-27,38757
2015-06-28,40002
2015-06-29,40776
2015-06-30,41377
2015-07-01,42924
2015-07-02,42924
2015-07-03,43457
2015-07-04,43555
2015-07-05,43595
2015-07-06,45030
2015-07-07,45909
2015-07-08,47731
2015-07-09,49262
2015-07-10,48930
2015-07-11,49018
2015-07-12,49413
2015-07-13,49656
2015-07-14,49705
2015-07-15,48473
2015-07-16,46571
2015-07-17,44473
2015-07-18,43926
2015-07-19,42243
2015-07-20,41215
2015-07-21,40590
2015-07-22,39824
2015-07-23,39138
2015-07-24,38751
2015-07-25,38802
2015-07-26,38083
2015-07-27,37572
2015-07-28,37654
2015-07-29,38342
2015-07-30,38995
2015-07-31,38707
2015-08-01,37560
2015-08-02,37329
2015-08-03,37287
2015-08-04,37078
2015-08-05,37562
2015-08-06,38204
2015-08-07,39161
2015-08-08,40089
2015-08-09,40284
2015-08-10,41707
2015-08-11,41968
2015-08-12,42214
2015-08-13,42342
2015-08-14,42059
2015-08-15,42438
2015-08-16,41707
2015-08-17,41311
2015-08-18,39812
2015-08-19,39288
2015-08-20,39073
2015-08-21,39240
2015-08-22,39426
2015-08-23,39932
2015-08-24,40113
2015-08-25,40805
2015-08-26,40713
2015-08-27,41164
2015-08-28,40975
2015-08-29,40852
2015-08-30,40879
2015-08-31,40198
2015-09-01,40342
2015-09-02,40989
2015-09-03,41022
2015-09-04,40796
2015-09-05,40560
2015-09-06,40775
2015-09-07,40659
2015-09-08,40569
2015-09-09,39904
2015-09-10,40110
2015-09-11,39557
2015-09-12,38319
2015-09-13,37445
2015-09-14,37121
2015-09-15,36412
2015-09-16,35330
2015-09-17,34446
2015-09-18,34445
2015-09-19,34458
2015-09-20,34888
2015-09-21,34891
2015-09-22,33689
2015-09-23,32672
2015-09-24,32161
2015-09-25,31778
2015-09-27,31612
2015-09-28,31563
2015-09-29,31898
2015-09-30,31927
2015-10-05,33653
2015-10-06,34164
2015-10-07,35264
2015-10-08,36073
2015-10-09,35449
2015-10-10,35012
2015-10-11,35166
2015-10-12,34116
2015-10-13,33366
2015-10-14,32636
2015-10-15,32282
2015-10-16,32027
2015-10-17,31534
2015-10-18,31187
2015-10-19,30952
2015-10-20,30387
2015-10-22,29528
2015-10-23,29751
2015-10-24,30210
2015-10-25,29787
