date_obj,Dragon%20bolts price
2018-01-03,313
2018-01-04,329
2018-01-05,346
2018-01-06,364
2018-01-07,383
2018-01-08,403
2018-01-09,424
2018-01-10,446
2018-01-11,469
2018-01-12,493
2018-01-13,518
2018-01-14,544
2018-01-15,572
2018-01-16,601
2018-01-17,632
2018-01-18,664
2018-01-19,664
2018-01-20,681
2018-01-21,681
2018-01-22,680
2018-01-23,698
2018-01-25,766
2018-01-26,775
2018-01-27,771
2018-01-28,786
2018-01-29,791
2018-01-30,784
2018-01-31,771
2018-02-01,771
2018-02-02,774
2018-02-03,789
2018-02-04,799
2018-02-05,799
2018-02-06,800
2018-02-07,815
2018-02-08,815
2018-02-09,813
2018-02-10,813
2018-02-11,816
2018-02-12,825
2018-02-13,843
2018-02-14,886
2018-02-15,931
2018-02-16,978
2018-02-17,1027
2018-02-18,1079
2018-02-19,1133
2018-02-20,1188
2018-02-21,1248
2018-02-22,1310
2018-02-23,1376
2018-02-24,1376
2018-02-25,1445
2018-02-26,1517
2018-02-27,1593
2018-02-28,1593
2018-03-01,1673
2018-03-02,1757
2018-03-03,1845
2018-03-04,1845
2018-03-05,1938
2018-03-06,2032
2018-03-07,2085
2018-03-08,2085
2018-03-09,2036
2018-03-10,2036
2018-03-11,1984
2018-03-12,1913
2018-03-13,1829
2018-03-14,1738
2018-03-15,1655
2018-03-16,1655
2018-03-17,1572
2018-03-18,1572
2018-03-20,1542
2018-03-21,1542
2018-03-23,1620
2018-03-24,1698
2018-03-25,1745
2018-03-26,1745
2018-03-27,1687
2018-03-28,1687
2018-03-29,1701
2018-03-30,1701
2018-03-31,1756
2018-04-01,1756
2018-04-02,1828
2018-04-03,1828
2018-04-04,1919
2018-04-05,1919
2018-04-06,1984
2018-04-07,1984
2018-04-08,1898
2018-04-09,1898
2018-04-10,1941
2018-04-11,1941
2018-04-12,1973
2018-04-13,1973
2018-04-14,1973
2018-04-15,1961
2018-04-16,1961
2018-04-17,1986
2018-04-18,1986
2018-04-19,1986
2018-04-20,1986
2018-04-21,1991
2018-04-22,1991
2018-04-23,1985
2018-04-24,1985
2018-04-25,1985
2018-04-26,1985
2018-04-27,1985
2018-04-28,1985
2018-04-29,1978
2018-04-30,1978
2018-05-01,2006
2018-05-03,1995
2018-05-04,1995
2018-05-05,2003
2018-05-07,2042
2018-05-08,2042
2018-05-09,2063
2018-05-10,2063
2018-05-11,2148
2018-05-12,2159
2018-05-13,2159
2018-05-14,2092
2018-05-15,2092
2018-05-16,2011
2018-05-17,2011
2018-05-18,2051
2018-05-19,2051
2018-05-20,2065
2018-05-21,2073
2018-05-22,2073
2018-05-23,2078
2018-05-24,2078
2018-05-25,2078
2018-05-26,2080
2018-05-27,2080
2018-05-28,2076
2018-05-29,2076
2018-05-30,2043
2018-05-31,2043
2018-06-01,2010
2018-06-02,2011
2018-06-03,2011
2018-06-04,2023
2018-06-05,2023
2018-06-06,2021
2018-06-07,2021
2018-06-08,1930
2018-06-09,1930
2018-06-10,1833
2018-06-11,1833
2018-06-12,1741
2018-06-13,1656
2018-06-14,1584
2018-06-15,1584
2018-06-16,1540
2018-06-17,1540
2018-06-18,1528
2018-06-19,1528
2018-06-20,1516
2018-06-21,1516
2018-06-22,1521
2018-06-23,1521
2018-06-24,1527
2018-06-25,1527
2018-06-26,1538
2018-06-27,1538
2018-06-28,1534
2018-06-29,1534
2018-06-30,1531
2018-07-01,1531
2018-07-02,1524
2018-07-03,1524
2018-07-04,1537
2018-07-05,1537
2018-07-06,1529
2018-07-07,1529
2018-07-08,1530
2018-07-09,1530
2018-07-10,1535
2018-07-11,1535
2018-07-12,1535
2018-07-13,1514
2018-07-14,1553
2018-07-15,1553
2018-07-16,1558
2018-07-17,1544
2018-07-18,1544
2018-07-19,1536
2018-07-20,1536
2018-07-21,1536
2018-07-22,1536
2018-07-23,1527
2018-07-24,1527
2018-07-25,1531
2018-07-26,1531
2018-07-27,1530
2018-07-28,1530
2018-07-29,1533
2018-07-30,1533
2018-07-31,1524
2018-08-01,1524
2018-08-02,1519
2018-08-03,1519
2018-08-04,1536
2018-08-05,1536
2018-08-06,1526
2018-08-07,1526
2018-08-08,1507
2018-08-09,1507
2018-08-10,1453
2018-08-11,1453
2018-08-12,1443
2018-08-14,1448
2018-08-16,1463
2018-08-17,1463
2018-08-18,1463
2018-08-19,1465
2018-08-20,1453
2018-08-21,1453
2018-08-22,1461
2018-08-23,1461
2018-08-24,1457
2018-08-25,1457
2018-08-26,1448
2018-08-27,1448
2018-08-28,1453
2018-08-29,1453
2018-08-30,1457
2018-08-31,1457
2018-09-01,1459
2018-09-02,1459
2018-09-03,1463
2018-09-04,1464
2018-09-05,1464
2018-09-06,1457
2018-09-07,1453
2018-09-08,1453
2018-09-09,1462
2018-09-10,1462
2018-09-11,1480
2018-09-12,1480
2018-09-13,1478
2018-09-14,1478
2018-09-15,1462
2018-09-16,1462
2018-09-17,1462
2018-09-18,1455
2018-09-19,1455
2018-09-20,1457
2018-09-21,1457
2018-09-22,1451
2018-09-23,1451
2018-09-24,1468
2018-09-25,1468
2018-09-26,1471
2018-09-27,1471
2018-09-28,1472
2018-09-29,1472
2018-09-30,1482
2018-10-02,1493
2018-10-03,1512
2018-10-04,1512
2018-10-05,1512
2018-10-06,1517
2018-10-07,1517
2018-10-08,1539
2018-10-09,1539
2018-10-10,1539
2018-10-11,1539
2018-10-12,1539
2018-10-13,1547
2018-10-14,1547
2018-10-15,1553
2018-10-16,1553
2018-10-17,1559
2018-10-18,1559
2018-10-19,1566
2018-10-20,1566
2018-10-21,1570
2018-10-22,1574
2018-10-23,1574
2018-10-24,1574
2018-10-25,1574
2018-10-26,1581
2018-10-27,1581
2018-10-28,1586
2018-10-29,1586
2018-10-30,1585
2018-10-31,1585
2018-11-01,1598
2018-11-03,1607
2018-11-04,1606
2018-11-05,1616
2018-11-06,1616
2018-11-07,1616
2018-11-08,1574
2018-11-09,1574
2018-11-10,1528
2018-11-11,1528
2018-11-12,1527
2018-11-13,1517
2018-11-14,1517
2018-11-15,1518
2018-11-16,1512
2018-11-17,1512
2018-11-18,1518
2018-11-19,1518
2018-11-20,1495
2018-11-21,1495
2018-11-22,1446
2018-11-23,1381
2018-11-24,1323
2018-11-25,1343
2018-11-26,1343
2018-11-27,1361
2018-11-28,1381
2018-11-29,1392
2018-12-01,1398
2018-12-02,1407
2018-12-03,1407
2018-12-04,1414
2018-12-05,1427
2018-12-07,1439
2018-12-09,1451
2018-12-10,1456
2018-12-11,1464
2018-12-12,1469
2018-12-13,1459
2018-12-14,1436
2018-12-15,1433
2018-12-16,1449
2018-12-17,1449
2018-12-18,1450
2018-12-19,1446
2018-12-20,1451
2018-12-21,1450
2018-12-22,1450
2018-12-23,1442
2018-12-24,1437
2018-12-25,1437
2018-12-26,1423
2018-12-27,1404
2018-12-28,1404
2018-12-29,1393
2018-12-30,1391
2018-12-31,1370
2019-01-01,1388
2019-01-02,1364
2019-01-03,1363
2019-01-04,1361
2019-01-05,1366
2019-01-06,1367
2019-01-08,1369
2019-01-10,1320
2019-01-11,1254
2019-01-12,1206
2019-01-13,1195
2019-01-14,1182
2019-01-15,1190
2019-01-16,1190
2019-01-17,1153
2019-01-18,1122
2019-01-19,1131
2019-01-20,1143
2019-01-21,1150
2019-01-22,1132
2019-01-23,1136
2019-01-24,1132
2019-01-25,1139
2019-01-26,1135
2019-01-27,1154
2019-01-28,1158
2019-01-29,1153
2019-01-30,1150
2019-01-31,1150
2019-02-01,1159
2019-02-02,1160
2019-02-03,1215
2019-02-04,1215
2019-02-05,1269
2019-02-06,1269
2019-02-07,1333
2019-02-08,1398
2019-02-09,1420
2019-02-10,1438
2019-02-11,1435
2019-02-12,1425
2019-02-13,1410
2019-02-14,1410
2019-02-15,1425
2019-02-16,1419
2019-02-17,1438
2019-02-18,1446
2019-02-19,1425
2019-02-20,1416
2019-02-21,1414
2019-02-22,1403
2019-02-23,1407
2019-02-24,1426
2019-02-25,1439
2019-02-26,1435
2019-02-27,1437
2019-02-28,1437
2019-03-01,1447
2019-03-02,1451
2019-03-03,1458
2019-03-04,1462
2019-03-05,1472
2019-03-06,1474
2019-03-07,1500
2019-03-08,1500
2019-03-09,1514
2019-03-10,1553
2019-03-11,1561
2019-03-12,1572
2019-03-13,1572
2019-03-14,1564
2019-03-15,1575
2019-03-16,1585
2019-03-17,1587
2019-03-18,1587
2019-03-19,1601
2019-03-20,1627
2019-03-21,1615
2019-03-22,1615
2019-03-23,1610
2019-03-24,1629
2019-03-25,1629
2019-03-26,1640
2019-03-27,1640
2019-03-28,1651
2019-03-29,1639
2019-03-30,1639
2019-03-31,1634
2019-04-01,1656
2019-04-02,1654
2019-04-03,1649
2019-04-04,1639
2019-04-05,1637
2019-04-06,1637
2019-04-07,1625
2019-04-08,1602
2019-04-09,1612
2019-04-10,1614
2019-04-11,1614
2019-04-12,1598
2019-04-13,1598
2019-04-14,1595
2019-04-15,1595
2019-04-16,1589
2019-04-17,1541
2019-04-18,1486
2019-04-19,1420
2019-04-20,1392
2019-04-21,1392
2019-04-22,1368
2019-04-23,1366
2019-04-24,1351
2019-04-25,1340
2019-04-26,1335
2019-04-27,1335
2019-04-28,1354
2019-04-29,1358
2019-04-30,1348
2019-05-01,1348
2019-05-02,1312
2019-05-03,1301
2019-05-04,1308
2019-05-05,1327
2019-05-06,1327
2019-05-07,1348
2019-05-08,1344
2019-05-09,1344
2019-05-10,1350
2019-05-11,1356
2019-05-12,1356
2019-05-13,1366
2019-05-14,1363
2019-05-15,1363
2019-05-16,1368
2019-05-17,1368
2019-05-18,1367
2019-05-19,1364
2019-05-20,1361
2019-05-21,1361
2019-05-22,1356
2019-05-23,1347
2019-05-24,1340
2019-05-25,1332
2019-05-26,1330
2019-05-27,1335
2019-05-28,1334
2019-05-29,1331
2019-05-30,1325
2019-05-31,1325
2019-06-01,1323
2019-06-02,1319
2019-06-03,1319
2019-06-04,1315
2019-06-05,1313
2019-06-06,1315
2019-06-07,1302
2019-06-08,1296
2019-06-09,1291
2019-06-10,1291
2019-06-11,1297
2019-06-12,1291
2019-06-13,1299
2019-06-14,1294
2019-06-15,1294
2019-06-16,1287
2019-06-17,1266
2019-06-18,1231
2019-06-19,1209
2019-06-20,1207
2019-06-21,1211
2019-06-22,1211
2019-06-23,1210
2019-06-24,1191
2019-06-25,1167
2019-06-26,1142
2019-06-27,1141
2019-06-28,1141
2019-06-29,1130
2019-06-30,1116
2019-07-01,1116
2019-07-02,1114
2019-07-03,1103
2019-07-04,1084
2019-07-05,1064
2019-07-06,1075
2019-07-07,1085
2019-07-08,1089
2019-07-09,1083
2019-07-10,1091
2019-07-11,1098
2019-07-12,1083
2019-07-13,1083
2019-07-14,1082
2019-07-15,1082
2019-07-16,1074
2019-07-17,1050
2019-07-18,1024
2019-07-19,1014
2019-07-20,1018
2019-07-21,1043
2019-07-22,1062
2019-07-23,1090
2019-07-24,1084
2019-07-25,1068
2019-07-26,1055
2019-07-27,1063
2019-07-28,1080
2019-07-29,1076
2019-07-30,1085
2019-07-31,1100
2019-08-01,1103
2019-08-02,1067
2019-08-03,1061
2019-08-04,1051
2019-08-05,1035
2019-08-06,1026
2019-08-07,1016
2019-08-08,1016
2019-08-09,1000
2019-08-10,993
2019-08-11,993
2019-08-12,1008
2019-08-13,1032
2019-08-14,1021
2019-08-15,1017
2019-08-16,1005
2019-08-17,1005
2019-08-18,1010
2019-08-19,1018
2019-08-20,1018
2019-08-21,1018
2019-08-22,1005
2019-08-23,1005
2019-08-24,1005
2019-08-24,1005
2019-08-25,1005
2019-08-25,1005
2019-08-26,996
2019-08-27,987
2019-08-27,987
2019-08-28,981
2019-08-29,981
2019-08-30,983
2019-08-31,983
2019-09-01,982
2019-09-02,982
2019-09-03,997
2019-09-04,998
2019-09-05,998
2019-09-06,988
2019-09-07,988
2019-09-08,987
2019-09-09,987
2019-09-10,986
2019-09-11,964
2019-09-12,964
2019-09-13,967
2019-09-14,968
2019-09-15,963
2019-09-16,960
2019-09-17,960
2019-09-18,955
2019-09-19,955
2019-09-20,956
2019-09-21,955
2019-09-22,947
2019-09-23,945
2019-09-24,945
2019-09-25,954
2019-09-26,947
2019-09-27,947
2019-09-28,956
2019-09-29,956
2019-09-30,966
2019-10-01,971
2019-10-02,971
2019-10-03,968
2019-10-04,968
2019-10-05,978
2019-10-06,967
2019-10-07,967
2019-10-08,951
2019-10-09,951
2019-10-10,941
2019-10-11,941
2019-10-12,937
2019-10-13,941
2019-10-14,949
2019-10-15,949
2019-10-16,949
2019-10-17,949
2019-10-18,949
2019-10-19,946
2019-10-20,953
2019-10-21,958
2019-10-22,956
2019-10-23,950
2019-10-24,950
2019-10-25,952
2019-10-26,941
2019-10-27,944
2019-10-28,936
2019-10-29,936
2019-10-30,943
2019-10-31,940
2019-11-01,936
2019-11-02,929
2019-11-03,924
2019-11-04,917
2019-11-05,917
2019-11-06,909
2019-11-07,892
2019-11-08,880
2019-11-09,877
2019-11-10,875
2019-11-11,884
2019-11-12,884
2019-11-13,885
2019-11-14,880
2019-11-15,898
2019-11-16,883
2019-11-17,883
2019-11-18,894
2019-11-19,894
2019-11-20,902
2019-11-21,902
2019-11-22,908
2019-11-23,927
2019-11-24,925
2019-11-25,939
2019-11-26,934
2019-11-27,934
2019-11-28,936
2019-11-29,936
2019-11-30,951
2019-12-01,968
2019-12-02,981
2019-12-03,1001
2019-12-04,1017
2019-12-05,1017
2019-12-06,1060
2019-12-07,1058
2019-12-08,1077
2019-12-09,1061
2019-12-10,1012
2019-12-11,998
2019-12-12,998
2019-12-13,1002
2019-12-14,993
2019-12-15,1014
2019-12-16,1020
2019-12-17,1023
2019-12-18,1023
2019-12-19,1032
2019-12-20,1029
2019-12-21,1042
2019-12-22,1028
2019-12-23,1022
2019-12-24,1026
2019-12-25,1020
2019-12-26,1020
2019-12-27,1033
2019-12-28,1059
2019-12-29,1078
2019-12-30,1097
2019-12-31,1106
2020-01-01,1122
2020-01-02,1124
2020-01-03,1124
2020-01-04,1155
2020-01-05,1198
2020-01-06,1198
2020-01-07,1221
2020-01-08,1221
2020-01-09,1253
2020-01-10,1249
2020-01-11,1255
2020-01-12,1268
2020-01-13,1268
2020-01-14,1270
2020-01-15,1280
2020-01-16,1289
2020-01-17,1272
2020-01-18,1272
2020-01-19,1296
2020-01-20,1301
2020-01-21,1301
2020-01-22,1307
2020-01-23,1312
2020-01-24,1289
2020-01-25,1280
