date_obj,3rd%20age%20amulet price
2015-03-26,8135122
2015-03-27,8135122
2015-03-28,8135122
2015-03-29,8135122
2015-03-30,8135122
2015-03-31,8135122
2015-04-01,8285348
2015-04-02,8285348
2015-04-03,8285348
2015-04-04,8285348
2015-04-05,8285348
2015-04-06,8285348
2015-04-07,8285348
2015-04-08,7874506
2015-04-09,7874506
2015-04-10,7874506
2015-04-11,7874506
2015-04-12,7874506
2015-04-13,7874506
2015-04-14,7874506
2015-04-15,7512184
2015-04-16,7512184
2015-04-17,7512184
2015-04-18,7512184
2015-04-19,7512184
2015-04-20,7512184
2015-04-21,7512184
2015-04-22,7187299
2015-04-23,7187299
2015-04-24,7187299
2015-04-25,7187299
2015-04-26,7187299
2015-04-27,7057030
2015-04-28,7057030
2015-04-29,7057030
2015-04-30,7057030
2015-05-01,7057030
2015-05-02,7057030
2015-05-03,7057030
2015-05-04,7310447
2015-05-05,7310447
2015-05-06,7310447
2015-05-07,7310447
2015-05-08,7310447
2015-05-09,7310447
2015-05-10,7310447
2015-05-11,7310447
2015-05-12,7310447
2015-05-13,7526154
2015-05-14,7526154
2015-05-15,7526154
2015-05-16,7526154
2015-05-17,7526154
2015-05-18,7526154
2015-05-19,7526154
2015-05-20,7526154
2015-05-21,7526154
2015-05-22,7659131
2015-05-23,7659131
2015-05-24,7659131
2015-05-25,7659131
2015-05-26,7659131
2015-05-27,7659131
2015-05-28,7659131
2015-05-29,7493934
2015-05-30,7493934
2015-05-31,7493934
2015-06-01,7493934
2015-06-02,7493934
2015-06-03,7493934
2015-06-04,7493934
2015-06-05,7459683
2015-06-06,7459683
2015-06-07,7459683
2015-06-08,7459683
2015-06-09,7459683
2015-06-10,7459683
2015-06-11,7459683
2015-06-12,7459683
2015-06-13,7459683
2015-06-14,7339940
2015-06-15,7339940
2015-06-16,7339940
2015-06-17,7339940
2015-06-18,7339940
2015-06-19,7339940
2015-06-20,7339940
2015-06-21,7059396
2015-06-22,7059396
2015-06-23,7059396
2015-06-24,7059396
2015-06-25,7059396
2015-06-26,7059396
2015-06-27,7059396
2015-06-28,7193688
2015-06-29,7193688
2015-06-30,7193688
2015-07-01,7193688
2015-07-02,7193688
2015-07-03,7193688
2015-07-04,7193688
2015-07-05,7256695
2015-07-06,7256695
2015-07-07,7256695
2015-07-08,7256695
2015-07-09,7256695
2015-07-10,7256695
2015-07-11,7316622
2015-07-12,7316622
2015-07-13,7316622
2015-07-14,7316622
2015-07-15,7316622
2015-07-16,7316622
2015-07-17,7316622
2015-07-18,7316622
2015-07-19,7547899
2015-07-20,7547899
2015-07-21,7547899
2015-07-22,7547899
2015-07-23,7547899
2015-07-24,7547899
2015-07-25,7752972
2015-07-26,7752972
2015-07-27,7752972
2015-07-28,7752972
2015-07-29,7752972
2015-07-30,8047780
2015-07-31,8047780
2015-08-01,8047780
2015-08-02,8047780
2015-08-03,8047780
2015-08-04,8342348
2015-08-05,8342348
2015-08-06,8342348
2015-08-07,8342348
2015-08-08,8342348
2015-08-09,8688728
2015-08-10,8688728
2015-08-11,8688728
2015-08-12,8688728
2015-08-13,8688728
2015-08-14,9033791
2015-08-15,9033791
2015-08-16,9033791
2015-08-17,9033791
2015-08-18,9033791
2015-08-19,9033791
2015-08-20,9033791
2015-08-21,9429681
2015-08-22,9429681
2015-08-23,9429681
2015-08-24,9429681
2015-08-25,9429681
2015-08-26,9429681
2015-08-27,9825052
2015-08-28,9825052
2015-08-29,9825052
2015-08-30,9825052
2015-08-31,9825052
2015-09-01,9825052
2015-09-02,9825052
