date_obj,Adamant%20dart%20tip price
2015-03-26,222
2015-03-27,222
2015-03-28,222
2015-03-29,214
2015-03-30,214
2015-03-31,214
2015-04-01,214
2015-04-02,214
2015-04-03,211
2015-04-04,211
2015-04-05,211
2015-04-06,211
2015-04-07,212
2015-04-08,212
2015-04-09,212
2015-04-10,212
2015-04-11,212
2015-04-12,212
2015-04-13,216
2015-04-14,216
2015-04-15,216
2015-04-16,216
2015-04-17,226
2015-04-18,226
2015-04-19,226
2015-04-20,226
2015-04-21,226
2015-04-22,225
2015-04-23,225
2015-04-24,225
2015-04-25,225
2015-04-26,225
2015-04-27,220
2015-04-28,220
2015-04-29,220
2015-04-30,220
2015-05-01,220
2015-05-02,215
2015-05-03,215
2015-05-04,215
2015-05-05,215
2015-05-06,215
2015-05-07,221
2015-05-08,221
2015-05-09,221
2015-05-10,221
2015-05-11,221
2015-05-12,219
2015-05-13,219
2015-05-14,219
2015-05-15,219
2015-05-16,219
2015-05-17,219
2015-05-18,219
2015-05-19,219
2015-05-20,219
2015-05-21,218
2015-05-22,218
2015-05-23,218
2015-05-24,218
2015-05-25,218
2015-05-26,219
2015-05-27,219
2015-05-28,219
2015-05-29,219
2015-05-30,216
2015-05-31,216
2015-06-01,216
2015-06-02,218
2015-06-03,218
2015-06-04,218
2015-06-05,220
2015-06-06,220
2015-06-07,220
2015-06-08,217
2015-06-09,217
2015-06-10,217
2015-06-11,214
2015-06-12,214
2015-06-13,214
2015-06-14,215
2015-06-15,215
2015-06-16,215
2015-06-17,215
2015-06-18,217
2015-06-19,217
2015-06-20,217
2015-06-21,217
2015-06-22,217
2015-06-23,217
2015-06-24,217
2015-06-25,217
2015-06-26,219
2015-06-27,219
2015-06-28,219
2015-06-29,220
2015-06-30,220
2015-07-01,220
2015-07-02,221
2015-07-03,221
2015-07-04,221
2015-07-05,224
2015-07-06,224
2015-07-07,224
2015-07-08,229
2015-07-09,229
2015-07-10,229
2015-07-11,231
2015-07-12,231
2015-07-13,231
2015-07-14,228
2015-07-15,228
2015-07-16,228
2015-07-17,218
2015-07-18,218
2015-07-19,218
2015-07-20,213
2015-07-21,213
2015-07-22,218
2015-07-23,218
2015-07-24,218
2015-07-25,220
2015-07-26,220
2015-07-27,220
2015-07-28,222
2015-07-29,222
2015-07-30,223
2015-07-31,223
2015-08-01,223
2015-08-02,216
2015-08-03,216
2015-08-04,216
2015-08-05,214
2015-08-06,214
2015-08-07,220
2015-08-08,220
2015-08-09,229
2015-08-10,236
2015-08-11,238
