date_obj,Uncooked%20meat%20pie price
2015-03-26,824
2015-03-27,824
2015-03-28,824
2015-03-29,824
2015-03-30,824
2015-03-31,824
2015-04-01,824
2015-04-02,824
2015-04-03,824
2015-04-04,824
2015-04-05,824
2015-04-06,824
2015-04-07,824
2015-04-08,824
2015-04-09,824
2015-04-10,824
2015-04-11,824
2015-04-12,824
2015-04-13,824
2015-04-14,824
2015-04-15,824
2015-04-16,824
2015-04-17,824
2015-04-18,824
2015-04-19,824
2015-04-20,824
2015-04-21,824
2015-04-22,824
2015-04-23,824
2015-04-24,824
2015-04-25,824
2015-04-26,824
2015-04-27,824
2015-04-28,824
2015-04-29,824
2015-04-30,824
2015-05-01,824
2015-05-02,824
2015-05-03,824
2015-05-04,824
2015-05-05,824
2015-05-06,824
2015-05-07,824
2015-05-08,824
2015-05-09,824
2015-05-10,824
2015-05-11,824
2015-05-12,824
2015-05-13,824
2015-05-14,824
2015-05-15,824
2015-05-16,824
2015-05-17,824
2015-05-18,824
2015-05-19,824
2015-05-20,824
2015-05-21,824
2015-05-22,824
2015-05-23,824
2015-05-24,824
2015-05-25,824
2015-05-26,824
2015-05-27,824
2015-05-28,824
2015-05-29,824
2015-05-30,824
2015-05-31,824
2015-06-01,824
2015-06-02,824
2015-06-03,824
2015-06-04,824
2015-06-05,824
2015-06-06,824
2015-06-07,824
2015-06-08,824
2015-06-09,824
2015-06-10,824
2015-06-11,824
2015-06-12,824
2015-06-13,824
2015-06-14,824
2015-06-15,824
2015-06-16,824
2015-06-17,824
2015-06-18,824
2015-06-19,824
2015-06-20,824
2015-06-21,824
2015-06-22,824
2015-06-23,824
2015-06-24,824
2015-06-25,829
2015-06-26,829
2015-06-27,829
2015-06-28,829
2015-06-29,829
2015-06-30,829
2015-07-01,829
2015-07-02,829
2015-07-03,829
2015-07-04,829
2015-07-05,829
2015-07-06,829
2015-07-07,829
2015-07-08,829
2015-07-09,829
2015-07-10,829
2015-07-11,829
2015-07-12,829
2015-07-13,829
2015-07-14,829
2015-07-15,829
2015-07-16,829
2015-07-17,829
2015-07-18,829
2015-07-19,829
2015-07-20,829
2015-07-21,829
2015-07-22,829
2015-07-23,829
2015-07-24,829
2015-07-25,829
2015-07-26,829
2015-07-27,829
2015-07-28,829
2015-07-29,829
2015-07-30,829
2015-07-31,829
2015-08-01,829
2015-08-02,829
2015-08-03,829
2015-08-04,829
2015-08-05,829
2015-08-06,829
2015-08-07,829
2015-08-08,829
2015-08-09,829
2015-08-10,829
2015-08-11,829
2015-08-12,829
2015-08-13,829
2015-08-14,829
2015-08-15,829
2015-08-16,829
2015-08-17,829
2015-08-18,829
2015-08-19,829
2015-08-20,829
2015-08-21,829
2015-08-22,829
2015-08-23,829
2015-08-24,829
2015-08-25,829
2015-08-26,829
2015-08-27,829
2015-08-28,829
2015-08-29,829
2015-08-30,829
2015-08-31,829
2015-09-01,829
2015-09-02,829
2015-09-03,829
2015-09-04,829
2015-09-05,829
2015-09-06,829
2015-09-07,829
2015-09-08,829
2015-09-09,829
2015-09-10,829
2015-09-11,829
2015-09-12,829
2015-09-13,829
2015-09-14,829
2015-09-15,829
2015-09-16,829
2015-09-17,829
2015-09-18,829
2015-09-19,829
2015-09-20,829
2015-09-21,829
2015-09-22,829
2015-09-23,829
2015-09-24,829
2015-09-25,829
2015-09-27,829
2015-09-28,829
