date_obj,Mud%20battlestaff price
2015-03-26,359145
2015-03-27,359145
2015-03-28,343142
2015-03-29,329733
2015-03-30,317479
2015-03-31,311892
2015-04-01,311892
2015-04-02,304538
2015-04-03,308307
2015-04-04,307530
2015-04-05,307530
2015-04-06,300446
2015-04-07,288628
2015-04-08,288628
2015-04-09,275987
2015-04-10,263258
2015-04-11,254045
2015-04-12,245584
2015-04-13,241489
2015-04-14,241489
2015-04-15,241071
2015-04-16,241071
2015-04-17,243891
2015-04-18,244311
2015-04-19,252342
2015-04-20,252342
2015-04-21,256084
2015-04-22,256084
2015-04-23,262109
2015-04-24,262109
2015-04-25,263164
2015-04-26,263164
2015-04-27,257280
2015-04-28,246920
2015-04-29,246920
2015-04-30,239058
2015-05-01,230907
2015-05-02,222449
2015-05-03,222449
2015-05-04,217642
2015-05-05,217642
2015-05-06,216198
2015-05-07,215550
2015-05-08,215550
2015-05-09,209738
2015-05-10,205943
2015-05-11,205943
2015-05-12,202119
2015-05-13,202119
2015-05-14,198315
2015-05-15,198315
2015-05-16,192121
2015-05-17,187019
2015-05-18,187019
2015-05-19,182513
2015-05-20,182513
2015-05-21,182875
2015-05-22,189781
2015-05-23,189781
2015-05-24,199249
2015-05-25,207832
2015-05-26,207832
2015-05-27,206723
2015-05-28,200043
2015-05-29,194311
2015-05-30,192737
2015-05-31,192088
2015-06-01,192092
2015-06-02,192092
2015-06-03,193852
2015-06-04,196303
2015-06-05,192852
2015-06-06,191232
2015-06-07,188344
2015-06-08,187315
2015-06-09,189984
2015-06-10,184635
2015-06-11,182508
2015-06-12,180002
2015-06-13,173181
2015-06-14,168219
2015-06-15,163097
2015-06-16,156664
2015-06-17,151997
2015-06-18,150370
2015-06-19,147886
2015-06-20,148148
2015-06-21,144962
2015-06-22,139153
2015-06-23,133108
2015-06-24,128280
2015-06-25,128280
2015-06-26,125519
2015-06-27,125519
2015-06-28,125410
2015-06-29,129420
2015-06-30,129310
2015-07-01,125788
2015-07-02,125788
2015-07-03,122796
2015-07-04,123463
2015-07-05,124884
2015-07-06,127782
2015-07-07,129531
2015-07-08,127555
2015-07-09,127555
2015-07-10,127806
2015-07-11,129584
2015-07-12,129158
2015-07-13,128647
2015-07-14,126466
2015-07-15,122375
2015-07-16,117946
2015-07-17,116868
2015-07-18,114083
2015-07-19,109536
2015-07-20,105217
2015-07-21,101940
2015-07-22,103161
2015-07-23,103161
2015-07-24,103076
2015-07-25,103037
2015-07-26,106770
2015-07-27,111039
2015-07-28,115190
2015-07-29,117665
2015-07-30,118835
2015-07-31,120387
2015-08-01,119582
2015-08-02,119410
2015-08-03,116582
2015-08-04,115608
2015-08-05,115416
2015-08-06,119433
2015-08-07,124598
2015-08-08,129960
2015-08-09,134900
2015-08-10,138655
2015-08-11,141813
2015-08-12,146301
2015-08-13,151487
2015-08-14,156967
2015-08-15,161451
2015-08-16,158843
2015-08-17,161635
2015-08-18,164051
2015-08-19,165651
2015-08-20,163238
2015-08-21,160702
2015-08-22,154363
2015-08-23,150961
2015-08-24,148736
2015-08-25,148736
2015-08-26,147494
2015-08-27,142445
2015-08-28,135905
2015-08-29,133596
2015-08-30,134682
2015-08-31,136896
2015-09-01,140293
2015-09-02,140293
2015-09-03,145148
2015-09-04,150426
2015-09-05,150426
2015-09-06,153884
2015-09-07,159275
2015-09-08,166399
2015-09-09,169998
2015-09-10,175428
2015-09-11,180580
2015-09-12,187160
2015-09-13,195733
2015-09-14,202298
2015-09-15,204157
2015-09-16,204157
2015-09-17,199997
2015-09-18,194497
2015-09-19,188732
2015-09-20,181827
2015-09-21,176750
2015-09-22,171839
2015-09-23,172542
2015-09-24,172542
2015-09-25,176735
2015-09-27,172069
2015-09-28,168925
2015-09-29,167601
2015-09-30,168479
2015-10-05,164750
2015-10-06,167500
2015-10-07,167928
2015-10-08,170909
2015-10-09,166385
2015-10-10,166385
2015-10-11,164357
2015-10-12,163303
2015-10-13,163303
2015-10-14,162009
2015-10-15,158820
2015-10-16,151747
2015-10-17,151747
2015-10-18,145880
2015-10-19,145733
2015-10-20,148391
2015-10-22,151963
2015-10-23,154032
2015-10-24,152179
2015-10-25,151205
2015-10-26,145158
2015-10-27,145158
2015-10-29,143327
2015-10-30,138951
