date_obj,Infinity%20top price
2015-03-26,4227705
2015-03-27,4227705
2015-03-28,4227705
2015-03-29,4418662
2015-03-30,4418662
2015-03-31,4418662
2015-04-01,4418662
2015-04-02,4418662
2015-04-03,4418662
2015-04-04,4418662
2015-04-05,4418662
2015-04-06,4418662
2015-04-07,4418662
2015-04-08,4418662
2015-04-09,4418662
2015-04-10,4418662
2015-04-11,4418662
2015-04-12,4418662
2015-04-13,4614022
2015-04-14,4614022
2015-04-15,4614022
2015-04-16,4614022
2015-04-17,4614022
2015-04-18,4614022
2015-04-19,4614022
2015-04-20,4614022
2015-04-21,4614022
2015-04-22,4614022
2015-04-23,4614022
2015-04-24,4614022
2015-04-25,4614022
2015-04-26,4614022
2015-04-27,4824022
2015-04-28,4824022
2015-04-29,4824022
2015-04-30,4824022
2015-05-01,4824022
2015-05-02,4824022
2015-05-03,4824022
2015-05-04,4824022
2015-05-05,4824022
2015-05-06,4824022
2015-05-07,4824022
2015-05-08,4824022
2015-05-09,4824022
2015-05-10,4824022
2015-05-11,4824022
2015-05-12,4990755
2015-05-13,4990755
2015-05-14,4990755
2015-05-15,4990755
2015-05-16,4990755
2015-05-17,4990755
2015-05-18,4990755
2015-05-19,4990755
2015-05-20,4990755
2015-05-21,4990755
2015-05-22,4990755
2015-05-23,4990755
2015-05-24,4990755
2015-05-25,4997971
2015-05-26,4997971
2015-05-27,4997971
2015-05-28,4997971
2015-05-29,4997971
2015-05-30,4997971
2015-05-31,4997971
2015-06-01,4997971
2015-06-02,5221909
2015-06-03,5221909
2015-06-04,5221909
2015-06-05,5221909
2015-06-06,5221909
2015-06-07,5221909
2015-06-08,5221909
2015-06-09,5221909
2015-06-10,5392882
2015-06-11,5392882
2015-06-12,5392882
2015-06-13,5392882
2015-06-14,5392882
2015-06-15,5392882
2015-06-16,5392882
2015-06-17,5392882
2015-06-18,5392882
2015-06-19,5473863
2015-06-20,5473863
2015-06-21,5473863
2015-06-22,5473863
2015-06-23,5473863
2015-06-24,5473863
2015-06-25,5473863
2015-06-26,5473863
2015-06-27,5473863
2015-06-28,5202441
2015-06-29,5202441
