date_obj,Ancient%20kiteshield price
2016-02-13,33687
2016-02-14,33687
2016-02-15,32899
2016-02-16,32845
2016-02-17,32702
2016-02-18,31631
2016-02-19,31715
2016-02-20,32510
2016-02-21,33227
2016-02-22,33227
2016-02-23,33792
2016-02-24,34716
2016-02-25,35942
2016-02-26,34646
2016-02-27,35651
2016-02-28,35261
2016-02-29,35398
2016-03-01,34758
2016-03-02,34758
2016-03-03,33945
2016-03-04,34034
2016-03-05,34160
2016-03-06,33203
2016-03-07,33203
2016-03-08,33126
2016-03-09,32979
2016-03-10,32560
2016-03-11,32789
2016-03-12,33771
2016-03-13,34410
2016-03-14,35379
2016-03-15,36081
2016-03-16,36876
2016-03-17,37878
2016-03-18,37593
2016-03-19,37193
2016-03-20,36715
2016-03-21,36715
2016-03-22,36698
2016-03-23,35599
2016-03-24,35649
2016-03-25,34387
2016-03-26,34059
2016-03-27,32817
2016-03-28,32397
2016-03-29,32714
2016-03-30,32714
2016-03-31,33812
2016-04-01,35503
2016-04-02,37104
2016-04-03,38960
2016-04-04,40908
2016-04-05,42525
2016-04-06,44652
2016-04-07,46885
2016-04-08,49083
2016-04-09,49628
2016-04-10,49182
2016-04-11,49182
2016-04-12,47099
2016-04-13,45084
2016-04-14,43583
2016-04-15,42103
2016-04-16,41224
2016-04-17,41448
2016-04-18,40720
2016-04-19,41752
2016-04-20,41935
2016-04-21,42115
2016-04-22,42636
2016-04-23,43267
2016-04-24,43389
2016-04-25,44178
2016-04-26,44708
2016-04-27,44726
2016-04-28,44549
2016-04-29,44335
2016-04-30,43514
2016-05-01,42066
2016-05-02,41673
2016-05-03,40794
2016-05-04,39477
2016-05-05,40924
2016-05-06,40924
2016-05-07,41240
2016-05-08,41086
2016-05-09,41339
2016-05-10,40991
2016-05-11,39753
2016-05-12,38605
2016-05-13,38393
2016-05-14,38991
2016-05-15,40083
2016-05-16,40311
2016-05-17,41122
2016-05-18,41616
2016-05-19,42219
2016-05-22,40661
2016-05-23,40582
2016-05-24,40920
2016-05-25,40496
2016-05-26,40741
2016-05-27,40090
2016-05-28,39030
2016-05-29,38685
2016-05-30,38884
2016-05-31,38702
2016-06-01,38834
2016-06-02,39584
2016-06-03,38651
2016-06-04,38264
2016-06-05,38300
2016-06-06,38066
2016-06-07,38066
2016-06-08,38112
2016-06-09,37704
2016-06-10,38587
2016-06-11,38046
2016-06-12,37731
2016-06-13,37842
2016-06-14,37926
2016-06-15,38304
2016-06-16,38633
2016-06-17,38198
2016-06-18,37787
2016-06-19,38420
2016-06-20,38411
2016-06-21,38896
2016-06-22,38470
2016-06-23,38889
2016-06-24,39841
2016-06-25,39793
2016-06-26,39080
2016-06-27,39115
2016-06-28,39119
2016-06-29,39726
2016-06-30,40052
2016-07-01,40328
2016-07-02,40863
2016-07-03,40825
2016-07-04,41409
2016-07-05,41331
2016-07-06,41686
2016-07-07,41609
2016-07-08,41456
2016-07-09,41957
2016-07-10,42022
2016-07-11,42935
2016-07-12,43123
2016-07-13,42812
2016-07-14,42202
2016-07-15,40214
2016-07-16,38733
2016-07-17,37200
2016-07-18,36848
2016-07-23,37167
2016-07-24,37333
2016-07-25,37350
2016-07-26,36918
2016-07-27,36493
2016-07-28,36566
2016-07-29,36684
2016-07-30,36892
2016-07-31,36892
2016-08-01,36113
2016-08-02,35996
2016-08-03,35052
2016-08-04,35438
2016-08-05,35329
2016-08-06,35534
2016-08-07,35341
2016-08-08,35086
2016-08-09,35204
2016-08-10,35305
2016-08-11,35627
2016-08-12,35217
2016-08-13,35769
2016-08-14,35792
2016-08-15,35908
2016-08-16,36028
2016-08-17,36351
2016-08-18,36035
2016-08-19,36117
2016-08-20,36435
2016-08-21,36246
2016-08-22,36533
2016-08-23,36379
2016-08-24,36407
2016-08-25,36717
2016-08-26,36717
2016-08-28,36504
2016-08-31,36224
2016-09-01,36507
2016-09-02,36507
2016-09-03,36666
2016-09-04,36962
2016-09-05,37247
2016-09-06,37298
2016-09-07,37525
2016-09-08,37754
2016-09-09,38314
2016-09-10,38085
2016-09-11,38085
2016-09-12,37970
2016-09-13,37903
2016-09-14,38599
2016-09-15,38558
2016-09-16,39154
2016-09-17,39262
2016-09-18,39281
2016-09-19,39549
2016-09-20,40440
2016-09-21,40140
2016-09-22,40853
2016-09-23,41937
2016-09-24,41937
2016-09-25,42087
2016-09-26,42087
2016-09-27,42159
2016-09-28,41724
2016-09-29,41724
2016-09-30,42157
2016-10-01,41416
2016-10-02,41416
2016-10-03,40011
2016-10-04,39190
2016-10-05,39397
2016-10-06,39859
2016-10-07,39859
2016-10-08,40213
2016-10-09,40213
2016-10-10,40331
2016-10-11,39519
2016-10-12,38480
2016-10-13,39440
2016-10-14,38925
2016-10-15,39465
2016-10-16,39450
2016-10-17,39033
2016-10-18,39031
2016-10-19,39788
2016-10-20,40428
2016-10-21,39448
2016-10-22,39448
2016-10-23,39143
2016-10-24,38227
2016-10-25,38227
2016-10-26,37709
2016-10-27,37698
2016-10-28,38505
2016-10-29,39402
2016-10-30,40206
2016-10-31,39883
2016-11-01,39883
2016-11-02,40013
2016-11-03,39505
2016-11-04,39980
2016-11-05,39096
2016-11-06,38983
2016-11-07,38483
2016-11-08,38448
2016-11-09,38686
2016-11-10,39660
2016-11-11,39438
2016-11-12,39545
2016-11-13,39450
2016-11-14,39677
2016-11-15,39477
2016-12-07,38035
2016-12-08,37898
2016-12-09,38219
2016-12-10,38562
2016-12-11,38779
2016-12-12,38741
2016-12-13,38430
2016-12-15,38671
2016-12-16,37983
2016-12-17,38112
2016-12-18,38124
2016-12-19,38174
2016-12-20,37891
2016-12-21,37596
2016-12-22,37815
2016-12-23,37677
2016-12-24,37859
2016-12-25,36750
2016-12-26,37563
2016-12-27,37210
2016-12-28,37234
2016-12-29,37296
2016-12-30,37509
2016-12-31,37743
2017-01-01,38003
2017-01-02,38170
2017-01-03,38298
2017-01-04,38088
2017-01-05,38421
2017-01-06,38776
2017-01-07,38842
2017-01-08,38885
2017-01-09,39211
2017-01-10,38836
2017-01-11,39082
2017-01-12,37603
2017-01-13,38637
2017-01-14,38843
2017-01-15,38764
2017-01-16,38437
2017-01-17,39145
2017-01-18,39590
2017-01-19,39975
2017-01-20,40644
2017-01-21,40978
2017-01-22,40485
2017-01-23,40371
2017-01-27,40121
2017-01-28,40008
2017-01-29,39875
2017-01-30,38775
2017-01-31,39634
2017-02-01,39528
2017-02-02,39734
2017-02-03,39033
2017-02-04,38834
2017-02-05,38351
2017-02-06,37602
2017-02-07,37464
2017-02-08,37766
2017-02-09,37538
2017-02-10,37839
2017-02-11,37343
2017-02-12,36586
2017-02-13,36362
2017-02-14,37030
2017-02-15,36788
2017-02-16,36111
2017-02-17,36111
2017-02-18,35218
2017-02-19,35127
2017-02-20,35354
2017-02-21,34746
2017-02-22,34742
2017-02-23,34303
2017-02-24,33941
2017-02-25,34153
2017-02-26,33834
2017-02-27,33884
2017-02-28,33500
2017-03-01,33715
2017-03-02,33990
2017-03-03,33609
2017-03-04,34514
2017-03-05,34766
2017-03-06,34735
2017-03-07,35350
2017-03-08,35502
2017-03-09,35350
2017-03-10,35347
2017-03-11,35698
2017-03-12,35641
2017-03-13,35932
2017-03-14,35955
2017-03-15,36116
2017-03-16,36086
2017-03-17,36515
2017-03-18,35911
2017-03-19,35446
2017-03-20,35281
2017-03-21,34897
2017-03-22,34962
2017-03-23,35002
2017-03-24,35094
2017-03-25,35146
2017-03-26,35406
2017-03-27,35754
2017-03-28,36159
2017-03-29,35880
2017-03-30,35951
2017-03-31,36066
2017-04-01,36602
2017-04-02,36572
2017-04-03,36450
2017-04-04,35236
2017-04-05,34385
2017-04-12,35416
2017-04-13,35782
2017-04-14,36736
2017-04-15,36642
2017-04-16,36689
