date_obj,Pink%20boater price
2015-03-26,19900
2015-03-27,19900
2015-03-28,19485
2015-03-29,19485
2015-03-30,19090
2015-03-31,19090
2015-04-01,18438
2015-04-02,18438
2015-04-03,17516
2015-04-04,16706
2015-04-05,16706
2015-04-06,15870
2015-04-07,15870
2015-04-08,15076
2015-04-09,15076
2015-04-10,14624
2015-04-11,14624
2015-04-12,13915
2015-04-13,13915
2015-04-14,13525
2015-04-15,13525
2015-04-16,13028
2015-04-17,13028
2015-04-18,12576
2015-04-19,12576
2015-04-20,12296
2015-04-21,12296
2015-04-22,11813
2015-04-23,11813
2015-04-24,11243
2015-04-25,11243
2015-04-26,10810
2015-04-27,10810
2015-04-28,10599
2015-04-29,10599
2015-04-30,10309
2015-05-01,10309
2015-05-02,9847
2015-05-03,9847
2015-05-04,9582
2015-05-05,9582
2015-05-06,9225
2015-05-07,9225
2015-05-08,8956
2015-05-09,8956
2015-05-10,8542
2015-05-11,8542
2015-05-12,8340
2015-05-13,8340
2015-05-14,8072
2015-05-15,8072
2015-05-16,7967
2015-05-17,7745
2015-05-18,7745
2015-05-19,7651
2015-05-20,7651
2015-05-21,7651
2015-05-22,7527
2015-05-23,7527
2015-05-24,7166
2015-05-25,6831
2015-05-26,6831
2015-05-27,6540
2015-05-28,6540
2015-05-29,6537
2015-05-30,6612
2015-05-31,6612
2015-06-01,6540
2015-06-02,6540
2015-06-03,6540
2015-06-04,6650
2015-06-05,6650
2015-06-06,6615
2015-06-07,6615
2015-06-08,6615
2015-06-09,6672
2015-06-10,6672
2015-06-11,6672
2015-06-12,6518
2015-06-13,6518
2015-06-14,6249
2015-06-15,6249
2015-06-16,6387
2015-06-17,6387
2015-06-18,6536
2015-06-19,6536
2015-06-20,6435
2015-06-21,6435
2015-06-22,6416
2015-06-23,6416
2015-06-24,6505
2015-06-25,6505
2015-06-26,6505
2015-06-27,6486
2015-06-28,6486
2015-06-29,6445
2015-06-30,6445
2015-07-01,6498
2015-07-02,6498
2015-07-03,6502
2015-07-04,6502
2015-07-05,6502
2015-07-06,6654
2015-07-07,6654
2015-07-08,6818
2015-07-09,6818
2015-07-10,6818
2015-07-11,6719
2015-07-12,6719
2015-07-13,6396
2015-07-14,6396
2015-07-15,6088
2015-07-16,6088
2015-07-17,5799
2015-07-18,5799
2015-07-19,5799
2015-07-20,5560
2015-07-21,5560
2015-07-22,5560
2015-07-23,5560
2015-07-24,5654
2015-07-25,5654
2015-07-26,5654
2015-07-27,5898
2015-07-28,5898
2015-07-29,5976
2015-07-30,5976
2015-07-31,6078
2015-08-01,6078
2015-08-02,5893
2015-08-03,5893
2015-08-04,5893
2015-08-05,5607
2015-08-06,5607
2015-08-07,5581
2015-08-08,5581
2015-08-09,5621
2015-08-10,5621
2015-08-11,5844
2015-08-12,5844
2015-08-13,5844
2015-08-14,6107
2015-08-15,6107
2015-08-16,6107
2015-08-17,6404
2015-08-18,6404
2015-08-19,6697
2015-08-20,6697
2015-08-21,6904
2015-08-22,6904
2015-08-23,7172
2015-08-24,7172
2015-08-25,7172
2015-08-26,7383
2015-08-27,7383
2015-08-28,7406
2015-08-29,7406
2015-08-30,7487
2015-08-31,7487
2015-09-01,7391
2015-09-02,7391
2015-09-03,7391
2015-09-04,7150
2015-09-05,7150
2015-09-06,7150
2015-09-07,7092
2015-09-08,7092
2015-09-09,7157
2015-09-10,7157
2015-09-11,7061
2015-09-12,7061
2015-09-13,7042
2015-09-14,7042
2015-09-15,7275
2015-09-16,7275
2015-09-17,7342
2015-09-18,7342
2015-09-19,7342
2015-09-20,7062
2015-09-21,7062
2015-09-22,7062
2015-09-23,6891
2015-09-24,6891
2015-09-25,6891
2015-09-27,6834
2015-09-28,6834
2015-09-29,6947
2015-09-30,6947
2015-10-05,7117
2015-10-06,7117
2015-10-07,7151
2015-10-08,7151
2015-10-09,7253
2015-10-10,7253
2015-10-11,7253
2015-10-12,7237
2015-10-13,7237
2015-10-14,7237
2015-10-15,7057
2015-10-16,7057
2015-10-17,7057
2015-10-18,7057
2015-10-19,6985
2015-10-20,6985
2015-10-22,7051
2015-10-23,7051
2015-10-24,7051
2015-10-25,7250
2015-10-26,7250
2015-10-27,7250
2015-10-29,7560
2015-10-30,7560
2015-10-31,7922
2015-11-01,7922
2015-11-02,7922
2015-11-03,7922
2015-11-04,8109
2015-11-05,8109
2015-11-06,8109
2015-11-07,8494
2015-11-08,8494
2015-11-09,8494
2015-11-10,8494
2015-11-11,8672
2015-11-12,8672
2015-11-13,8672
2015-11-14,8629
2015-11-15,8629
2015-11-16,8629
2015-11-17,8525
2015-11-18,8525
2015-11-19,8525
2015-11-20,8249
2015-11-21,8249
2015-11-22,8249
2015-11-23,7995
2015-11-24,7995
2015-11-25,8109
2015-11-26,8109
2015-11-27,8109
2015-11-28,7900
2015-11-29,7900
2015-11-30,7900
2015-12-01,7669
2015-12-02,7669
2015-12-03,7669
2015-12-04,7834
2015-12-05,7834
2015-12-06,7935
2015-12-07,7935
2015-12-08,7935
2015-12-09,7900
2015-12-10,7900
2015-12-11,7900
2015-12-12,7782
2015-12-13,7782
2015-12-14,7782
2015-12-15,7629
2015-12-16,7629
2015-12-17,7629
2015-12-18,7264
2015-12-19,7264
2015-12-20,6959
2015-12-21,6959
2015-12-22,6959
2015-12-23,6634
2015-12-24,6634
2015-12-25,6634
2015-12-26,6409
2015-12-27,6409
2015-12-28,6483
2015-12-29,6483
2015-12-30,6348
2015-12-31,6348
2016-01-01,6348
2016-01-02,6311
2016-01-03,6311
2016-01-04,6394
2016-01-05,6394
2016-01-06,6673
2016-01-07,6673
2016-01-08,6673
2016-01-09,6953
2016-01-10,6953
2016-01-11,7121
2016-01-12,7121
2016-01-13,7039
2016-01-14,7039
2016-01-15,6892
2016-01-16,6892
2016-01-17,6892
2016-01-18,6628
2016-01-19,6628
2016-01-20,6317
2016-01-21,6317
2016-01-22,6100
2016-01-23,6100
2016-01-24,6100
2016-01-25,5891
2016-01-26,5891
2016-01-27,5889
2016-01-28,5889
2016-01-29,6020
2016-01-30,6020
2016-01-31,6020
2016-02-01,5909
2016-02-02,5909
2016-02-03,5691
2016-02-04,5691
2016-02-05,5691
2016-02-06,5608
2016-02-07,5608
2016-02-08,5608
2016-02-09,5677
2016-02-10,5677
2016-02-11,5914
2016-02-12,5914
2016-02-13,5913
2016-02-14,5913
2016-02-15,5913
2016-02-16,5774
2016-02-17,5774
2016-02-18,5774
2016-02-19,5583
2016-02-20,5583
2016-02-21,5420
2016-02-22,5420
2016-02-23,5420
2016-02-24,5420
2016-02-25,5245
2016-02-26,5245
2016-02-27,4986
2016-02-28,4986
2016-02-29,4898
2016-03-01,4898
2016-03-02,4970
2016-03-03,4970
2016-03-04,5071
2016-03-05,5071
2016-03-06,4986
2016-03-07,4986
2016-03-08,4986
2016-03-09,4994
2016-03-10,4994
2016-03-11,4896
2016-03-12,4896
2016-03-13,5010
2016-03-14,5010
2016-03-15,5188
2016-03-16,5188
2016-03-17,4989
2016-03-18,4989
2016-03-19,4983
2016-03-20,4983
2016-03-21,4921
2016-03-22,4921
2016-03-23,4921
2016-03-24,4784
2016-03-25,4784
2016-03-26,4746
2016-03-27,4746
2016-03-28,4867
2016-03-29,4867
2016-03-30,4867
2016-03-31,4876
2016-04-01,4876
2016-04-02,5009
2016-04-03,5009
2016-04-04,5001
2016-04-05,5001
2016-04-06,5001
2016-04-07,5082
2016-04-08,5082
2016-04-09,5053
2016-04-10,5053
2016-04-11,5112
2016-04-12,5112
2016-04-14,5201
2016-04-15,5282
2016-04-16,5282
2016-04-17,5239
2016-04-18,5239
2016-04-19,5304
2016-04-20,5304
2016-04-21,5143
2016-04-22,5143
2016-04-23,5143
2016-04-24,5022
2016-04-25,5022
2016-04-26,4883
2016-04-27,4883
2016-04-28,5009
2016-04-29,5009
2016-04-30,5007
2016-05-01,5007
2016-05-02,5007
2016-05-03,4968
2016-05-04,4968
2016-05-05,4833
2016-05-06,4833
2016-05-07,4621
2016-05-08,4621
2016-05-09,4518
2016-05-10,4518
2016-05-11,4331
2016-05-12,4331
2016-05-13,4225
2016-05-14,4225
2016-05-15,4218
2016-05-16,4218
2016-05-17,4275
2016-05-18,4275
2016-05-19,4346
2016-05-22,4399
2016-05-23,4399
2016-05-24,4399
2016-05-25,4462
2016-05-26,4462
2016-05-27,4513
2016-05-28,4513
2016-05-29,4683
2016-05-30,4683
2016-05-31,4683
2016-06-01,4876
2016-06-02,4876
2016-06-03,4876
2016-06-04,4839
2016-06-05,4839
2016-06-06,4738
2016-06-07,4738
2016-06-08,4738
2016-06-09,4559
2016-06-10,4559
2016-06-11,4354
2016-06-12,4354
2016-06-13,4354
2016-06-14,4136
2016-06-15,4136
2016-06-16,4136
2016-06-17,3988
2016-06-18,3988
2016-06-19,4063
2016-06-20,4063
2016-06-21,4052
2016-06-22,4052
2016-06-23,3882
2016-06-24,3882
2016-06-25,3744
2016-06-26,3744
2016-06-27,3744
2016-06-28,3853
2016-06-29,3853
2016-06-30,3929
2016-07-01,4026
2016-07-02,4026
2016-07-03,4051
2016-07-04,4051
2016-07-05,4177
2016-07-06,4253
2016-07-07,4253
2016-07-08,4362
2016-07-09,4362
2016-07-10,4336
2016-07-11,4229
2016-07-12,4060
2016-07-13,4060
2016-07-14,3892
2016-07-15,3892
2016-07-16,3888
2016-07-17,3888
2016-07-18,3868
2016-07-23,3699
2016-07-24,3845
2016-07-25,3845
2016-07-26,3951
2016-07-27,3951
2016-07-28,4136
2016-07-29,4136
2016-07-30,4317
2016-07-31,4317
2016-08-01,4417
2016-08-02,4417
2016-08-03,4552
2016-08-04,4552
2016-08-05,4552
2016-08-06,4763
2016-08-07,4763
2016-08-08,4957
2016-08-09,4957
2016-08-10,5165
2016-08-11,5165
2016-08-12,5300
2016-08-13,5300
2016-08-14,5405
2016-08-15,5405
2016-08-16,5482
2016-08-17,5482
2016-08-18,5482
2016-08-19,5433
2016-08-20,5433
2016-08-21,5498
2016-08-22,5498
2016-08-23,5426
2016-08-24,5426
2016-08-25,5426
2016-08-26,5613
2016-08-28,5613
2016-08-31,5626
2016-09-01,5671
2016-09-02,5671
2016-09-03,5671
2016-09-04,5612
2016-09-05,5612
2016-09-06,5612
2016-09-07,5553
2016-09-08,5553
2016-09-09,5553
2016-09-10,5662
2016-09-11,5662
2016-09-12,5662
2016-09-13,5747
2016-09-14,5747
