date_obj,Grain price
2015-03-26,20
2015-03-27,20
2015-03-28,21
2015-03-29,21
2015-03-30,22
2015-03-31,22
2015-04-01,22
2015-04-02,20
2015-04-03,20
2015-04-04,20
2015-04-05,20
2015-04-06,20
2015-04-07,21
2015-04-08,21
2015-04-09,21
2015-04-10,22
2015-04-11,22
2015-04-12,24
2015-04-13,24
2015-04-14,24
2015-04-15,26
2015-04-16,26
2015-04-17,28
2015-04-18,28
2015-04-19,29
2015-04-20,29
2015-04-21,29
2015-04-22,31
2015-04-23,31
2015-04-24,33
2015-04-25,33
2015-04-26,33
2015-04-27,34
2015-04-28,34
2015-04-29,34
2015-04-30,35
2015-05-01,35
2015-05-02,36
2015-05-03,36
2015-05-04,36
2015-05-05,38
2015-05-06,38
2015-05-07,40
2015-05-08,40
2015-05-09,40
2015-05-10,40
2015-05-11,40
2015-05-12,41
2015-05-13,41
2015-05-14,41
2015-05-15,42
2015-05-16,42
2015-05-17,43
2015-05-18,43
2015-05-19,43
2015-05-20,45
2015-05-21,45
2015-05-22,45
2015-05-23,48
2015-05-24,48
2015-05-25,51
2015-05-26,51
2015-05-27,51
2015-05-28,51
2015-05-29,51
2015-05-30,51
2015-05-31,51
2015-06-01,51
2015-06-02,51
2015-06-03,51
2015-06-04,51
2015-06-05,51
2015-06-06,51
2015-06-07,51
2015-06-08,50
2015-06-09,50
2015-06-10,50
2015-06-11,50
2015-06-12,50
2015-06-13,52
2015-06-14,52
2015-06-15,51
2015-06-16,51
2015-06-17,50
2015-06-18,50
2015-06-19,50
2015-06-20,50
2015-06-21,50
2015-06-22,50
2015-06-23,51
2015-06-24,51
2015-06-25,52
2015-06-26,52
2015-06-27,52
2015-06-28,52
2015-06-29,51
2015-06-30,51
2015-07-01,52
2015-07-02,52
2015-07-03,52
2015-07-04,52
2015-07-05,52
2015-07-06,52
2015-07-07,52
2015-07-08,52
2015-07-09,52
2015-07-10,52
2015-07-11,52
2015-07-12,52
2015-07-13,50
2015-07-14,50
2015-07-15,51
2015-07-16,51
2015-07-17,50
2015-07-18,50
2015-07-19,49
2015-07-20,49
2015-07-21,48
2015-07-22,48
2015-07-23,48
2015-07-24,49
2015-07-25,49
2015-07-26,49
2015-07-27,50
2015-07-28,50
2015-07-29,50
2015-07-30,50
2015-07-31,50
2015-08-01,51
2015-08-02,51
2015-08-03,52
2015-08-04,52
2015-08-05,53
2015-08-06,53
2015-08-07,55
2015-08-08,55
2015-08-09,54
2015-08-10,54
2015-08-11,54
2015-08-12,54
2015-08-13,54
2015-08-14,54
2015-08-15,54
2015-08-16,54
2015-08-17,54
2015-08-18,54
2015-08-19,54
2015-08-20,52
2015-08-21,52
2015-08-22,49
2015-08-23,49
2015-08-24,46
2015-08-25,46
2015-08-26,46
2015-08-27,43
2015-08-28,43
2015-08-29,41
2015-08-30,41
2015-08-31,41
2015-09-01,38
2015-09-02,38
2015-09-03,38
2015-09-04,36
2015-09-05,36
2015-09-06,36
2015-09-07,34
2015-09-08,34
2015-09-09,33
2015-09-10,33
2015-09-11,32
2015-09-12,32
2015-09-13,30
2015-09-14,30
2015-09-15,28
2015-09-16,28
2015-09-17,28
2015-09-18,26
2015-09-19,26
2015-09-20,26
2015-09-21,26
2015-09-22,24
2015-09-23,24
2015-09-24,24
2015-09-25,25
2015-09-27,25
2015-09-28,25
2015-09-29,25
2015-09-30,24
2015-10-05,25
