date_obj,Bandos%20godsword price
2015-03-26,3188120
2015-03-27,3188120
2015-03-28,3153641
2015-03-29,3168120
2015-03-30,3145239
2015-03-31,3119464
2015-04-01,3094464
2015-04-02,3095620
2015-04-03,3095470
2015-04-04,3118354
2015-04-05,3132651
2015-04-06,3112240
2015-04-07,3086104
2015-04-08,3088293
2015-04-09,3083457
2015-04-10,3130014
2015-04-11,3202436
2015-04-12,3283340
2015-04-13,3235375
2015-04-14,3338336
2015-04-15,3505253
2015-04-16,3680516
2015-04-17,3864542
2015-04-18,4057770
2015-04-19,4260659
2015-04-20,4458039
2015-04-21,4680941
2015-04-22,4894521
2015-04-23,5139248
2015-04-24,5363348
2015-04-25,5283805
2015-04-26,5034406
2015-04-27,4783867
2015-04-28,4544673
2015-04-29,4332116
2015-04-30,4117684
2015-05-01,4097906
2015-05-02,4187130
2015-05-03,4252878
2015-05-04,4273088
2015-05-05,4286991
2015-05-06,4263425
2015-05-07,4227521
2015-05-08,4224489
2015-05-09,4250931
2015-05-10,4315451
2015-05-11,4315451
2015-05-12,4341063
2015-05-13,4289870
2015-05-14,4276006
2015-05-15,4267020
2015-05-16,4306393
2015-05-17,4290909
2015-05-18,4275579
2015-05-19,4265537
2015-05-20,4265537
2015-05-21,4231107
2015-05-22,4203567
2015-05-23,4177226
2015-05-24,4240533
2015-05-25,4319574
2015-05-26,4386663
2015-05-27,4389037
2015-05-28,4439255
2015-05-29,4498131
2015-05-30,4549761
2015-05-31,4571323
2015-06-01,4553502
2015-06-02,4546215
2015-06-03,4610340
2015-06-04,4777727
2015-06-05,4742398
2015-06-06,4708427
2015-06-07,4667619
2015-06-08,4634883
2015-06-09,4660589
2015-06-10,4657539
2015-06-11,4690226
2015-06-12,4681957
2015-06-13,4776206
2015-06-14,4805593
2015-06-15,4895027
2015-06-16,4851759
2015-06-17,4740416
2015-06-18,4657728
2015-06-19,4562585
2015-06-20,4518302
2015-06-21,4407219
2015-06-22,4283875
2015-06-23,4258016
2015-06-24,4205854
2015-06-25,4174589
2015-06-26,4138447
2015-06-27,4181992
2015-06-28,4159320
2015-06-29,4160424
2015-06-30,4153455
2015-07-01,4170370
2015-07-02,4249316
2015-07-03,4275425
2015-07-04,4279675
2015-07-05,4285266
2015-07-06,4337008
2015-07-07,4321386
2015-07-08,4297593
2015-07-09,4306871
2015-07-10,4311513
2015-07-11,4267768
2015-07-12,4242690
2015-07-13,4199908
2015-07-14,4179530
2015-07-15,4144999
2015-07-16,4154120
2015-07-17,4169378
2015-07-18,4326312
2015-07-19,4439166
2015-07-20,4435534
2015-07-21,4437001
2015-07-22,4424435
2015-07-23,4470726
2015-07-24,4478989
2015-07-25,4463488
2015-07-26,4507628
2015-07-27,4552332
2015-07-28,4522937
2015-07-29,4506871
2015-07-30,4496132
2015-07-31,4489617
2015-08-01,4492544
2015-08-02,4613165
2015-08-03,4632932
2015-08-04,4720922
2015-08-05,4832020
2015-08-06,4801945
2015-08-07,4765529
2015-08-08,4714938
2015-08-09,4720707
2015-08-10,4690777
2015-08-11,4671974
2015-08-12,4662836
2015-08-13,4597091
2015-08-14,4549670
2015-08-15,4523353
2015-08-16,4480168
2015-08-17,4413894
2015-08-18,4354192
2015-08-19,4286571
2015-08-20,4237116
2015-08-21,4218054
2015-08-22,4246953
2015-08-23,4338276
2015-08-24,4316966
2015-08-25,4325251
2015-08-26,4349941
2015-08-27,4329928
2015-08-28,4309812
2015-08-29,4308183
2015-08-30,4298988
2015-08-31,4287655
2015-09-01,4248962
2015-09-02,4224162
2015-09-03,4209256
2015-09-04,4166084
2015-09-05,4121946
2015-09-06,4151774
2015-09-07,4164718
2015-09-08,4162825
2015-09-09,4148118
2015-09-10,4057628
2015-09-11,4054520
2015-09-12,4089408
2015-09-13,4121311
2015-09-14,4108874
2015-09-15,4071727
2015-09-16,4049473
2015-09-17,4019466
2015-09-18,4053452
2015-09-19,4079090
2015-09-20,4067347
2015-09-21,4014952
2015-09-22,3994067
2015-09-23,3938256
2015-09-24,3944555
2015-09-25,3932405
2015-09-27,3864037
2015-09-28,3835779
2015-09-29,3823996
2015-09-30,3797142
2015-10-05,4355030
2015-10-06,4320279
2015-10-07,4251893
2015-10-08,4116464
2015-10-09,4045606
2015-10-10,4019930
2015-10-11,3985406
2015-10-12,3914412
2015-10-13,3893868
2015-10-14,3871347
2015-10-15,3857276
2015-10-16,3920196
2015-10-17,3952639
2015-10-18,3998454
2015-10-19,3973095
2015-10-20,3996580
2015-10-22,4014920
2015-10-23,4028959
2015-10-24,4094378
2015-10-25,4186032
2015-10-26,4222372
2015-10-27,4273351
2015-10-28,4259964
2015-10-29,4199757
2015-10-30,4151030
2015-10-31,4135694
2015-11-01,4121663
2015-11-02,3999595
2015-11-03,3910792
2015-11-04,3840606
2015-11-05,3723255
2015-11-06,3729236
2015-11-07,3680497
2015-11-08,3722125
2015-11-09,3738194
2015-11-10,3753948
2015-11-11,3756828
2015-11-12,3689351
2015-11-13,3630284
2015-11-14,3568272
2015-11-15,3519135
2015-11-16,3491311
2015-11-17,3460299
2015-11-18,3390971
2015-11-19,3333273
2015-11-20,3383935
2015-11-21,3422678
2015-11-22,3473395
2015-11-23,3507086
2015-11-24,3531211
2015-11-25,3514284
2015-11-26,3446087
2015-11-27,3368177
2015-11-28,3317208
2015-11-29,3323175
2015-11-30,3279224
2015-12-01,3303502
2015-12-02,3274717
2015-12-03,3279628
2015-12-04,3340206
2015-12-05,3323134
2015-12-06,3322220
2015-12-07,3316878
2015-12-08,3343209
2015-12-09,3331992
2015-12-10,3390822
2015-12-11,3380465
2015-12-12,3400882
2015-12-13,3392834
2015-12-14,3385985
2015-12-15,3355038
2015-12-16,3362462
2015-12-17,3441472
2015-12-18,3477779
2015-12-19,3595411
2015-12-20,3657169
2015-12-21,3672770
2015-12-22,3714666
2015-12-23,3804827
2015-12-24,3849299
2015-12-25,3864992
2015-12-26,3922706
2015-12-27,3980968
2015-12-28,3998385
2015-12-29,4000730
2015-12-30,3970964
2015-12-31,3943153
2016-01-01,3936078
2016-01-02,3926842
2016-01-03,3923037
2016-01-04,3901118
2016-01-05,3882216
2016-01-06,3865852
2016-01-07,3830765
2016-01-08,3821782
2016-01-09,3839119
2016-01-10,3831556
2016-01-11,3824217
2016-01-12,3803284
2016-01-13,3864891
2016-01-14,3870017
2016-01-15,3864280
2016-01-16,3860740
2016-01-17,3846671
2016-01-18,3833329
2016-01-19,3828458
2016-01-20,3743396
2016-01-21,3556234
2016-01-22,3380423
2016-01-23,3265955
2016-01-24,3275969
2016-01-25,3335721
2016-01-26,3414466
2016-01-27,3475122
2016-01-28,3493971
2016-01-29,3503341
2016-01-30,3532804
2016-01-31,3538917
2016-02-01,3551801
2016-02-02,3545999
2016-02-03,3521502
2016-02-04,3494315
2016-02-05,3470227
2016-02-06,3447118
2016-02-07,3408124
2016-02-08,3378204
2016-02-09,3339457
2016-02-10,3315194
2016-02-11,3306950
2016-02-12,3295735
2016-02-13,3303419
2016-02-14,3334220
2016-02-15,3363961
2016-02-16,3413055
2016-02-17,3390750
2016-02-18,3313092
2016-02-19,3284174
2016-02-20,3297966
2016-02-21,3263603
2016-02-22,3236133
2016-02-23,3175105
2016-02-24,3082291
2016-02-25,3070017
2016-02-26,3090166
2016-02-27,3083482
2016-02-28,3076827
2016-02-29,3042133
2016-03-01,3018025
2016-03-02,3008218
2016-03-03,3016873
2016-03-04,3010236
2016-03-05,3026519
2016-03-06,3019710
2016-03-07,3005457
2016-03-08,2997097
2016-03-09,2995447
2016-03-10,3006981
2016-03-11,3041015
2016-03-12,3052010
2016-03-13,3040746
2016-03-14,3002220
2016-03-15,2980621
2016-03-16,2937595
2016-03-17,2903392
2016-03-18,2885696
2016-03-19,2890340
2016-03-20,2900280
2016-03-21,2905717
2016-03-22,2891298
2016-03-23,2886292
2016-03-24,2929411
2016-03-25,2937520
2016-03-26,2941173
2016-03-27,2964241
2016-03-28,2937188
2016-03-29,2907100
2016-03-30,2873620
2016-03-31,2839788
2016-04-01,2742178
2016-04-02,2732596
2016-04-03,2680651
2016-04-04,2653790
2016-04-05,2726416
2016-04-06,2727146
2016-04-07,2717189
2016-04-08,2706333
2016-04-09,2707327
2016-04-10,2681065
2016-04-11,2647638
2016-04-12,2622029
2016-04-13,2622823
2016-04-14,2613229
2016-04-15,2641867
2016-04-16,2711267
2016-04-17,2752485
2016-04-18,2741110
2016-04-19,2728205
2016-04-20,2693459
2016-04-21,2684656
2016-04-22,2719047
2016-04-23,2781936
2016-04-24,2813712
2016-04-25,2948303
2016-04-26,3095674
2016-04-27,3224170
2016-04-28,3352844
2016-04-29,3404580
2016-04-30,3542701
2016-05-01,3610630
2016-05-02,3644127
2016-05-03,3535931
2016-05-04,3361524
2016-05-05,3264004
2016-05-06,3215880
2016-05-07,3165411
2016-05-08,3136235
2016-05-09,3077140
2016-05-10,3040334
2016-05-11,3031278
2016-05-12,2990417
2016-05-13,2860522
2016-05-14,2886329
2016-05-15,2931524
2016-05-16,2928431
2016-05-17,2945594
2016-05-18,2976810
2016-05-19,2942943
2016-05-22,3041351
2016-05-23,3035972
2016-05-24,3023156
2016-05-25,3010479
2016-05-26,3011941
2016-05-27,3084272
2016-05-28,3112046
2016-05-29,3101374
2016-05-30,3088366
2016-05-31,3116887
2016-06-01,3119592
2016-06-02,3105020
2016-06-03,3089198
2016-06-04,3087160
2016-06-05,3093458
2016-06-06,3099882
2016-06-07,3116513
2016-06-08,3102866
2016-06-09,3081673
2016-06-10,3076482
2016-06-11,3075034
2016-06-12,3063951
2016-06-13,3024399
2016-06-14,2980965
2016-06-15,2971042
2016-06-16,2971095
2016-06-17,2949029
2016-06-18,2926669
2016-06-19,2874794
2016-06-20,2744183
2016-06-21,2738119
2016-06-22,2724684
2016-06-23,2750889
2016-06-24,2756707
2016-06-25,2783305
2016-06-26,2759240
2016-06-27,2749939
2016-06-28,2734248
2016-06-29,2706412
2016-06-30,2702594
2016-07-01,2752054
2016-07-02,2766019
2016-07-03,2781355
2016-07-04,2762037
2016-07-05,2754865
2016-07-06,2826276
2016-07-07,2907207
2016-07-08,2922273
2016-07-09,3032846
2016-07-10,3051403
2016-07-11,2995522
2016-07-12,2993628
2016-07-13,2998891
2016-07-14,2998754
2016-07-15,2964360
2016-07-16,2946134
2016-07-17,2945418
2016-07-18,2935017
2016-07-23,2944998
2016-07-24,2946819
2016-07-25,2924468
2016-07-26,2932828
2016-07-27,2911080
2016-07-28,2910287
2016-07-29,2959392
2016-07-30,3063581
2016-07-31,3054188
2016-08-01,3035781
2016-08-02,3093170
2016-08-03,3047977
2016-08-04,3020865
2016-08-05,3003764
2016-08-06,3006939
2016-08-07,2987546
2016-08-08,2938993
2016-08-09,2966992
2016-08-10,2956508
2016-08-11,2985145
2016-08-12,3003056
2016-08-13,2986046
2016-08-14,2982046
2016-08-15,2990287
2016-08-16,3005068
2016-08-17,2993397
2016-08-18,2947027
2016-08-19,2973494
2016-08-20,3043468
2016-08-21,2999855
2016-08-22,3016130
2016-08-23,2995222
2016-08-24,2958355
2016-08-25,2911055
2016-08-26,2930455
2016-08-28,3080460
2016-08-31,3051468
2016-09-01,3005750
2016-09-02,3013042
2016-09-03,3034646
2016-09-04,3090748
2016-09-05,3102039
2016-09-06,3218684
2016-09-07,3221801
2016-09-08,3181179
2016-09-09,3151557
2016-09-10,3087280
2016-09-11,3045284
2016-09-12,2997469
2016-09-13,2915562
2016-09-14,2882245
2016-09-15,2893592
2016-09-16,2923775
2016-09-17,2965032
2016-09-18,2964281
2016-09-19,2971418
2016-09-20,2960343
2016-09-21,2949276
2016-09-22,2928838
2016-09-23,2947849
2016-09-24,2950212
2016-09-25,2948582
2016-09-26,2973915
2016-09-27,2958416
2016-09-28,2915718
2016-09-29,2859696
2016-09-30,2859042
2016-10-01,2871164
2016-10-02,2843776
2016-10-03,2798029
