date_obj,Jar%20of%20swamp price
2015-03-26,391385
2015-03-27,391385
2015-03-28,375501
2015-03-29,375501
2015-03-30,375501
2015-03-31,375501
2015-04-01,375501
2015-04-02,358485
2015-04-03,358485
2015-04-04,358485
2015-04-05,358485
2015-04-06,342570
2015-04-07,342570
2015-04-08,342570
2015-04-09,342570
2015-04-10,327283
2015-04-11,327283
2015-04-12,327283
2015-04-13,312492
2015-04-14,312492
2015-04-15,312492
2015-04-16,298236
2015-04-17,298236
2015-04-18,298236
2015-04-19,298236
2015-04-20,284494
2015-04-21,284494
2015-04-22,284494
2015-04-23,271641
2015-04-24,271641
2015-04-25,271641
2015-04-26,271641
2015-04-27,259657
2015-04-28,259657
2015-04-29,259657
2015-04-30,248379
2015-05-01,248379
2015-05-02,248379
2015-05-03,248379
2015-05-04,237005
2015-05-05,237005
2015-05-06,237005
2015-05-07,226102
2015-05-08,226102
2015-05-09,226102
2015-05-10,226021
2015-05-11,226021
2015-05-12,226021
2015-05-13,226021
2015-05-14,219697
2015-05-15,219697
2015-05-16,219697
2015-05-17,219697
2015-05-18,209113
2015-05-19,209113
2015-05-20,209113
2015-05-21,209113
2015-05-22,209113
2015-05-23,209113
2015-05-24,200678
2015-05-25,200678
2015-05-26,200678
2015-05-27,200678
2015-05-28,200678
2015-05-29,191752
2015-05-30,191752
2015-05-31,191752
2015-06-01,187830
2015-06-02,187830
2015-06-03,187830
2015-06-04,187830
2015-06-05,187830
2015-06-06,183186
2015-06-07,183186
2015-06-08,183186
2015-06-09,183186
2015-06-10,183186
2015-06-11,183186
2015-06-12,186390
2015-06-13,186390
2015-06-14,186390
2015-06-15,186390
2015-06-16,186390
2015-06-17,188726
2015-06-18,188726
2015-06-19,188726
2015-06-20,188726
2015-06-21,188726
2015-06-22,181452
2015-06-23,181452
2015-06-24,181452
2015-06-25,181452
2015-06-26,175013
2015-06-27,175013
2015-06-28,175013
2015-06-29,175013
2015-06-30,175013
2015-07-01,175013
2015-07-02,175013
2015-07-03,166614
2015-07-04,166614
2015-07-05,166614
2015-07-06,166614
2015-07-07,166614
2015-07-08,158723
2015-07-09,158723
2015-07-10,158723
2015-07-11,158723
2015-07-12,158723
2015-07-13,151786
2015-07-14,151786
2015-07-15,151786
2015-07-16,151786
2015-07-17,144689
2015-07-18,144689
2015-07-19,144689
2015-07-20,144689
2015-07-21,144689
2015-07-22,138433
2015-07-23,138433
2015-07-24,138433
2015-07-25,138433
2015-07-26,138433
2015-07-27,138433
2015-07-28,131936
2015-07-29,131936
2015-07-30,131936
2015-07-31,131936
2015-08-01,125863
2015-08-02,125863
2015-08-03,125863
2015-08-04,125863
2015-08-05,120607
2015-08-06,120607
2015-08-07,120607
2015-08-08,120607
2015-08-09,116286
2015-08-10,116286
2015-08-11,116286
2015-08-12,116286
2015-08-13,116286
2015-08-14,110919
2015-08-15,110919
2015-08-16,110919
2015-08-17,110919
2015-08-18,110919
2015-08-19,105728
2015-08-20,105728
2015-08-21,105728
2015-08-22,105728
2015-08-23,105728
2015-08-24,100871
2015-08-25,100871
2015-08-26,100871
2015-08-27,97007
2015-08-28,97007
2015-08-29,97007
2015-08-30,97007
2015-08-31,97785
2015-09-01,97785
2015-09-02,97785
2015-09-03,97785
2015-09-04,93241
2015-09-05,93241
2015-09-06,93241
2015-09-07,93241
2015-09-08,93241
2015-09-09,89226
2015-09-10,89226
2015-09-11,89226
2015-09-12,89226
2015-09-13,84982
2015-09-14,84982
2015-09-15,84982
2015-09-16,84982
2015-09-17,80924
2015-09-18,80924
2015-09-19,80924
2015-09-20,80924
2015-09-21,80924
2015-09-22,77302
2015-09-23,77302
2015-09-24,77302
2015-09-25,77302
2015-09-27,73923
2015-09-28,73923
2015-09-29,73923
2015-09-30,73923
2015-10-05,72105
2015-10-06,72105
2015-10-07,75168
2015-10-08,75168
2015-10-09,75168
2015-10-10,75168
2015-10-11,74522
2015-10-12,74522
2015-10-13,74522
2015-10-14,74522
2015-10-15,74221
2015-10-16,74221
2015-10-17,74221
2015-10-18,74221
2015-10-19,77448
2015-10-20,77448
2015-10-22,77448
2015-10-23,80838
2015-10-24,80838
2015-10-25,80838
2015-10-26,80838
2015-10-27,80838
2015-10-29,80313
2015-10-30,80313
2015-10-31,80313
2015-11-01,80313
2015-11-02,80313
2015-11-03,80313
2015-11-04,80313
2015-11-05,80313
2015-11-06,80313
2015-11-07,77945
2015-11-08,77945
2015-11-09,77945
2015-11-10,77945
2015-11-11,77945
2015-11-12,77945
2015-11-13,77945
2015-11-14,77945
2015-11-15,74570
2015-11-16,74570
2015-11-17,74570
2015-11-18,74570
2015-11-19,74570
2015-11-20,74570
2015-11-21,74570
2015-11-22,71664
2015-11-23,71664
2015-11-24,71664
2015-11-25,71664
2015-11-26,71664
2015-11-27,71664
2015-11-28,69669
2015-11-29,69669
2015-11-30,69669
2015-12-01,69669
2015-12-02,69669
2015-12-03,69669
2015-12-04,69669
2015-12-05,68767
2015-12-06,68767
2015-12-07,68767
2015-12-08,68767
2015-12-09,68767
2015-12-10,69286
2015-12-11,69286
2015-12-12,69286
2015-12-13,69286
2015-12-14,69286
2015-12-15,67384
2015-12-16,67384
2015-12-17,67384
2015-12-18,67384
2015-12-19,67384
2015-12-20,70216
2015-12-21,70216
2015-12-22,70216
2015-12-23,70216
2015-12-24,70216
2015-12-25,70216
2015-12-26,72730
2015-12-27,72730
2015-12-28,72730
2015-12-29,72730
2015-12-30,71864
2015-12-31,71864
2016-01-01,71864
2016-01-02,71864
2016-01-03,72052
2016-01-04,72052
2016-01-05,72052
2016-01-06,72052
2016-01-07,72052
2016-01-08,72644
2016-01-09,72644
2016-01-10,72644
2016-01-11,72644
2016-01-12,72644
2016-01-13,72644
2016-01-14,69839
2016-01-15,69839
2016-01-16,69839
2016-01-17,69839
2016-01-18,69678
2016-01-19,69678
2016-01-20,69678
2016-01-21,69678
2016-01-22,69678
2016-01-23,69524
2016-01-24,69524
2016-01-25,69524
2016-01-26,69524
2016-01-27,72398
2016-01-28,72398
2016-01-29,72398
2016-01-30,72398
2016-01-31,72398
2016-02-01,74657
2016-02-02,74657
2016-02-03,74657
2016-02-04,74657
2016-02-05,77394
2016-02-06,77394
2016-02-07,77394
2016-02-08,77394
2016-02-09,80815
2016-02-10,80815
2016-02-11,80815
2016-02-12,80815
2016-02-13,83102
2016-02-14,83102
2016-02-15,83102
2016-02-16,83102
2016-02-17,83102
2016-02-18,83102
2016-02-19,83102
2016-02-20,87102
2016-02-21,87102
2016-02-22,87102
2016-02-23,87102
2016-02-24,91032
2016-02-25,91032
2016-02-26,91032
2016-02-27,95051
2016-02-28,95051
2016-02-29,95051
2016-03-01,95051
2016-03-02,95051
2016-03-03,99489
2016-03-04,99489
2016-03-05,99489
2016-03-06,99489
2016-03-07,99489
2016-03-08,99618
2016-03-09,99618
2016-03-10,99618
2016-03-11,99618
2016-03-12,95903
2016-03-13,95903
2016-03-14,95903
2016-03-15,95903
2016-03-16,95903
2016-03-17,93885
2016-03-18,93885
2016-03-19,93885
2016-03-20,93885
2016-03-21,93885
2016-03-22,90993
2016-03-23,90993
2016-03-24,90993
2016-03-25,90993
2016-03-26,90993
2016-03-27,90993
2016-03-28,87546
2016-03-29,87546
2016-03-30,87546
2016-03-31,87546
2016-04-01,87546
2016-04-02,87546
2016-04-03,84567
2016-04-04,84567
2016-04-05,84567
2016-04-06,84567
2016-04-07,84567
2016-04-08,80574
2016-04-09,80574
2016-04-10,80574
2016-04-11,80574
2016-04-12,80574
2016-04-13,76853
2016-04-14,76853
2016-04-15,76853
2016-04-16,76853
2016-04-17,74142
2016-04-18,74142
2016-04-19,74142
2016-04-20,74142
2016-04-21,71056
2016-04-22,71056
2016-04-23,71056
2016-04-24,71056
2016-04-25,69132
2016-04-26,69132
2016-04-27,69132
2016-04-28,69132
2016-04-29,70595
2016-04-30,70595
2016-05-01,70595
2016-05-02,70595
2016-05-03,74086
2016-05-04,74086
2016-05-05,74086
2016-05-06,74086
2016-05-07,75088
2016-05-08,75088
2016-05-09,75088
2016-05-10,75088
2016-05-11,75088
2016-05-12,78675
2016-05-13,78675
2016-05-14,78675
2016-05-15,82098
2016-05-16,82098
2016-05-17,82098
2016-05-18,82098
2016-05-19,85774
2016-05-22,85774
2016-05-23,85774
2016-05-24,86171
2016-05-25,86171
2016-05-26,86171
2016-05-27,86171
2016-05-28,82125
2016-05-29,82125
2016-05-30,82125
2016-05-31,82125
2016-06-01,78669
2016-06-02,78669
2016-06-03,78669
2016-06-04,78669
2016-06-05,78669
2016-06-06,74778
2016-06-07,74778
2016-06-08,74778
2016-06-09,74778
2016-06-10,74778
2016-06-11,71244
2016-06-12,71244
2016-06-13,71244
2016-06-14,71244
2016-06-15,71020
2016-06-16,71020
2016-06-17,74392
2016-06-18,74392
2016-06-19,78112
2016-06-20,78112
2016-06-21,81466
2016-06-22,81466
2016-06-23,81466
2016-06-24,81707
2016-06-25,81707
2016-06-26,81707
2016-06-27,81707
2016-06-28,80521
2016-06-29,80521
2016-06-30,80521
2016-07-01,76700
2016-07-02,76700
2016-07-03,76700
2016-07-04,75169
2016-07-05,75169
2016-07-06,75169
2016-07-07,75169
2016-07-08,71929
2016-07-09,71929
2016-07-10,71929
2016-07-11,73244
2016-07-12,73244
2016-07-13,76738
2016-07-14,80512
2016-07-15,80512
2016-07-16,84366
2016-07-17,84366
2016-07-18,88412
