date_obj,Ham%20joint price
2019-04-11,100000
2019-04-11,104294
2019-04-12,109249
2019-04-13,109249
2019-04-14,114496
2019-04-15,5800000
2019-04-16,5800000
2019-04-17,5800000
2019-04-18,5800000
2019-04-19,5510000
2019-04-20,5510000
2019-04-21,5510000
2019-04-22,5234500
2019-04-23,5234500
2019-04-24,4981250
2019-04-25,4981250
2019-04-26,4981250
2019-04-27,4732187
2019-04-28,4732187
2019-04-29,4732187
2019-04-30,4732187
2019-05-01,4495577
2019-05-02,4495577
2019-05-03,4495577
2019-05-04,4276925
2019-05-05,4276925
2019-05-06,4276925
2019-05-07,4276925
2019-05-08,4276925
2019-05-09,4067351
2019-05-10,4067351
2019-05-11,4067351
2019-05-12,4067351
2019-05-13,3868978
2019-05-14,3868978
2019-05-15,3868978
2019-05-16,3868978
2019-05-17,3868978
2019-05-18,3680963
2019-05-19,3680963
2019-05-20,3680963
2019-05-21,3680963
2019-05-22,3680963
2019-05-23,3506344
2019-05-24,3506344
2019-05-25,3506344
2019-05-26,3506344
2019-05-27,3506344
2019-05-28,3337353
2019-05-29,3337353
2019-05-30,3337353
2019-05-31,3337353
2019-06-01,3337353
2019-06-02,3337353
2019-06-03,3171182
2019-06-04,3171182
2019-06-05,3171182
2019-06-06,3171182
2019-06-07,3171182
2019-06-08,3066899
2019-06-09,3066899
2019-06-10,3066899
2019-06-11,3066899
2019-06-12,3066899
2019-06-13,3066899
2019-06-14,2929469
2019-06-15,2929469
2019-06-16,2929469
2019-06-17,2929469
2019-06-18,2929469
2019-06-19,2929469
2019-06-20,2820189
2019-06-21,2820189
2019-06-22,2820189
2019-06-23,2820189
2019-06-24,2820189
2019-06-25,2820189
2019-06-26,2738160
2019-06-27,2738160
2019-06-28,2738160
2019-06-29,2738160
2019-06-30,2738160
2019-07-01,2738160
2019-07-02,2724184
2019-07-03,2724184
2019-07-04,2724184
2019-07-05,2724184
2019-07-06,2724184
2019-07-07,2724184
2019-07-08,2854824
2019-07-09,2854824
2019-07-10,2854824
2019-07-11,2854824
2019-07-12,2854824
2019-07-13,2854824
2019-07-14,2931776
2019-07-15,2931776
2019-07-16,2931776
2019-07-17,2931776
2019-07-18,2931776
2019-07-19,2931776
2019-07-20,3043383
2019-07-21,3043383
2019-07-22,3043383
2019-07-23,3043383
2019-07-24,3043383
2019-07-25,3043383
2019-07-26,3186474
2019-07-27,3186474
2019-07-28,3186474
2019-07-29,3186474
2019-07-30,3186474
2019-07-31,3186474
2019-08-01,3338982
2019-08-02,3338982
2019-08-03,3338982
2019-08-04,3338982
2019-08-05,3338982
2019-08-06,3338982
2019-08-07,3491509
2019-08-08,3491509
2019-08-09,3491509
2019-08-10,3491509
2019-08-11,3491509
2019-08-12,3491509
2019-08-13,3646043
2019-08-14,3646043
2019-08-15,3646043
2019-08-16,3646043
2019-08-17,3646043
2019-08-18,3646043
2019-08-19,3613818
2019-08-20,3613818
2019-08-21,3613818
2019-08-22,3613818
2019-08-23,3613818
2019-08-24,3488427
2019-08-24,3488427
2019-08-25,3488427
2019-08-25,3488427
2019-08-26,3488427
2019-08-26,3488427
2019-08-27,3488427
2019-08-27,3488427
2019-08-28,3488427
2019-08-29,3488427
2019-08-30,3655633
2019-08-31,3655633
2019-09-01,3655633
2019-09-02,3655633
2019-09-03,3786839
2019-09-04,3786839
2019-09-05,3786839
2019-09-06,3786839
2019-09-07,3786839
2019-09-08,3604776
2019-09-09,3604776
2019-09-10,3604776
2019-09-11,3604776
2019-09-12,3604776
2019-09-13,3604776
2019-09-14,3428114
2019-09-15,3428114
2019-09-16,3428114
2019-09-17,3428114
2019-09-18,3265204
2019-09-19,3265204
2019-09-20,3265204
2019-09-21,3265204
2019-09-22,3265204
2019-09-23,3109525
2019-09-24,3109525
2019-09-25,3109525
2019-09-26,3109525
2019-09-27,3109525
2019-09-28,3109525
2019-09-29,2967303
2019-09-30,2967303
2019-10-01,2967303
2019-10-02,2967303
2019-10-03,2967303
2019-10-04,2967303
2019-10-05,2826143
2019-10-06,2826143
2019-10-07,2826143
2019-10-08,2826143
2019-10-09,2826143
2019-10-10,2702528
2019-10-11,2702528
2019-10-12,2702528
