date_obj,Jar%20of%20miasma price
2015-10-05,550000
2015-10-06,550000
2015-10-07,550000
2015-10-08,550000
2015-10-09,557006
2015-10-10,557006
2015-10-11,557006
2015-10-12,557006
2015-10-13,557006
2015-10-14,557006
2015-10-15,557006
2015-10-16,557006
2015-10-17,557006
2015-10-18,557006
2015-10-19,557006
2015-10-20,557006
2015-10-22,557006
2015-10-23,557006
2015-10-24,557006
2015-10-25,557006
2015-10-26,557006
2015-10-27,557006
2015-10-29,557006
2015-10-30,557006
2015-10-31,557006
2015-11-01,557006
2015-11-02,557006
2015-11-03,557006
2015-11-04,557006
2015-11-05,557006
2015-11-06,557006
2015-11-07,557006
2015-11-08,557006
2015-11-09,557006
2015-11-10,557006
2015-11-11,557006
2015-11-12,557006
2015-11-13,557006
2015-11-14,557006
2015-11-15,557006
2015-11-16,557006
2015-11-17,557006
2015-11-18,557006
2015-11-19,538951
2015-11-20,538951
2015-11-21,538951
2015-11-22,538951
2015-11-23,538951
2015-11-24,538951
2015-11-25,538951
2015-11-26,538951
2015-11-27,538951
2015-11-28,538951
2015-11-29,538951
2015-11-30,538951
2015-12-01,538951
2015-12-02,538951
2015-12-03,538951
2015-12-04,538951
2015-12-05,538951
2015-12-06,538951
2015-12-07,538951
2015-12-08,538951
2015-12-09,538951
2015-12-10,538951
2015-12-11,538951
2015-12-12,538951
2015-12-13,538951
2015-12-14,538951
2015-12-15,538951
2015-12-16,538951
2015-12-17,538951
2015-12-18,538951
2015-12-19,538951
2015-12-20,538951
2015-12-21,538951
2015-12-22,538951
2015-12-23,538951
2015-12-24,538951
2015-12-25,538951
2015-12-26,538951
2015-12-27,538951
2015-12-28,538951
2015-12-29,538951
2015-12-30,538951
2015-12-31,538951
2016-01-01,538951
2016-01-02,538951
2016-01-03,538951
2016-01-04,538951
2016-01-05,538951
2016-01-06,538951
2016-01-07,538951
2016-01-08,538951
2016-01-09,538951
2016-01-10,538951
2016-01-11,538951
2016-01-12,538951
2016-01-13,538951
2016-01-14,538951
2016-01-15,538951
2016-01-16,538951
2016-01-17,538951
2016-01-18,538951
2016-01-19,538951
2016-01-20,538951
2016-01-21,538951
2016-01-22,538951
2016-01-23,541172
2016-01-24,541172
2016-01-25,541172
2016-01-26,541172
2016-01-27,541172
2016-01-28,541172
2016-01-29,541172
2016-01-30,541172
2016-01-31,541172
2016-02-01,541172
2016-02-02,541172
2016-02-03,541172
2016-02-04,541172
2016-02-05,541172
2016-02-06,541172
2016-02-07,541172
2016-02-08,541172
2016-02-09,541172
2016-02-10,541172
2016-02-11,541172
2016-02-12,541172
2016-02-13,541172
2016-02-14,541172
2016-02-15,541172
2016-02-16,541172
2016-02-17,541172
2016-02-18,541172
2016-02-19,541172
2016-02-20,541172
2016-02-21,541172
2016-02-22,541172
2016-02-23,541172
2016-02-24,541172
2016-02-25,541172
2016-02-26,541172
2016-02-27,541172
2016-02-28,541172
2016-02-29,541172
2016-03-01,541172
2016-03-02,541172
2016-03-03,541172
2016-03-04,541172
2016-03-05,541172
2016-03-06,541172
2016-03-07,541172
2016-03-08,541172
2016-03-09,541172
2016-03-10,541172
2016-03-11,541172
2016-03-12,541172
2016-03-13,541172
2016-03-14,541172
2016-03-15,541172
2016-03-16,541172
2016-03-17,541172
2016-03-18,541172
2016-03-19,541172
2016-03-20,541172
2016-03-21,566432
2016-03-22,566432
2016-03-23,566432
2016-03-24,566432
2016-03-25,566432
2016-03-26,566432
2016-03-27,566432
2016-03-28,566432
2016-03-29,566432
2016-03-30,566432
2016-03-31,566432
2016-04-01,566432
2016-04-02,566432
2016-04-03,566432
2016-04-04,566432
2016-04-05,566432
2016-04-06,566432
2016-04-07,566432
2016-04-08,566432
2016-04-09,566432
2016-04-10,566432
2016-04-11,566432
2016-04-12,566432
2016-04-13,566432
2016-04-14,566432
2016-04-15,566432
2016-04-16,566432
2016-04-17,566432
2016-04-18,566432
2016-04-19,566432
2016-04-20,566432
2016-04-21,566432
2016-04-22,566432
2016-04-23,566432
2016-04-24,566432
2016-04-25,566432
2016-04-26,566432
2016-04-27,566432
2016-04-28,566432
2016-04-29,566432
2016-04-30,566432
2016-05-01,566432
2016-05-02,566432
2016-05-03,555494
2016-05-04,555494
2016-05-05,555494
2016-05-06,555494
2016-05-07,555494
2016-05-08,555494
2016-05-09,555494
2016-05-10,555494
2016-05-11,555494
2016-05-12,555494
2016-05-13,555494
2016-05-14,555494
2016-05-15,555494
2016-05-16,555494
2016-05-17,555494
2016-05-18,555494
2016-05-19,555494
2016-05-22,555494
2016-05-23,555494
2016-05-24,555494
2016-05-25,555494
2016-05-26,555494
2016-05-27,555494
2016-05-28,555494
2016-05-29,555494
2016-05-30,555494
2016-05-31,555494
2016-06-01,529742
2016-06-02,529742
2016-06-03,529742
2016-06-04,529742
2016-06-05,529742
2016-06-06,529742
2016-06-07,529742
2016-06-08,529742
2016-06-09,529742
2016-06-10,529742
2016-06-11,529742
2016-06-12,529742
2016-06-13,529742
2016-06-14,529742
2016-06-15,529742
2016-06-16,529742
2016-06-17,529742
2016-06-18,529742
2016-06-19,529742
2016-06-20,514878
2016-06-21,514878
2016-06-22,514878
2016-06-23,514878
2016-06-24,514878
2016-06-25,514878
2016-06-26,514878
2016-06-27,514878
2016-06-28,514878
2016-06-29,514878
2016-06-30,514878
2016-07-01,514878
2016-07-02,514878
2016-07-03,514878
2016-07-04,514878
2016-07-05,514878
2016-07-06,514878
2016-07-07,514878
2016-07-08,514878
2016-07-09,514878
2016-07-10,514878
2016-07-11,497829
2016-07-12,497829
2016-07-13,497829
2016-07-14,497829
2016-07-15,497829
2016-07-16,497829
2016-07-17,497829
2016-07-18,497829
2016-07-23,497829
2016-07-24,497829
2016-07-25,497829
2016-07-26,497829
2016-07-27,497829
2016-07-28,497829
2016-07-29,497829
2016-07-30,497829
2016-07-31,497829
2016-08-01,514821
2016-08-02,514821
2016-08-03,514821
2016-08-04,514821
2016-08-05,514821
2016-08-06,514821
2016-08-07,514821
2016-08-08,514821
2016-08-09,514821
2016-08-10,514821
2016-08-11,514821
2016-08-12,514821
2016-08-13,514821
2016-08-14,514821
2016-08-15,514821
2016-08-16,514821
2016-08-17,514821
2016-08-18,514821
2016-08-19,514821
2016-08-20,514821
2016-08-21,514821
2016-08-22,538415
2016-08-23,538415
2016-08-24,538415
2016-08-25,547340
2016-08-26,547340
2016-08-28,547340
2016-08-31,547340
2016-09-01,547340
2016-09-02,547340
2016-09-03,522224
2016-09-04,522224
2016-09-05,522224
2016-09-06,522224
2016-09-07,522224
2016-09-08,522224
2016-09-09,522224
2016-09-10,522224
2016-09-11,522224
2016-09-12,522224
2016-09-13,522224
2016-09-14,522224
2016-09-15,497746
2016-09-16,497746
2016-09-17,497746
2016-09-18,497746
2016-09-19,497746
2016-09-20,497746
2016-09-21,497746
2016-09-22,497746
2016-09-23,497746
2016-09-24,497746
2016-09-25,497746
2016-09-26,497746
2016-09-27,497746
2016-09-28,497746
2016-09-29,497746
2016-09-30,497746
2016-10-01,473930
2016-10-02,473930
2016-10-03,473930
2016-10-04,473930
2016-10-05,473930
2016-10-06,473930
2016-10-07,473930
2016-10-08,473930
2016-10-09,473930
2016-10-10,473930
2016-10-11,473930
2016-10-12,473930
2016-10-13,473930
2016-10-14,473930
2016-10-15,473930
2016-10-16,473930
2016-10-17,450902
2016-10-18,450902
2016-10-19,450902
2016-10-20,450902
2016-10-21,450902
2016-10-22,450902
2016-10-23,450902
2016-10-24,450902
2016-10-25,450902
2016-10-26,450902
2016-10-27,450902
2016-10-28,450902
2016-10-29,450902
2016-10-30,450902
2016-10-31,450902
2016-11-01,450902
2016-11-02,430090
2016-11-03,430090
2016-11-04,430090
2016-11-05,430090
2016-11-06,430090
2016-11-07,430090
2016-11-08,430090
2016-11-09,430090
2016-11-10,430090
2016-11-11,430090
2016-11-12,430090
2016-11-13,430090
2016-11-14,430090
2016-12-07,390175
2016-12-08,390175
2016-12-09,390175
2016-12-10,390175
2016-12-11,390175
2016-12-12,390175
2016-12-13,390175
2016-12-14,390175
2016-12-15,390175
2016-12-16,390175
2016-12-17,390175
2016-12-18,390175
2016-12-19,390175
2016-12-20,390175
2016-12-21,390175
2016-12-22,390175
2016-12-23,390175
2016-12-24,390175
2016-12-25,390175
2016-12-26,390175
2016-12-27,371509
2016-12-28,371509
2016-12-29,371509
2016-12-30,371509
2016-12-31,371509
2017-01-01,371509
2017-01-02,371509
2017-01-03,371509
2017-01-04,371509
2017-01-05,371509
2017-01-06,371509
2017-01-07,371509
2017-01-08,371509
2017-01-09,371509
2017-01-10,371509
2017-01-11,371509
2017-01-12,354003
2017-01-13,354003
2017-01-14,354003
2017-01-15,354003
2017-01-16,354003
2017-01-17,354003
2017-01-18,354003
2017-01-19,354003
2017-01-20,354003
2017-01-21,354003
2017-01-22,354003
2017-01-27,354003
2017-01-28,336929
2017-01-29,336929
2017-01-30,336929
2017-01-31,336929
2017-02-01,336929
2017-02-02,336929
2017-02-03,336929
2017-02-04,336929
2017-02-05,336929
2017-02-06,336929
2017-02-07,336929
2017-02-08,336929
2017-02-09,336929
2017-02-10,336929
2017-02-11,336929
2017-02-12,336929
2017-02-13,320620
2017-02-14,320620
2017-02-15,320620
2017-02-16,320620
2017-02-18,320620
2017-02-19,320620
2017-02-20,320620
2017-02-21,320620
2017-02-22,320620
2017-02-23,320620
2017-02-24,320620
2017-02-25,320620
2017-02-26,320620
2017-02-27,320620
2017-02-28,320620
2017-03-01,320620
2017-03-02,320620
2017-03-03,304890
2017-03-04,304890
2017-03-05,304890
2017-03-06,304890
2017-03-07,304890
2017-03-08,304890
2017-03-09,304890
2017-03-10,304890
2017-03-11,304890
2017-03-12,304890
