date_obj,Blue%20wizard%20robe%20(g) price
2015-03-26,308464
2015-03-27,308464
2015-03-28,300384
2015-03-29,294182
2015-03-30,283607
2015-03-31,275422
2015-04-01,266366
2015-04-02,256452
2015-04-03,247995
2015-04-04,240794
2015-04-05,235898
2015-04-06,230180
2015-04-07,224973
2015-04-08,218374
2015-04-09,217448
2015-04-10,216422
2015-04-11,217540
2015-04-12,224041
2015-04-13,234707
2015-04-14,243615
2015-04-15,251289
2015-04-16,257690
2015-04-17,265386
2015-04-18,266004
2015-04-19,262602
2015-04-20,261327
2015-04-21,262162
2015-04-22,262048
2015-04-23,261887
2015-04-24,263383
2015-04-25,262035
2015-04-26,260936
2015-04-27,258923
2015-04-28,254844
2015-04-29,253518
2015-04-30,256423
2015-05-01,252923
2015-05-02,244901
2015-05-03,236064
2015-05-04,226026
2015-05-05,215624
2015-05-06,206510
2015-05-07,200029
2015-05-08,194748
2015-05-09,190252
2015-05-10,184490
2015-05-11,179925
2015-05-12,177246
2015-05-13,175209
2015-05-14,175927
2015-05-15,175488
2015-05-16,175703
2015-05-17,176645
2015-05-18,179600
2015-05-19,184651
2015-05-20,186178
2015-05-21,187924
2015-05-22,191295
2015-05-23,194023
2015-05-24,196014
2015-05-25,198049
2015-05-26,201461
2015-05-27,203671
2015-05-28,208955
2015-05-29,212646
2015-05-30,215746
2015-05-31,217422
2015-06-01,217580
2015-06-02,217580
2015-06-03,223183
2015-06-04,228466
2015-06-05,231707
2015-06-06,233813
2015-06-07,233328
2015-06-08,237253
2015-06-09,240897
2015-06-10,241756
2015-06-11,244023
2015-06-12,246288
2015-06-13,251340
2015-06-14,254126
2015-06-15,253233
2015-06-16,256142
2015-06-17,257976
2015-06-18,260846
2015-06-19,267520
2015-06-20,271441
2015-06-21,276867
2015-06-22,283559
2015-06-23,291668
2015-06-24,303767
2015-06-25,315048
2015-06-26,324804
2015-06-27,332961
2015-06-28,340320
2015-06-29,345278
2015-06-30,351674
2015-07-01,352268
2015-07-02,352268
2015-07-03,353800
2015-07-04,350649
2015-07-05,356520
2015-07-06,355260
2015-07-07,355358
2015-07-08,358875
2015-07-09,358875
2015-07-10,358930
2015-07-11,354302
2015-07-12,347722
2015-07-13,341092
2015-07-14,338650
2015-07-15,336804
2015-07-16,336340
2015-07-17,337621
2015-07-18,337570
2015-07-19,338101
2015-07-20,339526
2015-07-21,336406
2015-07-22,338822
2015-07-23,338822
2015-07-24,345479
2015-07-25,354373
2015-07-26,362697
2015-07-27,375381
2015-07-28,385914
2015-07-29,394595
2015-07-30,388723
2015-07-31,394262
2015-08-01,395320
2015-08-02,396663
2015-08-03,401329
2015-08-04,410457
2015-08-05,416469
2015-08-06,408103
2015-08-07,406037
2015-08-08,403397
2015-08-09,404987
2015-08-10,405779
2015-08-11,396681
2015-08-12,392267
2015-08-13,383464
2015-08-14,377188
2015-08-15,377316
2015-08-16,377030
2015-08-17,375828
2015-08-18,381705
2015-08-19,381905
2015-08-20,383265
2015-08-21,378726
2015-08-22,375811
2015-08-23,370902
