date_obj,Dragon%20hunter%20crossbow price
2017-01-04,15566177
2017-01-05,16260365
2017-01-06,17008838
2017-01-07,17859280
2017-01-08,18752244
2017-01-09,19689857
2017-01-10,20674350
2017-01-11,21708068
2017-01-12,22793472
2017-01-13,23933146
2017-01-14,25129804
2017-01-15,26386295
2017-01-16,27705610
2017-01-17,29090891
2017-01-18,30545436
2017-01-19,32072708
2017-01-20,33676344
2017-01-21,35360162
2017-01-22,37128171
2017-01-23,38984580
2017-01-27,32815136
2017-01-28,31463517
2017-01-29,32474737
2017-01-30,33968852
2017-01-31,34002767
2017-02-01,32540862
2017-02-02,32731359
2017-02-03,33277236
2017-02-04,34941098
2017-02-05,36688153
2017-02-06,37574694
2017-02-07,37266730
2017-02-08,37446234
2017-02-09,37659300
2017-02-10,37283221
2017-02-11,36292584
2017-02-12,35202391
2017-02-13,33544343
2017-02-14,32833668
2017-02-15,33173826
2017-02-16,32204168
2017-02-18,33664996
2017-02-19,34482785
2017-02-20,33586899
2017-02-21,33218641
2017-02-22,33355282
2017-02-23,33421249
2017-02-24,32854544
2017-02-25,33663447
2017-02-26,34137415
2017-02-27,34186934
2017-02-28,34691408
2017-03-01,34843141
2017-03-02,35471971
2017-03-03,36602854
2017-03-04,36112317
2017-03-05,36131812
2017-03-06,36055503
2017-03-07,35592038
2017-03-08,35698044
2017-03-09,36087196
2017-03-10,36131900
2017-03-11,37269360
2017-03-12,37377778
2017-03-13,37107158
2017-03-14,35518674
2017-03-15,33743369
2017-03-16,32079979
2017-03-17,30777204
2017-03-18,29654350
2017-03-19,28359818
2017-03-20,27003152
2017-03-21,26558144
2017-03-22,26879210
2017-03-23,28146570
2017-03-24,29551793
2017-03-25,30737943
2017-03-26,31024745
2017-03-27,31942089
2017-03-28,31839723
2017-03-29,31323067
2017-03-30,30222463
2017-03-31,29151497
2017-04-01,29355040
2017-04-02,29466561
2017-04-03,29953478
2017-04-04,30423869
2017-04-12,34218225
2017-04-13,34569240
2017-04-14,33485531
2017-04-15,32045930
2017-04-16,31773001
2017-04-17,31712778
2017-04-18,31624265
2017-04-19,31282928
2017-04-20,30864570
2017-04-21,30433798
2017-04-22,30687326
2017-04-23,31261911
2017-04-24,31173193
2017-04-25,31588675
2017-04-26,31535578
2017-04-27,31990534
2017-04-28,31678817
2017-04-29,31804587
2017-04-30,32068745
2017-05-01,32187922
2017-05-02,31950542
2017-05-03,31470731
2017-05-04,31281557
2017-05-05,31394858
2017-05-06,31367740
2017-05-07,31328148
2017-05-08,31495527
2017-05-09,31794721
2017-05-10,32192402
2017-05-11,32526440
2017-05-12,32148181
2017-05-13,31929955
2017-05-14,31835577
2017-05-15,31600393
2017-05-16,31555601
2017-05-17,31467064
2017-05-18,31399379
2017-05-19,31343163
2017-05-20,31300883
2017-05-21,31152177
2017-05-22,31057514
2017-05-23,30928260
2017-05-24,30833211
2017-05-25,30685593
2017-05-26,29613242
2017-05-27,28145059
2017-05-28,27695395
2017-05-29,28587319
