date_obj,Musketeer%20pants price
2015-03-26,136729
2015-03-27,136729
2015-03-28,129892
2015-03-29,129892
2015-03-30,123397
2015-03-31,123397
2015-04-01,117606
2015-04-02,117606
2015-04-03,111725
2015-04-04,111725
2015-04-05,106448
2015-04-06,106448
2015-04-07,101125
2015-04-08,101125
2015-04-09,101125
2015-04-10,96380
2015-04-11,96380
2015-04-12,92223
2015-04-13,92223
2015-04-14,92223
2015-04-15,88356
2015-04-16,88356
2015-04-17,86122
2015-04-18,86122
2015-04-19,84446
2015-04-20,84446
2015-04-21,84446
2015-04-22,84285
2015-04-23,83076
2015-04-24,83076
2015-04-25,82244
2015-04-26,82244
2015-04-27,80556
2015-04-28,80556
2015-04-29,79604
2015-04-30,79604
2015-05-01,77394
2015-05-02,77394
2015-05-03,76880
2015-05-04,76880
2015-05-05,75990
2015-05-06,75990
2015-05-07,74296
2015-05-08,74296
2015-05-09,71517
2015-05-10,71517
2015-05-11,68086
2015-05-12,65058
2015-05-13,65058
2015-05-14,61805
2015-05-15,61805
2015-05-16,59128
2015-05-17,56727
2015-05-18,56727
2015-05-19,54448
2015-05-20,54448
2015-05-21,54448
2015-05-22,52320
2015-05-23,52320
2015-05-24,50608
2015-05-25,48327
2015-05-26,48327
2015-05-27,46653
2015-05-28,46653
2015-05-29,45453
2015-05-30,43637
2015-05-31,43637
2015-06-01,42639
2015-06-02,42639
2015-06-03,40967
2015-06-04,40967
2015-06-05,40042
2015-06-06,40042
2015-06-07,41272
2015-06-08,41272
2015-06-09,41580
2015-06-10,41580
2015-06-11,39588
2015-06-12,39588
2015-06-13,38668
2015-06-14,38668
2015-06-15,38745
2015-06-16,38745
2015-06-17,38745
2015-06-18,38242
2015-06-19,38242
2015-06-20,37963
2015-06-21,37963
2015-06-22,37963
2015-06-23,36956
2015-06-24,36956
2015-06-25,36727
2015-06-26,36727
2015-06-27,35751
2015-06-28,35517
2015-06-29,35517
2015-06-30,35517
2015-07-01,34466
2015-07-02,34466
2015-07-03,33881
2015-07-04,33881
2015-07-05,32544
2015-07-06,32544
2015-07-07,32047
2015-07-08,32047
2015-07-09,32047
