date_obj,Kharyrll%20teleport%20(tablet) price
2015-03-26,4009
2015-03-27,4009
2015-03-28,3846
2015-03-29,3846
2015-03-30,3674
2015-03-31,3674
2015-04-01,3674
2015-04-02,3504
2015-04-03,3504
2015-04-04,3340
2015-04-05,3340
2015-04-06,3340
2015-04-07,3291
2015-04-08,3291
2015-04-09,3291
2015-04-10,3308
2015-04-11,3308
2015-04-12,3308
2015-04-13,3361
2015-04-14,3361
2015-04-15,3361
2015-04-16,3279
2015-04-17,3279
2015-04-18,3153
2015-04-19,3153
2015-04-20,3153
2015-04-21,3170
2015-04-22,3170
2015-04-23,3170
2015-04-24,3199
2015-04-25,3199
2015-04-26,3199
2015-04-27,3107
2015-04-28,3107
2015-04-29,3107
2015-04-30,2975
2015-05-01,2975
2015-05-02,2831
2015-05-03,2831
2015-05-04,2790
2015-05-05,2790
2015-05-06,2752
2015-05-07,2752
2015-05-08,2814
2015-05-09,2814
2015-05-10,2834
2015-05-11,2834
2015-05-12,2953
2015-05-13,2953
2015-05-14,3090
2015-05-15,3090
2015-05-16,3090
2015-05-17,3023
2015-05-18,3023
2015-05-19,3023
2015-05-20,2930
2015-05-21,2930
2015-05-22,2930
2015-05-23,2905
2015-05-24,2905
2015-05-25,2843
2015-05-26,2843
2015-05-27,2843
2015-05-28,2700
2015-05-29,2700
2015-05-30,2565
2015-05-31,2565
2015-06-01,2505
2015-06-02,2505
2015-06-03,2499
2015-06-04,2499
2015-06-05,2518
2015-06-06,2518
2015-06-07,2591
2015-06-08,2591
2015-06-09,2672
2015-06-10,2672
2015-06-11,2756
2015-06-12,2756
2015-06-13,2785
2015-06-14,2785
2015-06-15,2871
2015-06-16,2871
2015-06-17,2809
2015-06-18,2809
2015-06-19,2736
2015-06-20,2736
2015-06-21,2698
2015-06-22,2698
2015-06-23,2722
2015-06-24,2722
2015-06-25,2801
2015-06-26,2801
2015-06-27,2808
2015-06-28,2808
2015-06-29,2914
2015-06-30,2914
2015-07-01,2978
2015-07-02,2978
2015-07-03,3049
2015-07-04,3049
2015-07-05,3049
2015-07-06,2986
2015-07-07,2986
2015-07-08,2909
2015-07-09,2909
2015-07-10,2861
2015-07-11,2861
2015-07-12,2861
2015-07-13,2832
2015-07-14,2832
2015-07-15,2713
2015-07-16,2713
2015-07-17,2588
2015-07-18,2588
2015-07-19,2592
2015-07-20,2592
2015-07-21,2673
2015-07-22,2792
2015-07-23,2792
2015-07-24,2875
2015-07-25,2875
2015-07-26,2898
2015-07-27,2898
2015-07-28,2994
2015-07-29,3119
2015-07-30,3119
2015-07-31,3144
2015-08-01,3144
2015-08-02,3014
2015-08-03,3014
2015-08-04,2945
2015-08-05,2945
2015-08-06,2912
2015-08-07,2912
2015-08-08,2978
2015-08-09,2978
2015-08-10,2940
2015-08-11,2940
2015-08-12,2793
2015-08-13,2793
2015-08-14,2851
2015-08-15,2851
2015-08-16,2772
2015-08-17,2772
2015-08-18,2742
2015-08-19,2742
2015-08-20,2806
2015-08-21,2806
2015-08-22,2830
2015-08-23,2830
2015-08-24,2792
2015-08-25,2792
2015-08-26,2792
2015-08-27,2752
2015-08-28,2752
2015-08-29,2749
2015-08-30,2749
2015-08-31,2650
2015-09-01,2650
2015-09-02,2685
2015-09-03,2685
2015-09-04,2710
