date_obj,Amulet%20of%20strength price
2015-03-26,1240
2015-03-27,1200
2015-03-28,1182
2015-03-29,1193
2015-03-30,1185
2015-03-31,1176
2015-04-01,1199
2015-04-02,1221
2015-04-03,1217
2015-04-04,1207
2015-04-05,1209
2015-04-06,1230
2015-04-07,1251
2015-04-08,1284
2015-04-09,1258
2015-04-10,1277
2015-04-11,1293
2015-04-12,1298
2015-04-13,1270
2015-04-14,1214
2015-04-15,1186
2015-04-16,1170
2015-04-17,1204
2015-04-18,1229
2015-04-19,1210
2015-04-20,1187
2015-04-21,1184
2015-04-22,1227
2015-04-23,1272
2015-04-24,1298
2015-04-25,1321
2015-04-26,1362
2015-04-27,1384
2015-04-28,1357
2015-04-29,1332
2015-04-30,1342
2015-05-01,1324
2015-05-02,1339
2015-05-03,1318
2015-05-04,1311
2015-05-05,1279
2015-05-06,1232
2015-05-07,1247
2015-05-08,1255
2015-05-09,1304
2015-05-10,1327
2015-05-11,1361
2015-05-12,1382
2015-05-13,1382
2015-05-14,1369
2015-05-15,1377
2015-05-16,1342
2015-05-17,1315
2015-05-18,1269
2015-05-19,1234
2015-05-20,1247
2015-05-21,1265
2015-05-22,1276
2015-05-23,1278
2015-05-24,1288
2015-05-25,1300
2015-05-26,1292
2015-05-27,1285
2015-05-28,1262
2015-05-29,1271
2015-05-30,1264
2015-05-31,1290
2015-06-01,1279
2015-06-02,1281
2015-06-03,1324
2015-06-04,1302
2015-06-05,1293
2015-06-06,1290
2015-06-07,1267
2015-06-08,1274
2015-06-09,1282
2015-06-10,1305
2015-06-11,1342
2015-06-12,1358
2015-06-13,1391
2015-06-14,1441
2015-06-15,1477
2015-06-16,1512
2015-06-17,1555
2015-06-18,1608
2015-06-19,1636
2015-06-20,1571
2015-06-21,1493
2015-06-22,1419
2015-06-23,1364
2015-06-24,1323
2015-06-25,1329
2015-06-26,1317
2015-06-27,1317
2015-06-28,1284
2015-06-29,1261
2015-06-30,1295
2015-07-01,1308
2015-07-02,1329
2015-07-03,1365
2015-07-04,1372
2015-07-05,1359
2015-07-06,1317
2015-07-07,1297
2015-07-08,1303
2015-07-09,1335
2015-07-10,1342
2015-07-11,1372
2015-07-12,1384
2015-07-13,1346
2015-07-14,1322
2015-07-15,1270
2015-07-16,1276
2015-07-17,1284
2015-07-18,1252
2015-07-19,1255
2015-07-20,1235
2015-07-21,1194
2015-07-22,1205
2015-07-23,1244
2015-07-24,1274
2015-07-25,1315
2015-07-26,1378
2015-07-27,1388
2015-07-28,1422
2015-07-29,1430
2015-07-30,1383
2015-07-31,1374
2015-08-01,1396
2015-08-02,1423
2015-08-03,1441
2015-08-04,1413
2015-08-05,1400
2015-08-06,1385
2015-08-07,1346
2015-08-08,1333
2015-08-09,1297
2015-08-10,1276
2015-08-11,1265
2015-08-12,1291
2015-08-13,1285
2015-08-14,1313
2015-08-15,1304
2015-08-16,1256
2015-08-17,1269
2015-08-18,1254
2015-08-19,1255
2015-08-20,1265
2015-08-21,1271
2015-08-22,1248
2015-08-23,1267
2015-08-24,1291
2015-08-25,1299
2015-08-26,1288
2015-08-27,1278
2015-08-28,1267
2015-08-29,1282
2015-08-30,1288
2015-08-31,1293
2015-09-01,1315
2015-09-02,1309
2015-09-03,1317
2015-09-04,1353
2015-09-05,1369
2015-09-06,1360
2015-09-07,1333
2015-09-08,1291
2015-09-09,1267
2015-09-10,1286
2015-09-11,1305
2015-09-12,1313
2015-09-13,1324
2015-09-14,1331
2015-09-15,1305
2015-09-16,1260
2015-09-17,1238
2015-09-18,1239
2015-09-19,1242
2015-09-20,1257
