date_obj,Silver%20bar price
2015-03-26,717
2015-03-27,683
2015-03-28,648
2015-03-29,615
2015-03-30,584
2015-03-31,554
2015-04-01,526
2015-04-02,499
2015-04-03,474
2015-04-04,450
2015-04-05,427
2015-04-06,405
2015-04-07,384
2015-04-08,364
2015-04-09,345
2015-04-10,327
2015-04-11,310
2015-04-12,294
2015-04-13,279
2015-04-14,265
2015-04-15,251
2015-04-16,238
2015-04-17,226
2015-04-18,214
2015-04-19,203
2015-04-20,194
2015-04-21,184
2015-04-22,175
2015-04-23,166
2015-04-24,157
2015-04-25,149
2015-04-26,141
2015-04-27,133
2015-04-28,129
2015-04-29,129
2015-04-30,129
2015-05-01,131
2015-05-02,125
2015-05-03,125
2015-05-04,119
2015-05-05,113
2015-05-06,115
2015-05-07,113
2015-05-08,118
2015-05-09,123
2015-05-10,128
2015-05-11,128
2015-05-12,135
2015-05-13,135
2015-05-14,137
2015-05-15,137
2015-05-16,137
2015-05-17,137
2015-05-18,136
2015-05-19,132
2015-05-20,132
2015-05-21,126
2015-05-22,130
2015-05-23,133
2015-05-24,138
2015-05-25,135
2015-05-26,140
2015-05-27,136
2015-05-28,138
2015-05-29,135
2015-05-30,135
2015-05-31,135
2015-06-01,130
2015-06-02,130
2015-06-03,124
2015-06-04,126
2015-06-05,130
2015-06-06,134
2015-06-07,134
2015-06-08,130
2015-06-09,127
2015-06-10,129
2015-06-11,129
2015-06-12,130
2015-06-13,126
2015-06-14,127
2015-06-15,131
2015-06-16,132
2015-06-17,136
2015-06-18,140
2015-06-19,143
2015-06-20,150
2015-06-21,147
2015-06-22,151
2015-06-23,147
2015-06-24,145
2015-06-25,145
2015-06-26,141
2015-06-27,141
2015-06-28,140
2015-06-29,138
2015-06-30,135
2015-07-01,137
2015-07-02,137
2015-07-03,133
2015-07-04,134
2015-07-05,139
2015-07-06,144
2015-07-07,149
2015-07-08,157
2015-07-09,157
2015-07-10,161
2015-07-11,154
2015-07-12,149
2015-07-13,143
2015-07-14,141
2015-07-15,142
2015-07-16,145
2015-07-17,145
2015-07-18,145
2015-07-19,145
2015-07-20,140
2015-07-21,135
2015-07-22,131
2015-07-23,131
2015-07-24,129
2015-07-25,136
2015-07-26,135
2015-07-27,130
2015-07-28,126
2015-07-29,129
2015-07-30,134
2015-07-31,134
2015-08-01,139
2015-08-02,146
2015-08-03,154
2015-08-04,160
2015-08-05,159
2015-08-06,166
2015-08-07,175
2015-08-08,178
2015-08-09,181
2015-08-10,175
2015-08-11,173
2015-08-12,173
2015-08-13,170
2015-08-14,170
2015-08-15,170
2015-08-16,171
2015-08-17,172
2015-08-18,172
2015-08-19,174
2015-08-20,174
2015-08-21,174
2015-08-22,180
2015-08-23,180
2015-08-24,183
2015-08-25,183
2015-08-26,187
2015-08-27,190
2015-08-28,190
2015-08-29,198
2015-08-30,198
2015-08-31,193
2015-09-01,193
2015-09-02,186
2015-09-03,186
2015-09-04,184
2015-09-05,184
2015-09-06,174
2015-09-07,174
2015-09-08,168
2015-09-09,168
2015-09-10,165
2015-09-11,165
2015-09-12,162
2015-09-13,162
2015-09-14,166
2015-09-15,166
2015-09-16,166
2015-09-17,170
2015-09-18,170
2015-09-19,179
2015-09-20,179
2015-09-21,186
2015-09-22,186
2015-09-23,192
2015-09-24,192
2015-09-25,201
2015-09-27,205
2015-09-28,205
2015-09-29,207
2015-09-30,213
