date_obj,Blue%20dragonhide price
2015-03-26,1892
2015-03-27,1929
2015-03-28,1919
2015-03-29,1914
2015-03-30,1868
2015-03-31,1896
2015-04-01,1905
2015-04-02,1873
2015-04-03,1880
2015-04-04,1882
2015-04-05,1876
2015-04-06,1884
2015-04-07,1864
2015-04-08,1882
2015-04-09,1877
2015-04-10,1900
2015-04-11,1902
2015-04-12,1904
2015-04-13,1902
2015-04-14,1873
2015-04-15,1855
2015-04-16,1863
2015-04-17,1845
2015-04-18,1808
2015-04-19,1797
2015-04-20,1806
2015-04-21,1793
2015-04-22,1816
2015-04-23,1826
2015-04-24,1840
2015-04-25,1834
2015-04-26,1828
2015-04-27,1836
2015-04-28,1851
2015-04-29,1875
2015-04-30,1875
2015-05-01,1860
2015-05-02,1837
2015-05-03,1820
2015-05-04,1839
2015-05-05,1864
2015-05-06,1852
2015-05-07,1861
2015-05-08,1867
2015-05-09,1866
2015-05-10,1858
2015-05-11,1871
2015-05-12,1881
2015-05-13,1894
2015-05-14,1916
2015-05-15,1876
2015-05-16,1865
2015-05-17,1839
2015-05-18,1833
2015-05-19,1851
2015-05-20,1869
2015-05-21,1902
2015-05-22,1919
2015-05-23,1871
2015-05-24,1846
2015-05-25,1844
2015-05-26,1845
2015-05-27,1857
2015-05-28,1861
2015-05-29,1858
2015-05-30,1856
2015-05-31,1836
2015-06-01,1856
2015-06-02,1865
2015-06-03,1851
2015-06-04,1845
2015-06-05,1846
2015-06-06,1835
2015-06-07,1851
2015-06-08,1859
2015-06-09,1840
2015-06-10,1826
2015-06-11,1830
2015-06-12,1847
2015-06-13,1843
2015-06-14,1827
2015-06-15,1831
2015-06-16,1813
2015-06-17,1819
2015-06-18,1801
2015-06-19,1792
2015-06-20,1790
2015-06-21,1792
2015-06-22,1750
2015-06-23,1766
2015-06-24,1755
2015-06-25,1771
2015-06-26,1783
2015-06-27,1809
2015-06-28,1794
2015-06-29,1778
2015-06-30,1783
2015-07-01,1793
2015-07-02,1806
2015-07-03,1799
2015-07-04,1763
2015-07-05,1731
2015-07-06,1759
2015-07-07,1766
2015-07-08,1795
2015-07-09,1839
2015-07-10,1810
2015-07-11,1791
2015-07-12,1749
2015-07-13,1751
2015-07-14,1751
2015-07-15,1768
2015-07-16,1788
2015-07-17,1780
2015-07-18,1782
2015-07-19,1765
2015-07-20,1740
2015-07-21,1767
2015-07-22,1756
2015-07-23,1792
2015-07-24,1777
2015-07-25,1762
2015-07-26,1773
2015-07-27,1788
2015-07-28,1816
2015-07-29,1812
2015-07-30,1828
2015-07-31,1858
2015-08-01,1829
2015-08-02,1823
2015-08-03,1878
2015-08-04,1909
2015-08-05,1908
2015-08-06,1932
2015-08-07,1945
2015-08-08,1926
2015-08-09,1925
2015-08-10,1932
2015-08-11,1928
2015-08-12,1929
2015-08-13,1917
2015-08-14,1904
2015-08-15,1908
2015-08-16,1858
2015-08-17,1841
2015-08-18,1878
2015-08-19,1919
2015-08-20,1929
2015-08-21,1980
2015-08-22,1952
2015-08-23,1948
2015-08-24,1949
2015-08-25,1996
2015-08-26,2027
2015-08-27,2011
2015-08-28,1956
2015-08-29,1917
2015-08-30,1867
2015-08-31,1880
2015-09-01,1882
2015-09-02,1849
2015-09-03,1861
2015-09-04,1886
2015-09-05,1884
2015-09-06,1897
2015-09-07,1893
2015-09-08,1893
2015-09-09,1874
2015-09-10,1863
2015-09-11,1884
2015-09-12,1851
2015-09-13,1861
2015-09-14,1881
2015-09-15,1871
2015-09-16,1920
2015-09-17,1937
2015-09-18,1962
2015-09-19,1910
2015-09-20,1870
2015-09-21,1880
2015-09-22,1872
2015-09-23,1929
2015-09-24,1926
2015-09-25,1972
2015-09-27,1933
2015-09-28,1900
2015-09-29,1944
2015-09-30,1940
2015-10-05,1833
2015-10-06,1852
2015-10-07,1869
2015-10-08,1863
2015-10-09,1868
2015-10-10,1867
2015-10-11,1859
2015-10-12,1875
2015-10-13,1900
2015-10-14,1910
2015-10-15,1886
2015-10-16,1876
2015-10-17,1915
2015-10-18,1882
2015-10-19,1862
2015-10-20,1902
2015-10-22,1903
2015-10-23,1922
2015-10-24,1894
2015-10-25,1862
2015-10-26,1884
2015-10-27,1874
