date_obj,Revenant%20cave%20teleport price
2017-11-23,10500
2017-11-24,11025
2017-11-25,11577
2017-11-26,12156
2017-11-27,12764
2017-11-28,13403
2017-11-29,14074
2017-11-30,14778
2017-12-01,15517
2017-12-02,16293
2017-12-03,17108
2017-12-04,17964
2017-12-05,18863
2017-12-06,19326
2017-12-07,19410
2017-12-08,18451
2017-12-09,17528
2017-12-10,16729
2017-12-11,15970
2017-12-12,15171
2017-12-14,13691
2017-12-15,13006
2017-12-16,12388
2017-12-17,11916
2017-12-18,11419
2017-12-19,11015
2017-12-20,10650
2017-12-21,10955
2017-12-22,11490
2017-12-23,11651
2017-12-24,11603
2017-12-25,11025
2017-12-26,11064
2017-12-27,11513
2017-12-28,11513
2017-12-29,12012
2017-12-30,12613
2017-12-31,12613
2018-01-01,13212
2018-01-02,12645
2018-01-03,12161
2018-01-04,11754
2018-01-05,11506
2018-01-06,11564
2018-01-07,11471
2018-01-08,11286
2018-01-09,11600
2018-01-10,11600
2018-01-11,12098
2018-01-12,12516
2018-01-13,12500
2018-01-14,11995
2018-01-15,11687
2018-01-16,12000
2018-01-17,12597
2018-01-18,13207
2018-01-19,13207
2018-01-20,13215
2018-01-21,13215
2018-01-22,12882
2018-01-23,12712
2018-01-24,13156
2018-01-25,13773
2018-01-26,14369
2018-01-27,14262
2018-01-28,14506
2018-01-29,15164
2018-01-31,15993
2018-02-01,15974
2018-02-02,16132
2018-02-03,16280
2018-02-04,16168
2018-02-05,15941
2018-02-06,15404
2018-02-07,15096
2018-02-08,14565
2018-02-09,14522
2018-02-10,14421
2018-02-11,15096
2018-02-12,15816
2018-02-13,16607
2018-02-14,17437
2018-02-15,18308
2018-02-16,19224
2018-02-17,19836
2018-02-18,19624
2018-02-19,20606
2018-02-20,21521
2018-02-21,20558
2018-02-22,19530
2018-02-23,18553
2018-02-24,17625
2018-02-25,16743
2018-02-26,15905
2018-02-27,15109
2018-02-28,15787
2018-03-01,16553
2018-03-02,16694
2018-03-03,15859
2018-03-04,15066
2018-03-05,14822
2018-03-06,15473
2018-03-07,16044
2018-03-08,16026
2018-03-09,15890
2018-03-10,15399
2018-03-11,15147
2018-03-12,15117
2018-03-13,15483
2018-03-14,15531
2018-03-15,15335
2018-03-16,15485
2018-03-17,15492
2018-03-18,15773
2018-03-19,16091
2018-03-20,15985
2018-03-21,16709
2018-03-23,17370
2018-03-24,18205
2018-03-26,19086
2018-03-27,18368
2018-03-29,16825
2018-03-30,17483
2018-03-31,18256
2018-04-01,19139
2018-04-02,19987
2018-04-03,20883
2018-04-04,21301
2018-04-05,20871
2018-04-06,21607
2018-04-08,23192
2018-04-09,23552
2018-04-10,24471
2018-04-11,25695
2018-04-12,26585
2018-04-13,25853
2018-04-14,25347
2018-04-15,26163
2018-04-16,26382
2018-04-17,27004
2018-04-18,26796
2018-04-19,26826
2018-04-20,26077
2018-04-21,25208
2018-04-22,25029
2018-04-23,25215
2018-04-24,26373
2018-04-25,26895
2018-04-26,25869
2018-04-27,24958
2018-04-28,25599
2018-04-29,25539
2018-04-30,25856
2018-05-01,25553
2018-05-02,25164
2018-05-03,25008
2018-05-04,24699
2018-05-05,23585
2018-05-06,22405
2018-05-07,21465
2018-05-08,20641
2018-05-09,19799
2018-05-10,19077
2018-05-11,19669
2018-05-12,20565
2018-05-13,21556
2018-05-14,22520
2018-05-15,22792
2018-05-16,22366
2018-05-17,22726
2018-05-18,23089
2018-05-19,24172
2018-05-20,24983
2018-05-21,25583
2018-05-22,25267
2018-05-23,24513
2018-05-24,23421
2018-05-25,23677
2018-05-26,23287
2018-05-27,22969
2018-05-28,22846
2018-05-29,23002
2018-05-30,22853
