date_obj,Ring%20of%20wealth%20scroll price
2015-03-26,24412
2015-03-27,24412
2015-03-28,23193
2015-03-29,23193
2015-03-30,22033
2015-03-31,22033
2015-04-01,20931
2015-04-02,20931
2015-04-03,19884
2015-04-04,19884
2015-04-05,18889
2015-04-06,18889
2015-04-07,18121
2015-04-08,18121
2015-04-09,18121
2015-04-10,17235
2015-04-11,17235
2015-04-12,17292
2015-04-13,17292
2015-04-14,17755
2015-04-15,17755
2015-04-16,17257
2015-04-17,17257
2015-04-18,16896
2015-04-19,16896
2015-04-20,17512
2015-04-21,17512
2015-04-22,17435
2015-04-23,17435
2015-04-24,17162
2015-04-25,17162
2015-04-26,16568
2015-04-27,16568
2015-04-28,15807
2015-04-29,15807
2015-04-30,15016
2015-05-01,15016
2015-05-02,14549
2015-05-03,14549
2015-05-04,13861
2015-05-05,13861
2015-05-06,14162
2015-05-07,14162
2015-05-08,13905
2015-05-09,13905
2015-05-10,14185
2015-05-11,14185
2015-05-12,14185
2015-05-13,14894
2015-05-14,14894
2015-05-15,15107
2015-05-16,15107
2015-05-17,14955
2015-05-18,14955
2015-05-19,15329
2015-05-20,15329
2015-05-21,15329
2015-05-22,15978
2015-05-23,15978
2015-05-24,16688
2015-05-25,16688
2015-05-26,16499
2015-05-27,16499
2015-05-28,15674
2015-05-29,15674
2015-05-30,14939
2015-05-31,14939
2015-06-01,14315
2015-06-02,14315
2015-06-03,14188
2015-06-04,14188
2015-06-05,14231
2015-06-06,14231
2015-06-07,14327
2015-06-08,14327
2015-06-09,13618
2015-06-10,13618
2015-06-11,13481
2015-06-12,13481
2015-06-13,13063
2015-06-14,13063
2015-06-15,12561
2015-06-16,12561
2015-06-17,13000
2015-06-18,13000
2015-06-19,13436
2015-06-20,13436
2015-06-21,13867
2015-06-22,13867
2015-06-23,13747
2015-06-24,13747
2015-06-25,14162
2015-06-26,14162
2015-06-27,14503
2015-06-28,14503
2015-06-29,15106
2015-06-30,15106
2015-07-01,15503
2015-07-02,15503
2015-07-03,14942
2015-07-04,14942
2015-07-05,15019
2015-07-06,15019
2015-07-07,15153
2015-07-08,15153
2015-07-09,15153
2015-07-10,15337
2015-07-11,15337
2015-07-12,15337
2015-07-13,16104
2015-07-14,16104
2015-07-15,16018
2015-07-16,16018
2015-07-17,15217
2015-07-18,15217
2015-07-19,15217
2015-07-20,14805
2015-07-21,14805
2015-07-22,14297
2015-07-23,14297
2015-07-24,14797
2015-07-25,14797
2015-07-26,14797
2015-07-27,14562
2015-07-28,14562
2015-07-29,14126
2015-07-30,14126
2015-07-31,14126
2015-08-01,13868
2015-08-02,13868
2015-08-03,13841
2015-08-04,13841
2015-08-05,14055
2015-08-06,14055
2015-08-07,14378
2015-08-08,14378
2015-08-09,14760
2015-08-10,14760
2015-08-11,15445
2015-08-12,15445
2015-08-13,15445
2015-08-14,15575
2015-08-15,15575
2015-08-16,15575
2015-08-17,15447
2015-08-18,15447
2015-08-19,15686
2015-08-20,15686
2015-08-21,15799
2015-08-22,15799
2015-08-23,16325
2015-08-24,16325
2015-08-25,16325
2015-08-26,16123
2015-08-27,16123
2015-08-28,15874
2015-08-29,15874
2015-08-30,15874
2015-08-31,16295
2015-09-01,16295
2015-09-02,16295
2015-09-03,16201
2015-09-04,16201
2015-09-05,16201
2015-09-06,16092
2015-09-07,16092
2015-09-08,16092
2015-09-09,16044
2015-09-10,16044
2015-09-11,16044
2015-09-12,16055
2015-09-13,16055
2015-09-14,16055
2015-09-15,16001
2015-09-16,16001
2015-09-17,16001
2015-09-18,15578
2015-09-19,15578
2015-09-20,15578
2015-09-21,15382
2015-09-22,15382
2015-09-23,15467
2015-09-24,15467
2015-09-25,15467
2015-09-27,15021
2015-09-28,15021
2015-09-29,15347
2015-09-30,15347
2015-10-05,15372
2015-10-06,15372
2015-10-07,15090
2015-10-08,15090
2015-10-09,15081
2015-10-10,15081
2015-10-11,15081
2015-10-12,14545
2015-10-13,14545
2015-10-14,14545
2015-10-15,13925
2015-10-16,13925
2015-10-17,13925
2015-10-18,14437
2015-10-19,14437
2015-10-20,14706
2015-10-22,14706
2015-10-23,15126
2015-10-24,15126
2015-10-25,15041
2015-10-26,15041
2015-10-27,15041
2015-10-29,15207
2015-10-30,15207
2015-10-31,14450
2015-11-01,14450
2015-11-02,14450
2015-11-03,14450
2015-11-04,13788
2015-11-05,13788
2015-11-06,13788
2015-11-07,13381
2015-11-08,13381
2015-11-09,13381
2015-11-10,13381
2015-11-11,12939
2015-11-12,12939
2015-11-13,12939
2015-11-14,12939
2015-11-15,12869
2015-11-16,12869
2015-11-17,12869
2015-11-18,12869
2015-11-19,13219
2015-11-20,13219
2015-11-21,13219
2015-11-22,13834
2015-11-23,13834
2015-11-24,13834
2015-11-25,14524
2015-11-26,14524
2015-11-27,14524
2015-11-28,14524
