date_obj,Pegasian%20boots price
2015-03-26,23750000
2015-03-27,23750000
2015-03-28,23750000
2015-03-29,23750000
2015-03-30,23750000
2015-03-31,23750000
2015-04-01,23750000
2015-04-02,23750000
2015-04-03,23750000
2015-04-04,23750000
2015-04-05,23750000
2015-04-06,23750000
2015-04-07,23750000
2015-04-08,23750000
2015-04-09,23750000
2015-04-10,23750000
2015-04-11,23750000
2015-04-12,23750000
2015-04-13,23750000
2015-04-14,23750000
2015-04-15,23750000
2015-04-16,23750000
2015-04-17,23750000
2015-04-18,23750000
2015-04-19,23750000
2015-04-20,23750000
2015-04-21,23750000
2015-04-22,23750000
2015-04-23,23750000
2015-04-24,23750000
2015-04-25,23750000
2015-04-26,23750000
2015-04-27,23750000
2015-04-28,23750000
2015-04-29,23750000
2015-04-30,23750000
2015-05-01,23750000
2015-05-02,23750000
2015-05-03,23750000
2015-05-04,23750000
2015-05-05,23750000
2015-05-06,23750000
2015-05-07,23750000
2015-05-08,23750000
2015-05-09,23750000
2015-05-10,23750000
2015-05-11,23750000
2015-05-12,23750000
2015-05-13,23750000
2015-05-14,23750000
2015-05-15,23750000
2015-05-16,23750000
2015-05-17,23750000
2015-05-18,23750000
2015-05-19,23750000
2015-05-20,23750000
2015-05-21,23750000
2015-05-22,23750000
2015-05-23,23750000
2015-05-24,23750000
2015-05-25,23750000
2015-05-26,23750000
2015-05-27,23750000
2015-05-28,23750000
2015-05-29,23750000
2015-05-30,23750000
2015-05-31,23750000
2015-06-01,23750000
2015-06-02,23750000
2015-06-03,23750000
2015-06-04,23750000
2015-06-05,23750000
2015-06-06,23750000
2015-06-07,23750000
2015-06-08,23750000
2015-06-09,23750000
2015-06-10,23750000
2015-06-11,23750000
2015-06-12,23750000
2015-06-13,23750000
2015-06-14,23750000
2015-06-15,23750000
2015-06-16,23750000
2015-06-17,23750000
2015-06-18,23750000
2015-06-19,23750000
2015-06-20,23750000
2015-06-21,23750000
2015-06-22,23750000
2015-06-23,23750000
2015-06-24,23750000
2015-06-25,23750000
2015-06-26,23750000
2015-06-27,23750000
2015-06-28,23750000
2015-06-29,23750000
2015-06-30,23750000
2015-07-01,23750000
2015-07-02,23750000
2015-07-03,23750000
2015-07-04,23750000
2015-07-05,23750000
2015-07-06,23750000
2015-07-07,23750000
2015-07-08,23750000
2015-07-09,23750000
2015-07-10,23750000
2015-07-11,23750000
2015-07-12,23750000
2015-07-13,23750000
2015-07-14,23750000
2015-07-15,23750000
2015-07-16,23750000
2015-07-17,23750000
2015-07-18,23750000
2015-07-19,23750000
2015-07-20,23750000
2015-07-21,23750000
2015-07-22,23750000
2015-07-23,23750000
2015-07-24,23750000
2015-07-25,23750000
2015-07-26,23750000
2015-07-27,23750000
2015-07-28,23750000
2015-07-29,23750000
2015-07-30,23750000
2015-07-31,23750000
2015-08-01,23750000
2015-08-02,23750000
2015-08-03,23750000
2015-08-04,23750000
2015-08-05,23750000
2015-08-06,23750000
2015-08-07,23750000
2015-08-08,23750000
2015-08-09,23750000
2015-08-10,23750000
2015-08-11,23750000
2015-08-12,23750000
2015-08-13,23750000
2015-08-14,23750000
2015-08-15,23750000
2015-08-16,23750000
2015-08-17,23750000
2015-08-18,23750000
2015-08-19,23750000
2015-08-20,23750000
2015-08-21,23750000
2015-08-22,23750000
2015-08-23,23750000
2015-08-24,23750000
2015-08-25,23750000
2015-08-26,23750000
2015-08-27,33477206
2015-08-28,33477206
2015-08-29,31812780
2015-08-30,31812780
2015-08-31,30222141
2015-09-01,30222141
2015-09-02,28711033
2015-09-03,28711033
2015-09-04,27306602
2015-09-05,27306602
2015-09-06,26510791
2015-09-07,26510791
2015-09-08,27266252
2015-09-09,27266252
2015-09-10,27084818
2015-09-11,26375808
2015-09-12,26375808
